symbol,timestamp,open,high,low,close,volume,trade_count,vwap
ADSK,2025-07-01 13:30:00+00:00,307.97,307.97,307.97,307.97,200.0,2.0,307.97
ADSK,2025-07-01 13:31:00+00:00,308.115,308.115,308.115,308.115,200.0,2.0,308.115
ADSK,2025-07-01 13:32:00+00:00,308.815,308.815,308.815,308.815,551.0,8.0,308.815
ADSK,2025-07-01 13:34:00+00:00,309.085,309.085,309.085,309.085,200.0,2.0,309.085
ADSK,2025-07-01 13:35:00+00:00,308.945,308.945,308.81,308.81,549.0,6.0,308.895
ADSK,2025-07-01 13:36:00+00:00,308.76,308.76,308.76,308.76,100.0,1.0,308.76
ADSK,2025-07-01 13:38:00+00:00,308.94,308.94,308.94,308.94,267.0,5.0,308.94
ADSK,2025-07-01 13:40:00+00:00,309.6,309.6,309.6,309.6,230.0,4.0,309.6
ADSK,2025-07-01 13:43:00+00:00,309.815,309.815,309.815,309.815,183.0,6.0,309.815
ADSK,2025-07-01 13:48:00+00:00,310.19,310.19,310.19,310.19,175.0,15.0,310.19
ADSK,2025-07-01 13:50:00+00:00,310.31,310.67,310.31,310.67,300.0,5.0,310.49
ADSK,2025-07-01 13:57:00+00:00,311.32,311.32,311.32,311.32,665.0,29.0,311.32
ADSK,2025-07-01 13:58:00+00:00,311.195,311.195,311.07,311.1,1153.0,24.0,311.135
ADSK,2025-07-01 13:59:00+00:00,311.22,311.22,311.195,311.195,231.0,3.0,311.208688
ADSK,2025-07-01 14:00:00+00:00,311.35,311.35,311.35,311.35,424.0,9.0,311.35
ADSK,2025-07-01 14:01:00+00:00,312.09,312.09,312.09,312.09,351.0,8.0,312.09
ADSK,2025-07-01 14:02:00+00:00,312.01,312.01,312.01,312.01,416.0,12.0,312.01
ADSK,2025-07-01 14:03:00+00:00,311.685,311.685,311.685,311.685,461.0,14.0,311.685
ADSK,2025-07-01 14:04:00+00:00,311.67,311.67,311.67,311.67,145.0,4.0,311.67
ADSK,2025-07-01 14:05:00+00:00,312.16,312.16,312.16,312.16,124.0,3.0,312.16
ADSK,2025-07-01 14:07:00+00:00,312.105,312.105,312.105,312.105,113.0,4.0,312.105
ADSK,2025-07-01 14:10:00+00:00,312.29,312.295,312.29,312.295,1530.0,10.0,312.294648
ADSK,2025-07-01 14:11:00+00:00,312.245,312.245,312.01,312.06,986.0,30.0,312.104554
ADSK,2025-07-01 14:13:00+00:00,312.43,312.43,312.43,312.43,400.0,9.0,312.43
ADSK,2025-07-01 14:14:00+00:00,312.365,312.365,312.23,312.23,390.0,13.0,312.2975
ADSK,2025-07-01 14:16:00+00:00,312.165,312.165,312.165,312.165,104.0,2.0,312.165
ADSK,2025-07-01 14:17:00+00:00,311.96,311.975,311.96,311.975,201.0,3.0,311.9675
ADSK,2025-07-01 14:18:00+00:00,311.95,311.95,311.95,311.95,104.0,2.0,311.95
ADSK,2025-07-01 14:19:00+00:00,311.755,311.755,311.755,311.755,209.0,4.0,311.755
ADSK,2025-07-01 14:21:00+00:00,311.55,311.55,311.54,311.54,562.0,13.0,311.545
ADSK,2025-07-01 14:23:00+00:00,311.32,311.32,311.32,311.32,162.0,6.0,311.32
ADSK,2025-07-01 14:27:00+00:00,311.7,311.7,311.7,311.7,317.0,6.0,311.7
ADSK,2025-07-01 14:28:00+00:00,311.73,311.73,311.48,311.48,477.0,7.0,311.54625
ADSK,2025-07-01 14:33:00+00:00,311.88,311.88,311.88,311.88,237.0,10.0,311.88
ADSK,2025-07-01 14:36:00+00:00,311.81,311.81,311.69,311.69,615.0,13.0,311.73
ADSK,2025-07-01 14:37:00+00:00,311.41,311.41,311.165,311.165,338.0,9.0,311.2875
ADSK,2025-07-01 14:38:00+00:00,311.24,311.24,311.24,311.24,313.0,9.0,311.24
ADSK,2025-07-01 14:40:00+00:00,311.23,311.24,311.12,311.12,1595.0,20.0,311.173921
ADSK,2025-07-01 14:41:00+00:00,311.295,311.295,311.15,311.15,763.0,16.0,311.2225
ADSK,2025-07-01 14:43:00+00:00,311.05,311.05,311.05,311.05,259.0,4.0,311.05
ADSK,2025-07-01 14:44:00+00:00,311.28,311.295,311.28,311.29,390.0,7.0,311.288333
ADSK,2025-07-01 14:46:00+00:00,310.79,310.79,310.79,310.79,458.0,9.0,310.79
ADSK,2025-07-01 14:47:00+00:00,311.17,311.19,311.17,311.19,350.0,4.0,311.183103
ADSK,2025-07-01 14:49:00+00:00,311.69,311.69,311.69,311.69,112.0,3.0,311.69
ADSK,2025-07-01 14:57:00+00:00,311.88,311.88,311.88,311.88,400.0,10.0,311.88
ADSK,2025-07-01 14:58:00+00:00,311.84,311.84,311.265,311.265,921.0,32.0,311.5525
ADSK,2025-07-01 15:00:00+00:00,311.15,311.15,311.15,311.15,817.0,13.0,311.15
ADSK,2025-07-01 15:01:00+00:00,311.185,311.185,311.135,311.135,205.0,4.0,311.16
ADSK,2025-07-01 15:02:00+00:00,311.29,311.29,311.29,311.29,145.0,3.0,311.29
ADSK,2025-07-01 15:04:00+00:00,311.445,311.445,311.445,311.445,201.0,2.0,311.445
ADSK,2025-07-01 15:05:00+00:00,311.82,311.82,311.82,311.82,211.0,8.0,311.82
ADSK,2025-07-01 15:06:00+00:00,311.545,311.545,311.32,311.32,1287.0,26.0,311.359231
ADSK,2025-07-01 15:07:00+00:00,310.91,310.91,309.385,309.385,432.0,8.0,309.893333
ADSK,2025-07-01 15:09:00+00:00,309.665,309.665,309.665,309.665,284.0,10.0,309.665
ADSK,2025-07-01 15:12:00+00:00,309.75,309.75,309.75,309.75,224.0,5.0,309.75
ADSK,2025-07-01 15:13:00+00:00,309.45,309.45,309.445,309.45,493.0,7.0,309.44835
ADSK,2025-07-01 15:15:00+00:00,309.375,309.375,309.375,309.375,298.0,14.0,309.375
ADSK,2025-07-01 15:20:00+00:00,310.03,310.03,309.62,309.62,1267.0,22.0,309.807143
ADSK,2025-07-01 15:21:00+00:00,309.55,309.55,309.38,309.38,439.0,11.0,309.493333
ADSK,2025-07-01 15:23:00+00:00,309.89,309.89,309.89,309.89,205.0,5.0,309.89
ADSK,2025-07-01 15:24:00+00:00,310.21,310.21,310.165,310.165,233.0,4.0,310.1875
ADSK,2025-07-01 15:26:00+00:00,310.285,310.285,310.27,310.27,309.0,5.0,310.2775
ADSK,2025-07-01 15:28:00+00:00,310.435,310.435,310.31,310.31,596.0,8.0,310.408089
ADSK,2025-07-01 15:29:00+00:00,310.315,310.315,310.315,310.315,1322.0,23.0,310.315
ADSK,2025-07-01 15:30:00+00:00,310.36,310.36,310.35,310.35,703.0,17.0,310.355
ADSK,2025-07-01 15:31:00+00:00,310.355,310.4,310.355,310.4,300.0,4.0,310.3775
ADSK,2025-07-01 15:32:00+00:00,310.365,310.365,310.365,310.365,153.0,3.0,310.365
ADSK,2025-07-01 15:33:00+00:00,310.605,310.605,310.605,310.605,400.0,4.0,310.605
ADSK,2025-07-01 15:34:00+00:00,310.605,310.605,310.605,310.605,118.0,2.0,310.605
ADSK,2025-07-01 15:35:00+00:00,310.605,310.605,310.605,310.605,130.0,4.0,310.605
ADSK,2025-07-01 15:36:00+00:00,310.635,310.635,310.31,310.31,450.0,17.0,310.4725
ADSK,2025-07-01 15:37:00+00:00,310.26,310.26,310.07,310.07,337.0,7.0,310.146667
ADSK,2025-07-01 15:40:00+00:00,309.41,309.41,309.41,309.41,137.0,8.0,309.41
ADSK,2025-07-01 15:41:00+00:00,309.395,309.395,309.395,309.395,321.0,11.0,309.395
ADSK,2025-07-01 15:42:00+00:00,309.32,309.32,309.32,309.32,124.0,5.0,309.32
ADSK,2025-07-01 15:44:00+00:00,309.325,309.325,309.325,309.325,130.0,2.0,309.325
ADSK,2025-07-01 15:47:00+00:00,309.15,309.15,309.14,309.14,335.0,11.0,309.145
ADSK,2025-07-01 15:51:00+00:00,309.605,309.605,309.605,309.605,163.0,9.0,309.605
ADSK,2025-07-01 15:52:00+00:00,309.5,309.5,309.5,309.5,117.0,2.0,309.5
ADSK,2025-07-01 15:55:00+00:00,309.53,309.53,309.53,309.53,164.0,5.0,309.53
ADSK,2025-07-01 15:57:00+00:00,309.685,309.685,309.685,309.685,146.0,6.0,309.685
ADSK,2025-07-01 15:59:00+00:00,309.875,309.875,309.875,309.875,101.0,2.0,309.875
ADSK,2025-07-01 16:00:00+00:00,309.87,309.87,309.8,309.8,301.0,4.0,309.830043
ADSK,2025-07-01 16:03:00+00:00,310.25,310.25,310.09,310.09,442.0,5.0,310.2075
ADSK,2025-07-01 16:04:00+00:00,309.81,309.81,309.81,309.81,217.0,8.0,309.81
ADSK,2025-07-01 16:08:00+00:00,309.845,309.845,309.845,309.845,102.0,2.0,309.845
ADSK,2025-07-01 16:10:00+00:00,309.9,309.9,309.9,309.9,309.0,8.0,309.9
