symbol,timestamp,open,high,low,close,volume,trade_count,vwap
AMP,2025-07-01 13:32:00+00:00,531.695,531.695,531.695,531.695,100.0,1.0,531.695
AMP,2025-07-01 13:38:00+00:00,532.0,532.0,532.0,532.0,348.0,5.0,532.0
AMP,2025-07-01 13:59:00+00:00,531.775,531.775,531.775,531.775,241.0,7.0,531.775
AMP,2025-07-01 14:00:00+00:00,531.5,532.23,531.5,532.23,682.0,15.0,531.864
AMP,2025-07-01 14:03:00+00:00,533.12,533.12,533.12,533.12,110.0,3.0,533.12
AMP,2025-07-01 14:05:00+00:00,533.12,533.12,533.12,533.12,208.0,3.0,533.12
AMP,2025-07-01 14:20:00+00:00,531.975,531.975,531.975,531.975,208.0,5.0,531.975
AMP,2025-07-01 14:26:00+00:00,532.48,532.48,532.48,532.48,107.0,3.0,532.48
AMP,2025-07-01 14:31:00+00:00,531.975,531.985,531.975,531.985,704.0,16.0,531.98
AMP,2025-07-01 14:33:00+00:00,532.645,532.645,532.645,532.645,157.0,4.0,532.645
AMP,2025-07-01 14:40:00+00:00,531.85,531.85,531.85,531.85,200.0,3.0,531.85
AMP,2025-07-01 14:47:00+00:00,529.785,529.785,529.55,529.55,301.0,3.0,529.705883
AMP,2025-07-01 14:55:00+00:00,532.26,532.26,532.26,532.26,273.0,12.0,532.26
AMP,2025-07-01 15:02:00+00:00,532.29,532.29,532.29,532.29,172.0,10.0,532.29
AMP,2025-07-01 15:04:00+00:00,532.19,532.19,532.19,532.19,241.0,7.0,532.19
AMP,2025-07-01 15:17:00+00:00,531.97,531.97,531.97,531.97,150.0,4.0,531.97
AMP,2025-07-01 15:21:00+00:00,531.935,531.935,531.935,531.935,106.0,2.0,531.935
AMP,2025-07-01 15:43:00+00:00,532.89,532.89,532.89,532.89,125.0,3.0,532.89
AMP,2025-07-01 16:00:00+00:00,535.565,535.565,535.565,535.565,101.0,2.0,535.565
AMP,2025-07-01 16:03:00+00:00,535.855,535.855,535.855,535.855,126.0,3.0,535.855
AMP,2025-07-01 16:08:00+00:00,536.34,536.34,536.34,536.34,100.0,1.0,536.34
AMP,2025-07-01 16:38:00+00:00,537.9,537.9,537.9,537.9,102.0,3.0,537.9
AMP,2025-07-01 16:51:00+00:00,538.33,538.33,538.33,538.33,105.0,2.0,538.33
AMP,2025-07-01 17:00:00+00:00,536.9,536.9,536.9,536.9,142.0,4.0,536.9
AMP,2025-07-01 17:01:00+00:00,536.48,536.48,536.48,536.48,101.0,2.0,536.48
AMP,2025-07-01 17:11:00+00:00,538.48,538.48,538.48,538.48,104.0,3.0,538.48
AMP,2025-07-01 17:15:00+00:00,538.575,538.575,538.575,538.575,306.0,9.0,538.575
AMP,2025-07-01 17:16:00+00:00,539.955,539.955,539.955,539.955,148.0,3.0,539.955
AMP,2025-07-01 17:46:00+00:00,540.62,540.62,540.62,540.62,168.0,1.0,540.62
AMP,2025-07-01 18:05:00+00:00,540.455,540.455,540.455,540.455,162.0,10.0,540.455
AMP,2025-07-01 18:11:00+00:00,540.045,540.045,540.045,540.045,159.0,4.0,540.045
AMP,2025-07-01 18:13:00+00:00,539.92,540.15,539.92,540.15,384.0,5.0,540.053333
AMP,2025-07-01 18:22:00+00:00,539.77,539.77,539.77,539.77,273.0,11.0,539.77
AMP,2025-07-01 18:31:00+00:00,539.31,539.31,539.31,539.31,162.0,5.0,539.31
AMP,2025-07-01 18:32:00+00:00,539.63,539.63,539.63,539.63,240.0,11.0,539.63
AMP,2025-07-01 18:34:00+00:00,539.8,539.8,539.8,539.8,150.0,3.0,539.8
AMP,2025-07-01 18:40:00+00:00,540.165,540.165,540.03,540.03,216.0,8.0,540.0975
AMP,2025-07-01 18:42:00+00:00,540.44,540.44,540.3,540.3,259.0,6.0,540.37
AMP,2025-07-01 18:52:00+00:00,540.3,540.3,540.3,540.3,104.0,3.0,540.3
AMP,2025-07-01 18:54:00+00:00,540.285,540.285,540.285,540.285,100.0,1.0,540.285
AMP,2025-07-01 19:04:00+00:00,539.18,539.18,539.18,539.18,200.0,3.0,539.18
AMP,2025-07-01 19:05:00+00:00,538.845,538.845,538.845,538.845,101.0,2.0,538.845
AMP,2025-07-01 19:10:00+00:00,538.68,538.68,538.62,538.62,205.0,4.0,538.65
AMP,2025-07-01 19:12:00+00:00,538.32,538.32,538.32,538.32,268.0,7.0,538.32
AMP,2025-07-01 19:15:00+00:00,538.475,538.79,538.475,538.79,363.0,8.0,538.6325
AMP,2025-07-01 19:19:00+00:00,539.255,539.255,539.255,539.255,115.0,2.0,539.255
AMP,2025-07-01 19:26:00+00:00,539.555,539.555,539.555,539.555,119.0,3.0,539.555
AMP,2025-07-01 19:28:00+00:00,539.695,539.695,539.695,539.695,199.0,4.0,539.695
AMP,2025-07-01 19:34:00+00:00,539.08,539.08,539.08,539.08,100.0,1.0,539.08
AMP,2025-07-01 19:38:00+00:00,538.97,538.97,538.97,538.97,108.0,4.0,538.97
AMP,2025-07-01 19:41:00+00:00,539.03,539.03,539.03,539.03,263.0,8.0,539.03
AMP,2025-07-01 19:43:00+00:00,539.56,539.56,539.56,539.56,171.0,4.0,539.56
AMP,2025-07-01 19:45:00+00:00,539.77,539.77,539.77,539.77,170.0,5.0,539.77
AMP,2025-07-01 19:48:00+00:00,539.83,539.83,539.83,539.83,285.0,11.0,539.83
AMP,2025-07-01 19:49:00+00:00,539.45,539.45,539.45,539.45,154.0,4.0,539.45
AMP,2025-07-01 19:55:00+00:00,539.21,539.21,539.21,539.21,359.0,12.0,539.21
AMP,2025-07-01 19:56:00+00:00,538.95,538.95,538.92,538.92,427.0,31.0,538.935
AMP,2025-07-01 19:57:00+00:00,538.37,538.37,538.37,538.37,351.0,21.0,538.37
AMP,2025-07-01 19:58:00+00:00,538.17,538.17,538.17,538.17,131.0,10.0,538.17
AMP,2025-07-01 19:59:00+00:00,538.64,538.64,538.415,538.415,440.0,13.0,538.49
