symbol,timestamp,open,high,low,close,volume,trade_count,vwap
AXON,2025-07-01 14:15:00+00:00,827.015,827.015,827.015,827.015,100.0,1.0,827.015
AXON,2025-07-01 14:17:00+00:00,826.995,826.995,826.995,826.995,141.0,7.0,826.995
AXON,2025-07-01 14:18:00+00:00,827.085,827.085,827.085,827.085,185.0,11.0,827.085
AXON,2025-07-01 14:19:00+00:00,823.515,823.515,823.515,823.515,202.0,7.0,823.515
AXON,2025-07-01 14:21:00+00:00,819.585,819.585,819.585,819.585,158.0,8.0,819.585
AXON,2025-07-01 14:28:00+00:00,815.97,815.97,815.97,815.97,165.0,11.0,815.97
AXON,2025-07-01 14:38:00+00:00,809.975,809.975,809.975,809.975,125.0,3.0,809.975
AXON,2025-07-01 14:39:00+00:00,809.63,809.63,809.63,809.63,163.0,10.0,809.63
AXON,2025-07-01 14:48:00+00:00,807.19,807.19,807.19,807.19,109.0,3.0,807.19
AXON,2025-07-01 14:51:00+00:00,809.05,809.05,809.05,809.05,147.0,7.0,809.05
AXON,2025-07-01 15:09:00+00:00,799.365,802.1,799.365,802.1,516.0,35.0,800.7325
AXON,2025-07-01 15:27:00+00:00,796.44,796.44,796.44,796.44,196.0,8.0,796.44
AXON,2025-07-01 15:32:00+00:00,799.415,799.415,799.415,799.415,153.0,3.0,799.415
AXON,2025-07-01 15:45:00+00:00,791.385,792.35,791.385,792.35,514.0,15.0,791.8675
AXON,2025-07-01 15:50:00+00:00,788.37,788.37,788.37,788.37,126.0,3.0,788.37
AXON,2025-07-01 15:52:00+00:00,790.02,790.02,790.02,790.02,106.0,3.0,790.02
AXON,2025-07-01 15:53:00+00:00,790.15,790.15,790.15,790.15,201.0,6.0,790.15
AXON,2025-07-01 16:20:00+00:00,789.64,789.64,789.64,789.64,153.0,10.0,789.64
AXON,2025-07-01 16:23:00+00:00,785.945,785.945,785.945,785.945,148.0,4.0,785.945
AXON,2025-07-01 16:33:00+00:00,787.7,787.7,787.7,787.7,163.0,7.0,787.7
AXON,2025-07-01 16:35:00+00:00,788.42,788.42,788.42,788.42,229.0,20.0,788.42
AXON,2025-07-01 16:39:00+00:00,789.585,789.585,789.585,789.585,246.0,13.0,789.585
AXON,2025-07-01 16:42:00+00:00,788.95,788.95,788.95,788.95,512.0,20.0,788.95
