symbol,timestamp,open,high,low,close,volume,trade_count,vwap
AXP,2025-07-01 13:31:00+00:00,317.03,317.03,317.03,317.03,244.0,3.0,317.03
AXP,2025-07-01 13:32:00+00:00,317.37,317.42,317.37,317.42,339.0,5.0,317.400843
AXP,2025-07-01 13:35:00+00:00,318.08,318.08,318.08,318.08,327.0,6.0,318.08
AXP,2025-07-01 13:36:00+00:00,317.61,317.675,317.61,317.675,200.0,2.0,317.6425
AXP,2025-07-01 13:37:00+00:00,317.96,317.96,317.96,317.96,100.0,1.0,317.96
AXP,2025-07-01 13:39:00+00:00,317.5,317.5,317.5,317.5,147.0,2.0,317.5
AXP,2025-07-01 13:40:00+00:00,317.37,317.69,317.37,317.69,300.0,2.0,317.476667
AXP,2025-07-01 13:41:00+00:00,317.92,317.92,317.92,317.92,173.0,6.0,317.92
AXP,2025-07-01 13:45:00+00:00,318.465,318.465,318.465,318.465,227.0,3.0,318.465
AXP,2025-07-01 13:46:00+00:00,318.89,318.905,318.89,318.89,963.0,6.0,318.9
AXP,2025-07-01 13:47:00+00:00,318.9,318.9,318.9,318.9,202.0,3.0,318.9
AXP,2025-07-01 13:48:00+00:00,319.1,319.1,319.1,319.1,220.0,8.0,319.1
AXP,2025-07-01 13:50:00+00:00,319.49,319.49,319.35,319.35,753.0,15.0,319.446774
AXP,2025-07-01 13:51:00+00:00,319.47,319.55,319.47,319.535,400.0,3.0,319.5225
AXP,2025-07-01 13:52:00+00:00,319.4,319.4,319.27,319.27,754.0,11.0,319.367742
AXP,2025-07-01 13:53:00+00:00,319.15,319.16,319.12,319.12,673.0,9.0,319.143333
AXP,2025-07-01 13:54:00+00:00,319.16,319.16,319.14,319.14,400.0,3.0,319.145
AXP,2025-07-01 13:56:00+00:00,318.905,318.93,318.9,318.905,1110.0,9.0,318.911364
AXP,2025-07-01 13:58:00+00:00,318.525,318.525,318.525,318.525,200.0,1.0,318.525
AXP,2025-07-01 13:59:00+00:00,318.715,318.715,318.715,318.715,200.0,1.0,318.715
AXP,2025-07-01 14:00:00+00:00,318.88,318.88,318.825,318.825,602.0,9.0,318.84375
AXP,2025-07-01 14:01:00+00:00,319.22,319.22,319.095,319.115,593.0,6.0,319.128
AXP,2025-07-01 14:02:00+00:00,319.475,319.475,319.475,319.475,280.0,3.0,319.475
AXP,2025-07-01 14:03:00+00:00,319.335,319.335,319.335,319.335,100.0,1.0,319.335
AXP,2025-07-01 14:04:00+00:00,319.32,319.34,319.32,319.335,1000.0,7.0,319.3345
AXP,2025-07-01 14:05:00+00:00,319.335,319.68,319.33,319.63,1953.0,24.0,319.454412
AXP,2025-07-01 14:06:00+00:00,319.67,319.67,319.65,319.65,200.0,2.0,319.66
AXP,2025-07-01 14:07:00+00:00,319.55,319.55,319.55,319.55,601.0,4.0,319.55
AXP,2025-07-01 14:08:00+00:00,319.92,319.92,319.92,319.92,218.0,3.0,319.92
AXP,2025-07-01 14:09:00+00:00,319.885,319.885,319.885,319.885,206.0,3.0,319.885
AXP,2025-07-01 14:11:00+00:00,319.56,319.565,319.56,319.565,202.0,3.0,319.5625
AXP,2025-07-01 14:15:00+00:00,319.97,319.97,319.97,319.97,108.0,2.0,319.97
AXP,2025-07-01 14:17:00+00:00,319.785,319.785,319.78,319.78,280.0,4.0,319.7825
AXP,2025-07-01 14:18:00+00:00,319.87,319.87,319.86,319.86,680.0,8.0,319.863333
AXP,2025-07-01 14:20:00+00:00,319.77,319.775,319.72,319.775,792.0,9.0,319.750714
AXP,2025-07-01 14:22:00+00:00,319.67,319.67,319.67,319.67,336.0,6.0,319.67
AXP,2025-07-01 14:24:00+00:00,319.58,319.58,319.49,319.49,391.0,5.0,319.55
AXP,2025-07-01 14:25:00+00:00,319.31,319.565,319.31,319.565,471.0,5.0,319.4325
AXP,2025-07-01 14:26:00+00:00,319.53,319.53,319.45,319.51,602.0,8.0,319.501667
AXP,2025-07-01 14:28:00+00:00,319.19,319.19,319.19,319.19,216.0,8.0,319.19
AXP,2025-07-01 14:30:00+00:00,318.965,319.14,318.965,319.14,360.0,7.0,319.023333
AXP,2025-07-01 14:31:00+00:00,319.22,319.42,319.22,319.42,267.0,10.0,319.32
AXP,2025-07-01 14:32:00+00:00,319.47,319.55,319.47,319.55,469.0,10.0,319.51
AXP,2025-07-01 14:33:00+00:00,319.52,319.52,319.385,319.385,391.0,6.0,319.4525
AXP,2025-07-01 14:34:00+00:00,319.645,319.645,319.62,319.62,504.0,17.0,319.6325
AXP,2025-07-01 14:36:00+00:00,319.465,319.465,319.465,319.465,294.0,5.0,319.465
AXP,2025-07-01 14:38:00+00:00,318.945,318.945,318.6,318.69,622.0,16.0,318.795
AXP,2025-07-01 14:40:00+00:00,318.63,318.63,318.63,318.63,128.0,9.0,318.63
AXP,2025-07-01 14:41:00+00:00,318.845,318.845,318.82,318.82,402.0,6.0,318.836667
AXP,2025-07-01 14:42:00+00:00,318.575,318.575,318.55,318.55,243.0,5.0,318.5625
AXP,2025-07-01 14:43:00+00:00,318.55,318.55,318.55,318.55,242.0,6.0,318.55
AXP,2025-07-01 14:44:00+00:00,318.42,318.42,318.37,318.37,1902.0,5.0,318.409474
AXP,2025-07-01 14:45:00+00:00,318.4,318.4,318.3,318.3,566.0,12.0,318.336667
AXP,2025-07-01 14:46:00+00:00,318.28,318.28,318.28,318.28,100.0,1.0,318.28
AXP,2025-07-01 14:47:00+00:00,318.3,318.3,318.3,318.3,141.0,3.0,318.3
AXP,2025-07-01 14:48:00+00:00,318.01,318.01,318.01,318.01,109.0,9.0,318.01
AXP,2025-07-01 14:49:00+00:00,318.08,318.08,318.08,318.08,200.0,2.0,318.08
AXP,2025-07-01 14:52:00+00:00,318.34,318.365,318.34,318.365,358.0,5.0,318.351667
AXP,2025-07-01 14:55:00+00:00,318.8,318.8,318.8,318.8,121.0,4.0,318.8
AXP,2025-07-01 14:56:00+00:00,318.96,318.96,318.96,318.96,213.0,4.0,318.96
AXP,2025-07-01 14:57:00+00:00,318.955,318.955,318.75,318.79,404.0,8.0,318.831667
AXP,2025-07-01 14:58:00+00:00,318.74,318.8,318.65,318.65,424.0,8.0,318.73
AXP,2025-07-01 14:59:00+00:00,318.67,318.81,318.67,318.81,934.0,19.0,318.771667
AXP,2025-07-01 15:01:00+00:00,319.11,319.11,319.11,319.11,225.0,5.0,319.11
AXP,2025-07-01 15:05:00+00:00,319.69,319.73,319.67,319.67,413.0,8.0,319.7025
AXP,2025-07-01 15:07:00+00:00,319.71,319.71,319.71,319.71,134.0,6.0,319.71
AXP,2025-07-01 15:08:00+00:00,319.27,319.27,319.27,319.27,175.0,7.0,319.27
AXP,2025-07-01 15:10:00+00:00,318.97,318.97,318.97,318.97,198.0,9.0,318.97
AXP,2025-07-01 15:12:00+00:00,319.085,319.085,319.05,319.06,302.0,4.0,319.065
AXP,2025-07-01 15:13:00+00:00,319.045,319.05,319.045,319.05,213.0,6.0,319.0475
AXP,2025-07-01 15:14:00+00:00,319.02,319.02,318.97,318.985,510.0,7.0,318.987
AXP,2025-07-01 15:19:00+00:00,318.895,318.895,318.895,318.895,131.0,4.0,318.895
AXP,2025-07-01 15:21:00+00:00,319.01,319.14,318.97,319.14,541.0,7.0,319.022
AXP,2025-07-01 15:23:00+00:00,319.37,319.37,319.37,319.37,102.0,2.0,319.37
AXP,2025-07-01 15:25:00+00:00,319.74,319.79,319.685,319.685,464.0,9.0,319.725
AXP,2025-07-01 15:26:00+00:00,320.01,320.01,320.01,320.01,100.0,1.0,320.01
AXP,2025-07-01 15:27:00+00:00,320.13,320.145,320.13,320.145,348.0,7.0,320.135
AXP,2025-07-01 15:28:00+00:00,320.255,320.255,320.255,320.255,162.0,8.0,320.255
AXP,2025-07-01 15:29:00+00:00,320.23,320.23,320.23,320.23,310.0,16.0,320.23
AXP,2025-07-01 15:30:00+00:00,320.3,320.47,320.2,320.47,3151.0,49.0,320.267315
AXP,2025-07-01 15:32:00+00:00,320.665,320.665,320.665,320.665,140.0,4.0,320.665
AXP,2025-07-01 15:33:00+00:00,320.675,320.675,320.675,320.675,242.0,8.0,320.675
AXP,2025-07-01 15:34:00+00:00,320.99,321.035,320.945,321.035,467.0,13.0,321.00125
AXP,2025-07-01 15:35:00+00:00,321.14,321.14,320.91,320.91,609.0,20.0,321.03
AXP,2025-07-01 15:38:00+00:00,320.7,320.7,320.36,320.36,1675.0,14.0,320.6175
AXP,2025-07-01 15:39:00+00:00,320.25,320.3,320.22,320.3,425.0,9.0,320.2675
AXP,2025-07-01 15:40:00+00:00,320.3,320.31,320.11,320.11,349.0,11.0,320.24
AXP,2025-07-01 15:41:00+00:00,320.04,320.04,320.015,320.04,429.0,6.0,320.03375
AXP,2025-07-01 15:42:00+00:00,319.805,319.805,319.805,319.805,200.0,1.0,319.805
AXP,2025-07-01 15:43:00+00:00,319.945,319.945,319.945,319.945,452.0,9.0,319.945
AXP,2025-07-01 15:44:00+00:00,319.455,319.455,319.18,319.18,511.0,12.0,319.28
AXP,2025-07-01 15:49:00+00:00,319.535,319.535,319.53,319.53,200.0,2.0,319.5325
AXP,2025-07-01 15:52:00+00:00,319.99,319.995,319.99,319.995,362.0,10.0,319.991667
AXP,2025-07-01 15:54:00+00:00,319.975,319.975,319.975,319.975,121.0,3.0,319.975
AXP,2025-07-01 16:00:00+00:00,320.47,320.47,320.47,320.47,236.0,10.0,320.47
AXP,2025-07-01 16:01:00+00:00,320.55,320.615,320.53,320.53,492.0,9.0,320.55625
AXP,2025-07-01 16:02:00+00:00,320.69,320.69,320.69,320.69,193.0,6.0,320.69
AXP,2025-07-01 16:03:00+00:00,320.77,320.77,320.77,320.77,317.0,7.0,320.77
AXP,2025-07-01 16:04:00+00:00,320.795,320.795,320.795,320.795,473.0,11.0,320.795
AXP,2025-07-01 16:06:00+00:00,320.93,320.93,320.93,320.93,122.0,3.0,320.93
AXP,2025-07-01 16:07:00+00:00,321.025,321.06,321.0,321.0,639.0,11.0,321.026316
AXP,2025-07-01 16:08:00+00:00,320.94,320.94,320.94,320.94,208.0,10.0,320.94
AXP,2025-07-01 16:13:00+00:00,321.01,321.01,321.01,321.01,144.0,8.0,321.01
AXP,2025-07-01 16:14:00+00:00,321.22,321.22,321.22,321.22,297.0,12.0,321.22
AXP,2025-07-01 16:17:00+00:00,321.34,321.34,321.34,321.34,148.0,5.0,321.34
AXP,2025-07-01 16:18:00+00:00,321.47,321.47,321.45,321.45,373.0,8.0,321.46
AXP,2025-07-01 16:19:00+00:00,321.52,321.52,321.52,321.52,156.0,7.0,321.52
AXP,2025-07-01 16:20:00+00:00,321.46,321.52,321.44,321.44,799.0,12.0,321.481429
AXP,2025-07-01 16:23:00+00:00,321.32,321.32,321.32,321.32,234.0,4.0,321.32
AXP,2025-07-01 16:24:00+00:00,321.43,321.47,321.43,321.47,309.0,5.0,321.443333
AXP,2025-07-01 16:27:00+00:00,321.47,321.47,321.47,321.47,109.0,4.0,321.47
AXP,2025-07-01 16:28:00+00:00,321.52,321.58,321.51,321.54,1105.0,11.0,321.536364
AXP,2025-07-01 16:29:00+00:00,321.56,321.63,321.56,321.605,1512.0,20.0,321.606538
AXP,2025-07-01 16:30:00+00:00,321.58,321.58,321.555,321.555,614.0,9.0,321.5675
AXP,2025-07-01 16:31:00+00:00,321.825,321.825,321.825,321.825,247.0,4.0,321.825
AXP,2025-07-01 16:32:00+00:00,321.905,321.905,321.905,321.905,307.0,5.0,321.905
AXP,2025-07-01 16:34:00+00:00,321.88,321.88,321.88,321.88,431.0,4.0,321.88
AXP,2025-07-01 16:35:00+00:00,321.88,321.905,321.855,321.855,489.0,10.0,321.875
AXP,2025-07-01 16:36:00+00:00,322.025,322.025,321.895,321.895,317.0,4.0,321.981667
AXP,2025-07-01 16:37:00+00:00,322.01,322.01,322.01,322.01,214.0,8.0,322.01
AXP,2025-07-01 16:39:00+00:00,321.81,321.81,321.81,321.81,153.0,7.0,321.81
AXP,2025-07-01 16:40:00+00:00,321.94,322.03,321.94,322.03,451.0,6.0,321.975
AXP,2025-07-01 16:41:00+00:00,322.01,322.03,321.91,321.91,1097.0,13.0,321.978
AXP,2025-07-01 16:42:00+00:00,321.93,321.93,321.89,321.89,606.0,6.0,321.91
AXP,2025-07-01 16:43:00+00:00,321.81,321.81,321.81,321.81,119.0,5.0,321.81
AXP,2025-07-01 16:44:00+00:00,321.62,321.62,321.485,321.485,359.0,9.0,321.5525
AXP,2025-07-01 16:46:00+00:00,321.6,321.6,321.6,321.6,157.0,4.0,321.6
AXP,2025-07-01 16:48:00+00:00,321.63,321.63,321.63,321.63,509.0,14.0,321.63
AXP,2025-07-01 16:50:00+00:00,322.07,322.1,322.055,322.09,508.0,8.0,322.074
AXP,2025-07-01 16:51:00+00:00,322.33,322.33,322.33,322.33,128.0,4.0,322.33
AXP,2025-07-01 16:53:00+00:00,322.595,322.595,322.595,322.595,235.0,11.0,322.595
AXP,2025-07-01 16:54:00+00:00,322.665,322.75,322.535,322.535,2134.0,23.0,322.70125
AXP,2025-07-01 16:55:00+00:00,322.53,322.53,322.495,322.5,1510.0,14.0,322.504667
AXP,2025-07-01 16:56:00+00:00,322.5,322.5,322.12,322.12,283.0,9.0,322.31
AXP,2025-07-01 16:57:00+00:00,322.025,322.025,321.93,322.015,1017.0,12.0,321.9955
AXP,2025-07-01 16:58:00+00:00,322.015,322.015,322.015,322.015,471.0,13.0,322.015
AXP,2025-07-01 16:59:00+00:00,321.955,321.955,321.86,321.875,518.0,12.0,321.91125
AXP,2025-07-01 17:01:00+00:00,322.03,322.03,322.03,322.03,307.0,4.0,322.03
AXP,2025-07-01 17:02:00+00:00,321.755,321.78,321.755,321.78,328.0,5.0,321.762862
AXP,2025-07-01 17:03:00+00:00,322.13,322.13,322.13,322.13,250.0,3.0,322.13
AXP,2025-07-01 17:04:00+00:00,322.27,322.27,322.27,322.27,107.0,3.0,322.27
AXP,2025-07-01 17:06:00+00:00,322.41,322.41,322.41,322.41,252.0,12.0,322.41
AXP,2025-07-01 17:08:00+00:00,322.345,322.5,322.345,322.5,231.0,7.0,322.4225
AXP,2025-07-01 17:09:00+00:00,322.51,322.52,322.47,322.47,476.0,8.0,322.5
AXP,2025-07-01 17:10:00+00:00,322.575,322.59,322.57,322.59,1541.0,18.0,322.574231
AXP,2025-07-01 17:11:00+00:00,322.6,322.69,322.6,322.69,515.0,7.0,322.632
AXP,2025-07-01 17:12:00+00:00,323.03,323.03,322.96,322.96,376.0,5.0,323.003333
AXP,2025-07-01 17:14:00+00:00,323.16,323.19,323.16,323.16,476.0,6.0,323.175
AXP,2025-07-01 17:15:00+00:00,323.27,323.28,323.26,323.26,308.0,5.0,323.27
AXP,2025-07-01 17:16:00+00:00,323.21,323.21,323.21,323.21,283.0,7.0,323.21
AXP,2025-07-01 17:17:00+00:00,323.53,323.53,323.495,323.495,200.0,2.0,323.5125
AXP,2025-07-01 17:18:00+00:00,323.58,323.58,323.58,323.58,176.0,4.0,323.58
AXP,2025-07-01 17:20:00+00:00,323.65,323.65,323.59,323.605,499.0,11.0,323.6125
AXP,2025-07-01 17:21:00+00:00,323.51,323.59,323.39,323.39,416.0,9.0,323.51
AXP,2025-07-01 17:23:00+00:00,323.44,323.44,323.44,323.44,307.0,3.0,323.44
AXP,2025-07-01 17:24:00+00:00,323.46,323.5,323.39,323.43,1488.0,12.0,323.48
AXP,2025-07-01 17:25:00+00:00,323.555,323.745,323.53,323.745,3838.0,37.0,323.581503
AXP,2025-07-01 17:26:00+00:00,323.715,323.73,323.715,323.73,218.0,4.0,323.7225
AXP,2025-07-01 17:27:00+00:00,323.72,323.73,323.62,323.62,1034.0,13.0,323.704444
AXP,2025-07-01 17:28:00+00:00,323.71,323.71,323.71,323.71,336.0,11.0,323.71
AXP,2025-07-01 17:30:00+00:00,323.985,324.045,323.985,323.99,442.0,12.0,324.005249
AXP,2025-07-01 17:31:00+00:00,324.02,324.02,324.02,324.02,139.0,4.0,324.02
AXP,2025-07-01 17:34:00+00:00,323.765,323.765,323.765,323.765,222.0,2.0,323.765
AXP,2025-07-01 17:35:00+00:00,323.735,323.735,323.735,323.735,179.0,5.0,323.735
AXP,2025-07-01 17:36:00+00:00,323.8,323.8,323.8,323.8,140.0,2.0,323.8
AXP,2025-07-01 17:38:00+00:00,323.75,323.75,323.75,323.75,309.0,5.0,323.75
AXP,2025-07-01 17:39:00+00:00,323.82,323.825,323.805,323.805,900.0,7.0,323.822222
AXP,2025-07-01 17:41:00+00:00,324.025,324.025,323.94,323.96,479.0,8.0,323.972609
AXP,2025-07-01 17:43:00+00:00,324.07,324.07,324.07,324.07,383.0,5.0,324.07
AXP,2025-07-01 17:44:00+00:00,324.04,324.04,323.93,324.0,939.0,15.0,324.018571
AXP,2025-07-01 17:45:00+00:00,324.0,324.0,324.0,324.0,300.0,2.0,324.0
AXP,2025-07-01 17:47:00+00:00,323.91,323.91,323.85,323.905,1107.0,14.0,323.886667
AXP,2025-07-01 17:48:00+00:00,323.915,323.915,323.88,323.88,405.0,7.0,323.90375
AXP,2025-07-01 17:50:00+00:00,323.92,324.025,323.88,324.025,622.0,8.0,323.951
