symbol,timestamp,open,high,low,close,volume,trade_count,vwap
BG,2025-07-01 13:31:00+00:00,79.59,79.59,79.59,79.59,180.0,6.0,79.59
BG,2025-07-01 13:32:00+00:00,79.53,79.53,79.53,79.53,100.0,1.0,79.53
BG,2025-07-01 13:33:00+00:00,79.57,79.57,79.57,79.57,101.0,2.0,79.57
BG,2025-07-01 13:34:00+00:00,79.55,79.55,79.55,79.55,201.0,4.0,79.55
BG,2025-07-01 13:38:00+00:00,79.635,79.635,79.635,79.635,100.0,1.0,79.635
BG,2025-07-01 13:39:00+00:00,79.77,79.77,79.73,79.73,525.0,7.0,79.751567
BG,2025-07-01 13:43:00+00:00,79.1,79.1,79.1,79.1,100.0,1.0,79.1
BG,2025-07-01 13:44:00+00:00,79.01,79.01,79.01,79.01,162.0,6.0,79.01
BG,2025-07-01 13:46:00+00:00,79.15,79.15,79.15,79.15,500.0,11.0,79.15
BG,2025-07-01 13:47:00+00:00,79.135,79.135,79.135,79.135,200.0,2.0,79.135
BG,2025-07-01 13:48:00+00:00,79.135,79.52,79.135,79.39,456.0,6.0,79.34125
BG,2025-07-01 13:52:00+00:00,79.7,79.7,79.7,79.7,231.0,7.0,79.7
BG,2025-07-01 13:55:00+00:00,79.78,79.915,79.78,79.915,512.0,15.0,79.837994
BG,2025-07-01 13:56:00+00:00,79.795,79.795,79.76,79.765,575.0,10.0,79.774804
BG,2025-07-01 13:57:00+00:00,79.715,79.715,79.715,79.715,182.0,7.0,79.715
BG,2025-07-01 13:58:00+00:00,79.78,79.79,79.78,79.79,300.0,3.0,79.786667
BG,2025-07-01 13:59:00+00:00,79.76,79.76,79.76,79.76,172.0,5.0,79.76
BG,2025-07-01 14:00:00+00:00,79.78,79.78,79.78,79.78,400.0,7.0,79.78
BG,2025-07-01 14:02:00+00:00,79.775,79.775,79.775,79.775,101.0,2.0,79.775
BG,2025-07-01 14:03:00+00:00,79.81,79.81,79.81,79.81,253.0,8.0,79.81
BG,2025-07-01 14:05:00+00:00,79.73,79.73,79.58,79.58,539.0,7.0,79.688435
BG,2025-07-01 14:08:00+00:00,79.59,79.59,79.59,79.59,263.0,7.0,79.59
BG,2025-07-01 14:09:00+00:00,79.635,79.635,79.635,79.635,190.0,8.0,79.635
BG,2025-07-01 14:10:00+00:00,79.72,79.72,79.72,79.72,207.0,7.0,79.72
BG,2025-07-01 14:11:00+00:00,79.73,79.73,79.73,79.73,109.0,5.0,79.73
BG,2025-07-01 14:12:00+00:00,79.74,79.74,79.74,79.74,110.0,3.0,79.74
BG,2025-07-01 14:13:00+00:00,79.72,79.73,79.72,79.73,521.0,17.0,79.725
BG,2025-07-01 14:14:00+00:00,79.73,79.73,79.73,79.73,123.0,2.0,79.73
BG,2025-07-01 14:15:00+00:00,79.55,79.685,79.55,79.685,611.0,12.0,79.625
BG,2025-07-01 14:17:00+00:00,79.71,79.71,79.71,79.71,125.0,3.0,79.71
BG,2025-07-01 14:18:00+00:00,79.72,79.72,79.72,79.72,214.0,5.0,79.72
BG,2025-07-01 14:22:00+00:00,79.68,79.68,79.68,79.68,134.0,5.0,79.68
BG,2025-07-01 14:23:00+00:00,79.795,79.795,79.795,79.795,158.0,5.0,79.795
BG,2025-07-01 14:24:00+00:00,79.79,79.79,79.79,79.79,122.0,3.0,79.79
BG,2025-07-01 14:27:00+00:00,79.72,79.72,79.72,79.72,113.0,6.0,79.72
BG,2025-07-01 14:30:00+00:00,79.945,79.945,79.945,79.945,259.0,5.0,79.945
BG,2025-07-01 14:31:00+00:00,79.96,79.96,79.955,79.96,612.0,14.0,79.958333
BG,2025-07-01 14:32:00+00:00,79.965,79.965,79.865,79.9,549.0,7.0,79.93
BG,2025-07-01 14:33:00+00:00,79.98,79.98,79.92,79.92,287.0,3.0,79.947273
BG,2025-07-01 14:35:00+00:00,80.105,80.105,80.105,80.105,189.0,4.0,80.105
BG,2025-07-01 14:40:00+00:00,80.235,80.235,80.235,80.235,238.0,7.0,80.235
BG,2025-07-01 14:41:00+00:00,80.21,80.21,80.21,80.21,196.0,3.0,80.21
BG,2025-07-01 14:42:00+00:00,80.29,80.29,80.29,80.29,219.0,5.0,80.29
BG,2025-07-01 14:43:00+00:00,80.495,80.495,80.495,80.495,100.0,1.0,80.495
BG,2025-07-01 14:44:00+00:00,80.495,80.5,80.495,80.5,296.0,2.0,80.497027
BG,2025-07-01 14:45:00+00:00,80.505,80.505,80.505,80.505,125.0,2.0,80.505
BG,2025-07-01 14:47:00+00:00,80.68,80.68,80.68,80.68,290.0,8.0,80.68
BG,2025-07-01 14:48:00+00:00,80.64,80.67,80.62,80.67,433.0,7.0,80.6375
BG,2025-07-01 14:51:00+00:00,80.63,80.63,80.63,80.63,151.0,3.0,80.63
BG,2025-07-01 14:52:00+00:00,80.645,80.645,80.645,80.645,455.0,2.0,80.645
BG,2025-07-01 14:53:00+00:00,80.63,80.63,80.57,80.57,359.0,4.0,80.596667
BG,2025-07-01 14:54:00+00:00,80.62,80.62,80.62,80.62,123.0,3.0,80.62
BG,2025-07-01 14:55:00+00:00,80.615,80.615,80.615,80.615,242.0,5.0,80.615
BG,2025-07-01 14:56:00+00:00,80.655,80.655,80.655,80.655,100.0,1.0,80.655
BG,2025-07-01 14:57:00+00:00,80.66,80.66,80.66,80.66,400.0,4.0,80.66
BG,2025-07-01 14:58:00+00:00,80.66,80.66,80.66,80.66,200.0,5.0,80.66
BG,2025-07-01 14:59:00+00:00,80.635,80.635,80.635,80.635,359.0,6.0,80.635
BG,2025-07-01 15:01:00+00:00,80.64,80.64,80.64,80.64,662.0,13.0,80.64
BG,2025-07-01 15:02:00+00:00,80.685,80.7,80.685,80.7,584.0,9.0,80.691997
BG,2025-07-01 15:03:00+00:00,80.7,80.715,80.7,80.715,428.0,8.0,80.7075
BG,2025-07-01 15:04:00+00:00,80.7,80.7,80.7,80.7,125.0,2.0,80.7
BG,2025-07-01 15:05:00+00:00,80.74,80.74,80.74,80.74,223.0,5.0,80.74
BG,2025-07-01 15:06:00+00:00,80.735,80.735,80.735,80.735,143.0,3.0,80.735
BG,2025-07-01 15:08:00+00:00,80.96,80.96,80.91,80.91,310.0,6.0,80.935
BG,2025-07-01 15:10:00+00:00,80.94,80.955,80.94,80.955,895.0,10.0,80.942143
BG,2025-07-01 15:11:00+00:00,80.88,80.93,80.88,80.93,727.0,12.0,80.915294
BG,2025-07-01 15:12:00+00:00,80.86,80.86,80.86,80.86,100.0,1.0,80.86
BG,2025-07-01 15:13:00+00:00,80.905,80.905,80.905,80.905,125.0,2.0,80.905
BG,2025-07-01 15:14:00+00:00,80.9,80.9,80.9,80.9,201.0,3.0,80.9
BG,2025-07-01 15:16:00+00:00,80.99,80.99,80.99,80.99,100.0,1.0,80.99
BG,2025-07-01 15:17:00+00:00,81.0,81.0,81.0,81.0,350.0,7.0,81.0
BG,2025-07-01 15:19:00+00:00,81.01,81.01,81.01,81.01,198.0,2.0,81.01
BG,2025-07-01 15:20:00+00:00,80.98,80.98,80.975,80.975,970.0,15.0,80.978611
BG,2025-07-01 15:21:00+00:00,81.085,81.085,81.085,81.085,100.0,1.0,81.085
BG,2025-07-01 15:22:00+00:00,81.085,81.085,81.085,81.085,142.0,2.0,81.085
BG,2025-07-01 15:24:00+00:00,81.01,81.025,80.97,80.97,562.0,7.0,80.99625
BG,2025-07-01 15:25:00+00:00,80.96,80.96,80.96,80.96,202.0,5.0,80.96
BG,2025-07-01 15:28:00+00:00,80.84,80.84,80.84,80.84,190.0,5.0,80.84
BG,2025-07-01 15:31:00+00:00,80.73,80.73,80.73,80.73,354.0,6.0,80.73
BG,2025-07-01 15:32:00+00:00,80.715,80.715,80.715,80.715,360.0,7.0,80.715
BG,2025-07-01 15:33:00+00:00,80.735,80.735,80.735,80.735,103.0,1.0,80.735
BG,2025-07-01 15:35:00+00:00,80.765,80.765,80.765,80.765,258.0,3.0,80.765
BG,2025-07-01 15:36:00+00:00,80.83,80.83,80.83,80.83,101.0,2.0,80.83
BG,2025-07-01 15:37:00+00:00,80.825,80.825,80.825,80.825,322.0,8.0,80.825
BG,2025-07-01 15:38:00+00:00,80.795,80.795,80.795,80.795,225.0,3.0,80.795
BG,2025-07-01 15:39:00+00:00,80.785,80.865,80.785,80.865,764.0,15.0,80.842
BG,2025-07-01 15:42:00+00:00,80.95,80.95,80.95,80.95,100.0,1.0,80.95
BG,2025-07-01 15:46:00+00:00,80.95,80.955,80.95,80.955,1100.0,10.0,80.951818
BG,2025-07-01 15:47:00+00:00,80.945,80.945,80.945,80.945,302.0,7.0,80.945
BG,2025-07-01 15:49:00+00:00,80.96,80.96,80.95,80.95,290.0,4.0,80.955
BG,2025-07-01 15:50:00+00:00,80.95,81.03,80.95,81.03,609.0,14.0,80.976667
BG,2025-07-01 15:51:00+00:00,81.05,81.05,81.05,81.05,101.0,2.0,81.05
BG,2025-07-01 15:52:00+00:00,81.03,81.03,81.03,81.03,182.0,2.0,81.03
BG,2025-07-01 15:55:00+00:00,81.05,81.05,81.05,81.05,100.0,1.0,81.05
BG,2025-07-01 15:57:00+00:00,81.13,81.155,81.13,81.155,345.0,5.0,81.146667
BG,2025-07-01 15:59:00+00:00,81.17,81.17,81.17,81.17,152.0,4.0,81.17
BG,2025-07-01 16:01:00+00:00,81.15,81.15,81.15,81.15,140.0,2.0,81.15
BG,2025-07-01 16:02:00+00:00,81.19,81.19,81.19,81.19,109.0,5.0,81.19
BG,2025-07-01 16:04:00+00:00,81.23,81.23,81.23,81.23,398.0,17.0,81.23
BG,2025-07-01 16:06:00+00:00,81.28,81.28,81.28,81.28,131.0,5.0,81.28
BG,2025-07-01 16:08:00+00:00,81.22,81.23,81.22,81.23,599.0,11.0,81.226667
BG,2025-07-01 16:12:00+00:00,81.34,81.34,81.34,81.34,101.0,2.0,81.34
BG,2025-07-01 16:13:00+00:00,81.325,81.325,81.325,81.325,200.0,2.0,81.325
BG,2025-07-01 16:15:00+00:00,81.3,81.3,81.29,81.29,403.0,4.0,81.295
BG,2025-07-01 16:16:00+00:00,81.32,81.35,81.32,81.34,526.0,14.0,81.337647
BG,2025-07-01 16:17:00+00:00,81.405,81.405,81.405,81.405,102.0,2.0,81.405
BG,2025-07-01 16:20:00+00:00,81.39,81.39,81.39,81.39,202.0,4.0,81.39
BG,2025-07-01 16:21:00+00:00,81.385,81.385,81.385,81.385,742.0,13.0,81.385
BG,2025-07-01 16:22:00+00:00,81.44,81.44,81.44,81.44,181.0,7.0,81.44
