symbol,timestamp,open,high,low,close,volume,trade_count,vwap
BSX,2025-07-01 13:30:00+00:00,107.175,107.31,107.1,107.155,1603.0,22.0,107.18729
BSX,2025-07-01 13:31:00+00:00,107.29,107.29,107.27,107.27,208.0,6.0,107.28
BSX,2025-07-01 13:32:00+00:00,107.385,107.385,107.03,107.03,4449.0,23.0,107.100207
BSX,2025-07-01 13:33:00+00:00,106.92,106.945,106.92,106.945,504.0,5.0,106.93875
BSX,2025-07-01 13:34:00+00:00,106.97,106.97,106.8,106.865,1911.0,18.0,106.864687
BSX,2025-07-01 13:35:00+00:00,106.815,106.915,106.77,106.915,994.0,12.0,106.816667
BSX,2025-07-01 13:36:00+00:00,106.91,106.93,106.91,106.93,416.0,7.0,106.92
BSX,2025-07-01 13:37:00+00:00,106.92,106.97,106.92,106.97,1205.0,14.0,106.952778
BSX,2025-07-01 13:38:00+00:00,107.0,107.025,107.0,107.015,1083.0,14.0,107.015556
BSX,2025-07-01 13:39:00+00:00,106.99,106.995,106.97,106.995,1503.0,24.0,106.985539
BSX,2025-07-01 13:40:00+00:00,106.99,107.02,106.99,107.02,738.0,15.0,107.004888
BSX,2025-07-01 13:41:00+00:00,107.125,107.125,107.09,107.09,1171.0,21.0,107.112857
BSX,2025-07-01 13:42:00+00:00,107.065,107.07,106.99,107.06,784.0,28.0,107.05
BSX,2025-07-01 13:43:00+00:00,107.06,107.06,107.01,107.02,1237.0,28.0,107.027213
BSX,2025-07-01 13:44:00+00:00,107.0,107.025,106.99,107.025,3179.0,37.0,107.004929
BSX,2025-07-01 13:45:00+00:00,106.985,107.035,106.85,106.85,3194.0,49.0,106.988846
BSX,2025-07-01 13:46:00+00:00,106.82,106.82,106.75,106.75,505.0,6.0,106.7675
BSX,2025-07-01 13:47:00+00:00,106.895,106.895,106.89,106.89,354.0,5.0,106.8925
BSX,2025-07-01 13:48:00+00:00,106.755,106.755,106.72,106.72,560.0,7.0,106.72998
BSX,2025-07-01 13:49:00+00:00,106.665,106.735,106.665,106.675,1950.0,12.0,106.693333
BSX,2025-07-01 13:50:00+00:00,106.71,106.79,106.705,106.77,862.0,10.0,106.744855
BSX,2025-07-01 13:51:00+00:00,106.795,106.8,106.76,106.76,7999.0,25.0,106.782598
BSX,2025-07-01 13:52:00+00:00,106.755,106.77,106.755,106.77,424.0,3.0,106.75875
BSX,2025-07-01 13:53:00+00:00,106.86,106.935,106.86,106.935,1031.0,21.0,106.92
BSX,2025-07-01 13:54:00+00:00,106.965,106.97,106.965,106.97,638.0,9.0,106.967696
BSX,2025-07-01 13:55:00+00:00,106.97,107.0,106.95,106.96,2508.0,14.0,106.970212
BSX,2025-07-01 13:56:00+00:00,106.995,106.995,106.97,106.97,2672.0,19.0,106.994
BSX,2025-07-01 13:57:00+00:00,106.995,106.995,106.99,106.99,521.0,9.0,106.991845
BSX,2025-07-01 13:58:00+00:00,106.99,107.06,106.99,107.06,242.0,5.0,107.025
BSX,2025-07-01 13:59:00+00:00,107.115,107.115,107.115,107.115,136.0,3.0,107.115
BSX,2025-07-01 14:00:00+00:00,107.08,107.1,106.98,106.98,3425.0,35.0,107.065982
BSX,2025-07-01 14:01:00+00:00,106.98,106.98,106.96,106.96,798.0,9.0,106.968235
BSX,2025-07-01 14:02:00+00:00,106.95,106.95,106.95,106.95,220.0,4.0,106.95
BSX,2025-07-01 14:03:00+00:00,106.97,106.99,106.97,106.99,483.0,6.0,106.985
BSX,2025-07-01 14:04:00+00:00,106.97,106.97,106.97,106.97,347.0,6.0,106.97
BSX,2025-07-01 14:05:00+00:00,106.97,106.975,106.97,106.975,2189.0,13.0,106.973593
BSX,2025-07-01 14:06:00+00:00,107.025,107.025,107.025,107.025,393.0,4.0,107.025
BSX,2025-07-01 14:07:00+00:00,107.08,107.08,107.07,107.07,222.0,4.0,107.075
BSX,2025-07-01 14:08:00+00:00,107.085,107.085,107.085,107.085,193.0,3.0,107.085
BSX,2025-07-01 14:09:00+00:00,107.05,107.06,107.045,107.045,715.0,7.0,107.052143
BSX,2025-07-01 14:10:00+00:00,107.05,107.05,106.98,106.985,1865.0,22.0,107.018867
BSX,2025-07-01 14:11:00+00:00,106.96,107.0,106.96,107.0,637.0,14.0,106.986667
BSX,2025-07-01 14:12:00+00:00,107.03,107.03,106.98,106.98,1380.0,14.0,107.012472
BSX,2025-07-01 14:13:00+00:00,106.98,107.0,106.98,107.0,322.0,11.0,106.99
BSX,2025-07-01 14:14:00+00:00,107.055,107.09,107.055,107.085,441.0,4.0,107.07875
BSX,2025-07-01 14:15:00+00:00,107.08,107.08,107.045,107.06,909.0,13.0,107.066111
BSX,2025-07-01 14:16:00+00:00,107.04,107.105,107.04,107.08,976.0,11.0,107.062778
BSX,2025-07-01 14:17:00+00:00,107.08,107.1,107.08,107.08,8045.0,90.0,107.098013
BSX,2025-07-01 14:19:00+00:00,106.98,106.98,106.95,106.95,234.0,7.0,106.965
BSX,2025-07-01 14:20:00+00:00,106.94,106.94,106.855,106.855,2693.0,26.0,106.884492
BSX,2025-07-01 14:21:00+00:00,106.86,106.86,106.86,106.86,333.0,5.0,106.86
BSX,2025-07-01 14:22:00+00:00,106.68,106.68,106.68,106.68,110.0,2.0,106.68
BSX,2025-07-01 14:23:00+00:00,106.52,106.54,106.52,106.53,300.0,3.0,106.53
BSX,2025-07-01 14:24:00+00:00,106.56,106.56,106.55,106.55,364.0,5.0,106.553333
BSX,2025-07-01 14:25:00+00:00,106.54,106.59,106.54,106.59,563.0,5.0,106.57
BSX,2025-07-01 14:26:00+00:00,106.63,106.63,106.58,106.58,236.0,3.0,106.605
BSX,2025-07-01 14:29:00+00:00,106.515,106.57,106.515,106.57,420.0,9.0,106.5425
BSX,2025-07-01 14:30:00+00:00,106.6,106.6,106.6,106.6,200.0,3.0,106.6
BSX,2025-07-01 14:31:00+00:00,106.82,106.82,106.81,106.81,275.0,4.0,106.815
BSX,2025-07-01 14:32:00+00:00,106.78,106.78,106.77,106.77,562.0,7.0,106.775
BSX,2025-07-01 14:33:00+00:00,106.7,106.7,106.64,106.655,1050.0,9.0,106.658079
BSX,2025-07-01 14:36:00+00:00,106.71,106.75,106.705,106.705,579.0,8.0,106.723473
BSX,2025-07-01 14:38:00+00:00,106.645,106.67,106.645,106.66,583.0,8.0,106.661
BSX,2025-07-01 14:39:00+00:00,106.63,106.63,106.615,106.615,550.0,10.0,106.62
BSX,2025-07-01 14:40:00+00:00,106.65,106.68,106.65,106.68,400.0,5.0,106.66
BSX,2025-07-01 14:41:00+00:00,106.675,106.675,106.64,106.64,874.0,8.0,106.66171
BSX,2025-07-01 14:42:00+00:00,106.65,106.65,106.59,106.59,303.0,4.0,106.626667
BSX,2025-07-01 14:43:00+00:00,106.635,106.635,106.63,106.63,780.0,8.0,106.6325
BSX,2025-07-01 14:44:00+00:00,106.56,106.58,106.5,106.5,540.0,7.0,106.5525
