symbol,timestamp,open,high,low,close,volume,trade_count,vwap
BX,2025-07-01 13:30:00+00:00,148.88,149.22,148.88,149.045,1266.0,8.0,149.00375
BX,2025-07-01 13:31:00+00:00,149.07,149.36,149.07,149.36,418.0,8.0,149.248333
BX,2025-07-01 13:32:00+00:00,149.39,149.64,149.39,149.64,1323.0,10.0,149.533333
BX,2025-07-01 13:33:00+00:00,149.535,149.535,149.535,149.535,141.0,3.0,149.535
BX,2025-07-01 13:35:00+00:00,149.95,149.96,149.865,149.865,410.0,6.0,149.925
BX,2025-07-01 13:36:00+00:00,149.79,149.79,149.79,149.79,300.0,1.0,149.79
BX,2025-07-01 13:37:00+00:00,149.72,149.72,149.72,149.72,780.0,3.0,149.72
BX,2025-07-01 13:38:00+00:00,149.41,149.49,149.41,149.49,820.0,7.0,149.46125
BX,2025-07-01 13:39:00+00:00,149.25,149.25,149.25,149.25,100.0,1.0,149.25
BX,2025-07-01 13:40:00+00:00,149.21,149.21,149.21,149.21,200.0,3.0,149.21
BX,2025-07-01 13:41:00+00:00,149.085,149.085,149.085,149.085,100.0,1.0,149.085
BX,2025-07-01 13:43:00+00:00,149.275,149.275,149.27,149.27,200.0,2.0,149.2725
BX,2025-07-01 13:45:00+00:00,149.765,149.765,149.765,149.765,223.0,3.0,149.765
BX,2025-07-01 13:46:00+00:00,149.835,149.835,149.835,149.835,100.0,1.0,149.835
BX,2025-07-01 13:48:00+00:00,149.91,149.91,149.855,149.855,501.0,6.0,149.878
BX,2025-07-01 13:50:00+00:00,149.965,149.965,149.965,149.965,202.0,2.0,149.965
BX,2025-07-01 13:51:00+00:00,149.95,149.95,149.95,149.95,605.0,5.0,149.95
BX,2025-07-01 13:54:00+00:00,150.04,150.04,150.04,150.04,171.0,4.0,150.04
BX,2025-07-01 13:59:00+00:00,150.135,150.135,150.11,150.115,411.0,5.0,150.12375
BX,2025-07-01 14:05:00+00:00,150.53,150.53,150.53,150.53,161.0,3.0,150.53
BX,2025-07-01 14:06:00+00:00,150.55,150.68,150.55,150.68,208.0,5.0,150.615
