symbol,timestamp,open,high,low,close,volume,trade_count,vwap
CAG,2025-07-01 13:30:00+00:00,20.51,20.51,20.51,20.51,125.0,4.0,20.51
CAG,2025-07-01 13:31:00+00:00,20.55,20.575,20.5,20.5,1222.0,15.0,20.5425
CAG,2025-07-01 13:32:00+00:00,20.525,20.54,20.525,20.54,425.0,7.0,20.534694
CAG,2025-07-01 13:33:00+00:00,20.535,20.54,20.535,20.54,415.0,3.0,20.53875
CAG,2025-07-01 13:34:00+00:00,20.47,20.47,20.465,20.47,605.0,6.0,20.468175
CAG,2025-07-01 13:35:00+00:00,20.48,20.49,20.47,20.47,1923.0,12.0,20.487368
CAG,2025-07-01 13:36:00+00:00,20.45,20.46,20.45,20.45,1500.0,7.0,20.451333
CAG,2025-07-01 13:37:00+00:00,20.435,20.435,20.435,20.435,519.0,2.0,20.435
CAG,2025-07-01 13:38:00+00:00,20.465,20.515,20.465,20.515,608.0,6.0,20.5025
CAG,2025-07-01 13:39:00+00:00,20.5,20.535,20.5,20.535,747.0,6.0,20.51
CAG,2025-07-01 13:40:00+00:00,20.54,20.565,20.54,20.565,491.0,7.0,20.551667
CAG,2025-07-01 13:41:00+00:00,20.56,20.56,20.56,20.56,220.0,2.0,20.56
CAG,2025-07-01 13:42:00+00:00,20.6,20.6,20.6,20.6,112.0,2.0,20.6
CAG,2025-07-01 13:43:00+00:00,20.61,20.61,20.595,20.595,1503.0,7.0,20.599325
CAG,2025-07-01 13:44:00+00:00,20.595,20.595,20.57,20.585,1179.0,12.0,20.584686
CAG,2025-07-01 13:45:00+00:00,20.585,20.585,20.57,20.57,541.0,7.0,20.575
CAG,2025-07-01 13:46:00+00:00,20.57,20.58,20.565,20.58,2438.0,19.0,20.571405
CAG,2025-07-01 13:47:00+00:00,20.57,20.59,20.57,20.59,400.0,4.0,20.575
CAG,2025-07-01 13:48:00+00:00,20.57,20.57,20.56,20.565,1405.0,14.0,20.565396
CAG,2025-07-01 13:50:00+00:00,20.585,20.585,20.58,20.585,1007.0,12.0,20.58375
CAG,2025-07-01 13:51:00+00:00,20.595,20.595,20.56,20.56,898.0,7.0,20.576875
CAG,2025-07-01 13:52:00+00:00,20.565,20.57,20.565,20.57,900.0,8.0,20.569444
CAG,2025-07-01 13:53:00+00:00,20.585,20.585,20.575,20.575,258.0,3.0,20.58
CAG,2025-07-01 13:54:00+00:00,20.575,20.585,20.56,20.575,1881.0,12.0,20.574444
CAG,2025-07-01 13:55:00+00:00,20.56,20.56,20.56,20.56,202.0,3.0,20.56
CAG,2025-07-01 13:56:00+00:00,20.56,20.56,20.545,20.545,385.0,7.0,20.555
CAG,2025-07-01 13:57:00+00:00,20.54,20.545,20.52,20.52,574.0,6.0,20.530248
CAG,2025-07-01 13:58:00+00:00,20.49,20.5,20.49,20.5,693.0,9.0,20.495
CAG,2025-07-01 14:00:00+00:00,20.455,20.53,20.455,20.53,2002.0,14.0,20.487835
CAG,2025-07-01 14:01:00+00:00,20.54,20.555,20.525,20.53,2345.0,21.0,20.538696
CAG,2025-07-01 14:02:00+00:00,20.515,20.515,20.5,20.5,1212.0,12.0,20.504637
CAG,2025-07-01 14:03:00+00:00,20.505,20.53,20.495,20.52,1714.0,14.0,20.50875
