symbol,timestamp,open,high,low,close,volume,trade_count,vwap
CAT,2025-07-01 13:30:00+00:00,386.85,386.85,386.37,386.37,474.0,8.0,386.494444
CAT,2025-07-01 13:31:00+00:00,386.95,386.95,386.95,386.95,335.0,10.0,386.95
CAT,2025-07-01 13:33:00+00:00,386.23,386.23,386.23,386.23,176.0,7.0,386.23
CAT,2025-07-01 13:34:00+00:00,386.31,386.31,386.31,386.31,112.0,3.0,386.31
CAT,2025-07-01 13:35:00+00:00,386.175,386.62,386.175,386.62,330.0,6.0,386.348333
CAT,2025-07-01 13:36:00+00:00,386.2,386.2,386.2,386.2,109.0,2.0,386.2
CAT,2025-07-01 13:38:00+00:00,384.885,384.885,384.7,384.7,300.0,3.0,384.778333
CAT,2025-07-01 13:40:00+00:00,384.55,384.585,384.43,384.43,317.0,5.0,384.521667
CAT,2025-07-01 13:41:00+00:00,385.02,385.02,385.02,385.02,383.0,8.0,385.02
CAT,2025-07-01 13:42:00+00:00,384.65,384.65,384.65,384.65,187.0,3.0,384.65
CAT,2025-07-01 13:43:00+00:00,385.155,385.155,385.045,385.045,420.0,6.0,385.081667
CAT,2025-07-01 13:44:00+00:00,384.79,385.055,384.79,385.055,344.0,10.0,384.9225
CAT,2025-07-01 13:46:00+00:00,385.24,385.24,384.68,384.68,600.0,6.0,384.893333
CAT,2025-07-01 13:47:00+00:00,384.97,384.97,384.97,384.97,117.0,4.0,384.97
CAT,2025-07-01 13:48:00+00:00,384.415,384.54,384.395,384.54,1888.0,13.0,384.416563
CAT,2025-07-01 13:49:00+00:00,384.89,385.445,384.89,385.445,1452.0,19.0,385.154253
CAT,2025-07-01 13:50:00+00:00,385.43,385.585,385.43,385.585,691.0,17.0,385.48625
CAT,2025-07-01 13:51:00+00:00,385.59,385.59,385.4,385.55,604.0,10.0,385.5225
CAT,2025-07-01 13:52:00+00:00,385.56,385.56,385.56,385.56,111.0,3.0,385.56
CAT,2025-07-01 13:53:00+00:00,385.43,385.43,385.32,385.32,449.0,8.0,385.38
CAT,2025-07-01 13:57:00+00:00,384.865,384.865,384.865,384.865,204.0,5.0,384.865
CAT,2025-07-01 13:59:00+00:00,385.07,385.07,385.0,385.0,350.0,4.0,385.043333
CAT,2025-07-01 14:00:00+00:00,385.15,385.15,385.15,385.15,260.0,7.0,385.15
CAT,2025-07-01 14:01:00+00:00,386.23,386.23,386.23,386.23,788.0,26.0,386.23
CAT,2025-07-01 14:10:00+00:00,386.87,386.87,386.87,386.87,168.0,4.0,386.87
CAT,2025-07-01 14:11:00+00:00,387.435,387.435,387.435,387.435,103.0,2.0,387.435
CAT,2025-07-01 14:12:00+00:00,387.625,387.625,387.625,387.625,102.0,2.0,387.625
CAT,2025-07-01 14:14:00+00:00,388.14,388.14,388.14,388.14,243.0,4.0,388.14
CAT,2025-07-01 14:19:00+00:00,388.445,388.445,388.445,388.445,148.0,7.0,388.445
CAT,2025-07-01 14:27:00+00:00,388.74,388.74,388.63,388.63,653.0,44.0,388.685
CAT,2025-07-01 14:30:00+00:00,388.61,388.61,388.61,388.61,141.0,6.0,388.61
CAT,2025-07-01 14:35:00+00:00,388.15,388.15,388.15,388.15,164.0,4.0,388.15
CAT,2025-07-01 14:37:00+00:00,387.69,387.69,387.69,387.69,190.0,6.0,387.69
CAT,2025-07-01 14:39:00+00:00,387.45,387.45,387.25,387.25,327.0,13.0,387.35
CAT,2025-07-01 14:40:00+00:00,386.915,386.915,386.915,386.915,218.0,6.0,386.915
CAT,2025-07-01 14:41:00+00:00,387.35,387.35,386.98,386.98,367.0,9.0,387.21
CAT,2025-07-01 14:46:00+00:00,387.15,387.15,387.15,387.15,198.0,6.0,387.15
CAT,2025-07-01 14:51:00+00:00,387.41,387.41,387.41,387.41,150.0,2.0,387.41
CAT,2025-07-01 14:56:00+00:00,388.22,388.22,388.22,388.22,107.0,3.0,388.22
CAT,2025-07-01 14:57:00+00:00,388.15,388.15,388.15,388.15,107.0,3.0,388.15
CAT,2025-07-01 15:03:00+00:00,389.15,389.15,389.15,389.15,199.0,3.0,389.15
CAT,2025-07-01 15:05:00+00:00,389.465,389.465,389.465,389.465,104.0,3.0,389.465
CAT,2025-07-01 15:07:00+00:00,389.175,389.175,389.175,389.175,109.0,4.0,389.175
CAT,2025-07-01 15:10:00+00:00,389.24,389.24,389.24,389.24,253.0,9.0,389.24
CAT,2025-07-01 15:11:00+00:00,389.255,389.255,389.255,389.255,372.0,7.0,389.255
CAT,2025-07-01 15:14:00+00:00,389.65,389.65,389.65,389.65,164.0,4.0,389.65
CAT,2025-07-01 15:17:00+00:00,389.93,389.975,389.93,389.975,286.0,5.0,389.9525
CAT,2025-07-01 15:19:00+00:00,389.86,389.86,389.86,389.86,247.0,6.0,389.86
CAT,2025-07-01 15:20:00+00:00,389.785,389.785,389.785,389.785,211.0,5.0,389.785
CAT,2025-07-01 15:23:00+00:00,390.285,390.41,390.285,390.41,312.0,6.0,390.3475
CAT,2025-07-01 15:24:00+00:00,390.53,390.53,390.53,390.53,137.0,6.0,390.53
CAT,2025-07-01 15:27:00+00:00,391.13,391.13,391.13,391.13,162.0,7.0,391.13
CAT,2025-07-01 15:29:00+00:00,390.775,390.775,390.775,390.775,151.0,6.0,390.775
CAT,2025-07-01 15:30:00+00:00,390.38,390.45,390.38,390.45,572.0,19.0,390.415
CAT,2025-07-01 15:32:00+00:00,390.53,390.74,390.53,390.74,316.0,6.0,390.635
CAT,2025-07-01 15:33:00+00:00,390.81,390.81,390.81,390.81,844.0,20.0,390.81
CAT,2025-07-01 15:39:00+00:00,391.515,391.515,391.515,391.515,108.0,2.0,391.515
CAT,2025-07-01 15:41:00+00:00,391.46,391.46,391.46,391.46,144.0,3.0,391.46
CAT,2025-07-01 15:43:00+00:00,391.8,391.8,391.8,391.8,208.0,5.0,391.8
CAT,2025-07-01 15:46:00+00:00,391.685,391.945,391.685,391.945,367.0,7.0,391.833333
CAT,2025-07-01 15:49:00+00:00,391.81,391.81,391.81,391.81,107.0,4.0,391.81
CAT,2025-07-01 15:51:00+00:00,392.4,392.4,392.4,392.4,108.0,5.0,392.4
CAT,2025-07-01 15:58:00+00:00,392.055,392.055,392.055,392.055,131.0,3.0,392.055
CAT,2025-07-01 15:59:00+00:00,392.19,392.19,392.01,392.01,635.0,13.0,392.1
CAT,2025-07-01 16:01:00+00:00,392.0,392.0,391.94,391.94,495.0,15.0,391.98
CAT,2025-07-01 16:02:00+00:00,392.03,392.03,392.03,392.03,318.0,9.0,392.03
CAT,2025-07-01 16:03:00+00:00,392.1,392.1,392.1,392.1,149.0,4.0,392.1
CAT,2025-07-01 16:04:00+00:00,392.055,392.14,392.055,392.14,307.0,13.0,392.0975
CAT,2025-07-01 16:05:00+00:00,391.81,391.81,391.62,391.62,219.0,8.0,391.715
CAT,2025-07-01 16:06:00+00:00,391.7,391.73,391.69,391.73,300.0,3.0,391.706667
CAT,2025-07-01 16:07:00+00:00,391.74,391.785,391.73,391.785,314.0,5.0,391.751667
CAT,2025-07-01 16:08:00+00:00,391.985,391.985,391.985,391.985,314.0,7.0,391.985
CAT,2025-07-01 16:13:00+00:00,392.715,392.715,392.715,392.715,257.0,7.0,392.715
CAT,2025-07-01 16:15:00+00:00,392.865,392.9,392.865,392.9,250.0,7.0,392.8825
CAT,2025-07-01 16:16:00+00:00,393.23,393.23,393.23,393.23,117.0,4.0,393.23
CAT,2025-07-01 16:17:00+00:00,393.21,393.21,393.21,393.21,299.0,6.0,393.21
CAT,2025-07-01 16:18:00+00:00,393.42,393.48,393.42,393.48,322.0,9.0,393.45
CAT,2025-07-01 16:20:00+00:00,393.44,393.44,393.44,393.44,112.0,3.0,393.44
CAT,2025-07-01 16:21:00+00:00,393.3,393.335,392.98,392.98,467.0,13.0,393.205
CAT,2025-07-01 16:22:00+00:00,393.13,393.18,393.12,393.18,437.0,9.0,393.143333
CAT,2025-07-01 16:29:00+00:00,393.71,393.71,393.64,393.64,300.0,3.0,393.67
CAT,2025-07-01 16:46:00+00:00,390.865,390.865,390.865,390.865,238.0,4.0,390.865
CAT,2025-07-01 16:47:00+00:00,390.725,390.725,390.705,390.705,201.0,3.0,390.715
CAT,2025-07-01 16:48:00+00:00,390.97,390.97,390.895,390.895,434.0,12.0,390.9475
CAT,2025-07-01 16:51:00+00:00,391.04,391.04,391.04,391.04,201.0,4.0,391.04
CAT,2025-07-01 16:54:00+00:00,391.34,391.34,391.34,391.34,120.0,4.0,391.34
CAT,2025-07-01 16:57:00+00:00,390.65,390.65,390.65,390.65,192.0,7.0,390.65
CAT,2025-07-01 16:58:00+00:00,390.445,390.445,390.445,390.445,103.0,4.0,390.445
CAT,2025-07-01 17:02:00+00:00,390.25,390.25,390.25,390.25,150.0,5.0,390.25
CAT,2025-07-01 17:03:00+00:00,390.29,390.29,390.29,390.29,600.0,12.0,390.29
CAT,2025-07-01 17:09:00+00:00,390.595,390.595,390.595,390.595,121.0,3.0,390.595
CAT,2025-07-01 17:20:00+00:00,391.77,391.77,391.77,391.77,260.0,4.0,391.77
CAT,2025-07-01 17:31:00+00:00,391.96,391.96,391.96,391.96,399.0,7.0,391.96
CAT,2025-07-01 17:33:00+00:00,391.75,391.75,391.75,391.75,212.0,4.0,391.75
CAT,2025-07-01 17:36:00+00:00,391.955,391.955,391.955,391.955,102.0,3.0,391.955
CAT,2025-07-01 17:39:00+00:00,391.84,391.84,391.84,391.84,120.0,3.0,391.84
CAT,2025-07-01 17:48:00+00:00,392.1,392.19,392.1,392.19,413.0,11.0,392.145
CAT,2025-07-01 17:53:00+00:00,392.08,392.08,392.08,392.08,486.0,14.0,392.08
CAT,2025-07-01 17:55:00+00:00,391.98,391.98,391.98,391.98,245.0,5.0,391.98
CAT,2025-07-01 18:04:00+00:00,391.8,391.8,391.8,391.8,139.0,5.0,391.8
CAT,2025-07-01 18:05:00+00:00,391.96,391.96,391.96,391.96,100.0,1.0,391.96
CAT,2025-07-01 18:06:00+00:00,392.25,392.25,392.25,392.25,212.0,5.0,392.25
CAT,2025-07-01 18:07:00+00:00,392.28,392.28,392.28,392.28,102.0,3.0,392.28
CAT,2025-07-01 18:10:00+00:00,392.15,392.155,392.15,392.155,283.0,4.0,392.1525
CAT,2025-07-01 18:11:00+00:00,392.085,392.085,392.085,392.085,111.0,3.0,392.085
CAT,2025-07-01 18:13:00+00:00,392.135,392.135,392.11,392.11,572.0,13.0,392.129518
CAT,2025-07-01 18:16:00+00:00,392.15,392.15,392.15,392.15,423.0,10.0,392.15
CAT,2025-07-01 18:18:00+00:00,391.925,391.925,391.925,391.925,167.0,7.0,391.925
CAT,2025-07-01 18:19:00+00:00,392.23,392.23,392.09,392.09,209.0,6.0,392.16
CAT,2025-07-01 18:34:00+00:00,392.78,392.78,392.78,392.78,289.0,7.0,392.78
CAT,2025-07-01 18:40:00+00:00,392.69,392.69,392.67,392.67,424.0,9.0,392.68
CAT,2025-07-01 18:41:00+00:00,392.76,392.76,392.76,392.76,100.0,1.0,392.76
CAT,2025-07-01 18:43:00+00:00,392.71,392.745,392.71,392.745,220.0,4.0,392.7275
CAT,2025-07-01 18:45:00+00:00,392.75,392.75,392.75,392.75,170.0,5.0,392.75
CAT,2025-07-01 18:49:00+00:00,393.01,393.01,393.01,393.01,150.0,2.0,393.01
CAT,2025-07-01 18:50:00+00:00,393.07,393.07,393.04,393.04,266.0,6.0,393.055
CAT,2025-07-01 18:52:00+00:00,393.13,393.13,393.13,393.13,134.0,3.0,393.13
CAT,2025-07-01 18:54:00+00:00,393.18,393.21,393.18,393.2,653.0,18.0,393.1975
CAT,2025-07-01 18:55:00+00:00,393.3,393.3,393.3,393.3,165.0,9.0,393.3
CAT,2025-07-01 18:59:00+00:00,393.21,393.21,393.195,393.195,353.0,6.0,393.2025
CAT,2025-07-01 19:00:00+00:00,392.725,392.725,392.725,392.725,616.0,24.0,392.725
CAT,2025-07-01 19:02:00+00:00,392.14,392.14,392.14,392.14,201.0,5.0,392.14
CAT,2025-07-01 19:03:00+00:00,392.37,392.37,392.37,392.37,120.0,2.0,392.37
CAT,2025-07-01 19:13:00+00:00,392.45,392.45,392.45,392.45,192.0,4.0,392.45
CAT,2025-07-01 19:15:00+00:00,392.78,392.845,392.78,392.845,426.0,11.0,392.8125
CAT,2025-07-01 19:17:00+00:00,392.74,392.74,392.74,392.74,278.0,7.0,392.74
CAT,2025-07-01 19:22:00+00:00,392.9,392.9,392.86,392.86,340.0,8.0,392.88
CAT,2025-07-01 19:25:00+00:00,393.07,393.07,392.86,392.86,362.0,9.0,392.944
CAT,2025-07-01 19:26:00+00:00,392.79,392.79,392.79,392.79,238.0,9.0,392.79
CAT,2025-07-01 19:29:00+00:00,392.74,392.74,392.64,392.64,1387.0,32.0,392.6775
CAT,2025-07-01 19:30:00+00:00,392.625,392.7,392.625,392.7,548.0,16.0,392.65
CAT,2025-07-01 19:31:00+00:00,392.83,392.83,392.83,392.83,550.0,18.0,392.83
CAT,2025-07-01 19:32:00+00:00,392.82,392.82,392.82,392.82,402.0,11.0,392.82
CAT,2025-07-01 19:36:00+00:00,392.45,392.58,392.45,392.58,396.0,14.0,392.515
CAT,2025-07-01 19:41:00+00:00,392.41,392.5,392.41,392.5,251.0,4.0,392.455
CAT,2025-07-01 19:42:00+00:00,392.56,392.56,392.56,392.56,220.0,9.0,392.56
CAT,2025-07-01 19:43:00+00:00,392.36,392.36,392.36,392.36,255.0,14.0,392.36
CAT,2025-07-01 19:45:00+00:00,392.42,392.42,392.42,392.42,195.0,5.0,392.42
CAT,2025-07-01 19:48:00+00:00,392.365,392.375,392.25,392.25,516.0,15.0,392.33
CAT,2025-07-01 19:50:00+00:00,391.82,391.82,391.41,391.5,925.0,24.0,391.595982
CAT,2025-07-01 19:51:00+00:00,391.295,391.295,391.265,391.28,903.0,24.0,391.28
CAT,2025-07-01 19:52:00+00:00,391.25,391.25,391.25,391.25,130.0,4.0,391.25
CAT,2025-07-01 19:53:00+00:00,391.38,391.38,391.29,391.29,818.0,24.0,391.35
CAT,2025-07-01 19:54:00+00:00,391.29,391.34,391.23,391.27,854.0,17.0,391.284327
CAT,2025-07-01 19:55:00+00:00,391.52,391.57,391.495,391.495,838.0,15.0,391.52625
CAT,2025-07-01 19:56:00+00:00,391.155,391.18,391.155,391.18,564.0,27.0,391.1675
CAT,2025-07-01 19:57:00+00:00,391.11,391.11,391.05,391.05,1174.0,40.0,391.072814
CAT,2025-07-01 19:58:00+00:00,390.69,390.86,390.62,390.69,2103.0,68.0,390.728367
CAT,2025-07-01 19:59:00+00:00,390.74,390.94,390.74,390.85,3024.0,116.0,390.832222
