symbol,timestamp,open,high,low,close,volume,trade_count,vwap
CME,2025-07-01 13:30:00+00:00,276.5,276.5,276.5,276.5,211.0,5.0,276.5
CME,2025-07-01 13:32:00+00:00,277.06,277.06,277.06,277.06,400.0,4.0,277.06
CME,2025-07-01 13:38:00+00:00,276.13,276.13,276.13,276.13,300.0,13.0,276.13
CME,2025-07-01 13:41:00+00:00,276.51,276.51,276.51,276.51,140.0,8.0,276.51
CME,2025-07-01 13:44:00+00:00,276.285,276.285,276.285,276.285,239.0,8.0,276.285
CME,2025-07-01 13:48:00+00:00,276.19,276.255,276.19,276.255,1224.0,18.0,276.204444
CME,2025-07-01 13:51:00+00:00,275.775,275.775,275.775,275.775,210.0,4.0,275.775
CME,2025-07-01 13:52:00+00:00,275.77,275.9,275.51,275.9,1968.0,12.0,275.552632
CME,2025-07-01 13:58:00+00:00,276.13,276.19,276.13,276.18,406.0,5.0,276.17
CME,2025-07-01 13:59:00+00:00,276.435,276.435,276.435,276.435,171.0,10.0,276.435
CME,2025-07-01 14:04:00+00:00,276.535,276.535,276.535,276.535,150.0,3.0,276.535
CME,2025-07-01 14:06:00+00:00,276.36,276.36,276.27,276.27,423.0,7.0,276.305
CME,2025-07-01 14:07:00+00:00,276.45,276.45,276.45,276.45,100.0,1.0,276.45
CME,2025-07-01 14:09:00+00:00,276.33,276.35,276.28,276.28,568.0,9.0,276.314286
CME,2025-07-01 14:10:00+00:00,276.4,276.4,276.4,276.4,145.0,3.0,276.4
CME,2025-07-01 14:13:00+00:00,276.565,276.565,276.56,276.56,308.0,6.0,276.5625
CME,2025-07-01 14:15:00+00:00,276.3,276.3,276.1,276.1,624.0,11.0,276.22875
CME,2025-07-01 14:16:00+00:00,276.075,276.075,276.075,276.075,112.0,3.0,276.075
CME,2025-07-01 14:17:00+00:00,275.81,275.81,275.81,275.81,108.0,3.0,275.81
CME,2025-07-01 14:18:00+00:00,275.825,275.825,275.825,275.825,131.0,6.0,275.825
CME,2025-07-01 14:20:00+00:00,275.81,275.81,275.6,275.6,331.0,7.0,275.67
CME,2025-07-01 14:21:00+00:00,275.0,275.0,275.0,275.0,113.0,3.0,275.0
CME,2025-07-01 14:23:00+00:00,274.73,274.84,274.73,274.84,200.0,2.0,274.785
CME,2025-07-01 14:25:00+00:00,274.48,274.67,274.48,274.67,200.0,2.0,274.575
CME,2025-07-01 14:26:00+00:00,274.78,274.855,274.78,274.855,487.0,11.0,274.8175
CME,2025-07-01 14:30:00+00:00,274.95,274.95,274.95,274.95,187.0,4.0,274.95
CME,2025-07-01 14:31:00+00:00,275.13,275.13,275.13,275.13,124.0,3.0,275.13
CME,2025-07-01 14:34:00+00:00,275.12,275.12,275.12,275.12,296.0,5.0,275.12
CME,2025-07-01 14:35:00+00:00,275.0,275.22,275.0,275.22,412.0,7.0,275.075
CME,2025-07-01 14:36:00+00:00,275.39,275.39,275.39,275.39,100.0,1.0,275.39
CME,2025-07-01 14:38:00+00:00,275.4,275.4,275.4,275.4,100.0,1.0,275.4
CME,2025-07-01 14:43:00+00:00,275.75,275.75,275.75,275.75,170.0,7.0,275.75
CME,2025-07-01 14:46:00+00:00,275.75,275.815,275.75,275.81,400.0,4.0,275.79125
CME,2025-07-01 14:47:00+00:00,275.365,275.365,275.31,275.31,578.0,16.0,275.3375
CME,2025-07-01 14:49:00+00:00,275.32,275.32,275.31,275.31,275.0,3.0,275.315
CME,2025-07-01 14:53:00+00:00,275.28,275.41,275.28,275.375,706.0,11.0,275.335
CME,2025-07-01 14:55:00+00:00,275.48,275.48,275.43,275.48,340.0,7.0,275.463333
CME,2025-07-01 14:57:00+00:00,275.44,275.44,275.42,275.42,330.0,13.0,275.43
CME,2025-07-01 14:59:00+00:00,275.45,275.45,275.45,275.45,217.0,8.0,275.45
CME,2025-07-01 15:06:00+00:00,275.18,275.21,275.18,275.21,209.0,4.0,275.195
CME,2025-07-01 15:07:00+00:00,275.11,275.11,275.11,275.11,169.0,5.0,275.11
CME,2025-07-01 15:08:00+00:00,275.07,275.14,275.06,275.14,493.0,9.0,275.09
CME,2025-07-01 15:09:00+00:00,275.23,275.23,275.23,275.23,221.0,12.0,275.23
CME,2025-07-01 15:12:00+00:00,275.33,275.33,275.33,275.33,322.0,10.0,275.33
CME,2025-07-01 15:15:00+00:00,275.67,275.67,275.67,275.67,122.0,5.0,275.67
CME,2025-07-01 15:17:00+00:00,275.51,275.51,275.51,275.51,113.0,3.0,275.51
CME,2025-07-01 15:18:00+00:00,275.085,275.085,275.085,275.085,134.0,3.0,275.085
CME,2025-07-01 15:20:00+00:00,275.19,275.2,275.19,275.2,383.0,10.0,275.195
CME,2025-07-01 15:21:00+00:00,275.34,275.34,275.34,275.34,100.0,1.0,275.34
CME,2025-07-01 15:23:00+00:00,275.32,275.32,275.32,275.32,196.0,3.0,275.32
