symbol,timestamp,open,high,low,close,volume,trade_count,vwap
CMI,2025-07-01 13:49:00+00:00,325.98,326.03,325.86,326.0,800.0,6.0,325.975625
CMI,2025-07-01 13:51:00+00:00,325.94,325.94,325.84,325.84,447.0,12.0,325.89
CMI,2025-07-01 13:52:00+00:00,325.35,325.35,325.35,325.35,171.0,6.0,325.35
CMI,2025-07-01 14:00:00+00:00,325.225,325.34,325.225,325.26,1633.0,16.0,325.284286
CMI,2025-07-01 14:03:00+00:00,325.86,325.86,325.86,325.86,100.0,1.0,325.86
CMI,2025-07-01 14:04:00+00:00,325.8,325.8,325.8,325.8,263.0,11.0,325.8
CMI,2025-07-01 14:07:00+00:00,326.3,326.3,326.3,326.3,101.0,2.0,326.3
CMI,2025-07-01 14:13:00+00:00,327.22,327.22,327.22,327.22,200.0,3.0,327.22
CMI,2025-07-01 14:26:00+00:00,327.12,327.15,327.12,327.15,253.0,4.0,327.135
CMI,2025-07-01 14:27:00+00:00,327.03,327.03,327.03,327.03,112.0,2.0,327.03
CMI,2025-07-01 14:30:00+00:00,326.83,327.085,326.83,327.085,410.0,8.0,327.0
CMI,2025-07-01 14:32:00+00:00,327.71,327.73,327.71,327.73,214.0,5.0,327.72
CMI,2025-07-01 14:37:00+00:00,327.08,327.08,327.08,327.08,136.0,3.0,327.08
CMI,2025-07-01 14:38:00+00:00,326.31,326.31,326.31,326.31,158.0,3.0,326.31
CMI,2025-07-01 14:39:00+00:00,326.5,326.5,326.5,326.5,100.0,1.0,326.5
CMI,2025-07-01 14:40:00+00:00,326.39,326.39,326.39,326.39,373.0,7.0,326.39
CMI,2025-07-01 14:41:00+00:00,326.62,326.62,326.62,326.62,125.0,2.0,326.62
CMI,2025-07-01 14:42:00+00:00,326.975,326.975,326.975,326.975,102.0,2.0,326.975
CMI,2025-07-01 14:44:00+00:00,326.63,326.63,326.63,326.63,106.0,3.0,326.63
CMI,2025-07-01 14:54:00+00:00,327.22,327.24,327.22,327.24,345.0,5.0,327.233333
CMI,2025-07-01 14:55:00+00:00,327.36,327.36,327.36,327.36,200.0,3.0,327.36
CMI,2025-07-01 14:57:00+00:00,327.365,327.365,327.365,327.365,100.0,1.0,327.365
CMI,2025-07-01 15:04:00+00:00,328.27,328.27,328.27,328.27,157.0,5.0,328.27
CMI,2025-07-01 15:14:00+00:00,328.87,328.87,328.87,328.87,144.0,5.0,328.87
CMI,2025-07-01 15:20:00+00:00,328.54,328.54,328.54,328.54,302.0,8.0,328.54
CMI,2025-07-01 15:23:00+00:00,329.245,329.245,329.245,329.245,366.0,8.0,329.245
CMI,2025-07-01 15:25:00+00:00,329.585,329.585,329.585,329.585,198.0,4.0,329.585
CMI,2025-07-01 15:28:00+00:00,330.425,330.425,330.425,330.425,251.0,5.0,330.425
CMI,2025-07-01 15:35:00+00:00,330.52,330.52,330.52,330.52,100.0,1.0,330.52
CMI,2025-07-01 15:37:00+00:00,330.38,330.38,330.38,330.38,183.0,4.0,330.38
CMI,2025-07-01 15:43:00+00:00,330.51,330.51,330.51,330.51,101.0,2.0,330.51
CMI,2025-07-01 15:49:00+00:00,330.1,330.1,330.1,330.1,306.0,7.0,330.1
CMI,2025-07-01 15:50:00+00:00,330.03,330.03,329.78,329.78,524.0,11.0,329.905
CMI,2025-07-01 16:02:00+00:00,330.97,330.97,330.97,330.97,254.0,4.0,330.97
CMI,2025-07-01 16:04:00+00:00,331.41,331.41,331.41,331.41,105.0,2.0,331.41
CMI,2025-07-01 16:05:00+00:00,331.41,331.41,331.335,331.335,321.0,12.0,331.385
CMI,2025-07-01 16:06:00+00:00,331.395,331.395,331.395,331.395,367.0,8.0,331.395
CMI,2025-07-01 16:07:00+00:00,331.4,331.405,331.4,331.405,1034.0,19.0,331.403571
CMI,2025-07-01 16:08:00+00:00,331.21,331.47,331.07,331.07,1577.0,27.0,331.225556
CMI,2025-07-01 16:09:00+00:00,331.14,331.14,331.125,331.125,422.0,12.0,331.1325
CMI,2025-07-01 16:10:00+00:00,331.14,331.365,331.14,331.27,1607.0,25.0,331.297324
CMI,2025-07-01 16:11:00+00:00,331.365,331.77,331.365,331.77,966.0,21.0,331.51875
CMI,2025-07-01 16:13:00+00:00,331.84,331.84,331.84,331.84,106.0,2.0,331.84
CMI,2025-07-01 16:14:00+00:00,332.205,332.205,332.205,332.205,279.0,11.0,332.205
CMI,2025-07-01 16:16:00+00:00,332.03,332.03,332.03,332.03,316.0,7.0,332.03
CMI,2025-07-01 16:18:00+00:00,332.09,332.11,332.09,332.11,465.0,9.0,332.1
CMI,2025-07-01 16:19:00+00:00,332.11,332.11,332.11,332.11,112.0,4.0,332.11
CMI,2025-07-01 16:24:00+00:00,331.99,331.995,331.81,331.995,829.0,16.0,331.959154
CMI,2025-07-01 16:25:00+00:00,332.05,332.3,332.045,332.14,2351.0,55.0,332.081
CMI,2025-07-01 16:31:00+00:00,332.72,332.72,332.72,332.72,100.0,1.0,332.72
CMI,2025-07-01 16:51:00+00:00,330.705,330.705,330.705,330.705,112.0,4.0,330.705
CMI,2025-07-01 16:54:00+00:00,330.37,330.37,329.94,329.99,488.0,9.0,330.1
CMI,2025-07-01 17:05:00+00:00,329.89,329.89,329.89,329.89,200.0,3.0,329.89
CMI,2025-07-01 17:27:00+00:00,331.045,331.045,331.045,331.045,256.0,5.0,331.045
CMI,2025-07-01 17:28:00+00:00,331.075,331.075,331.075,331.075,260.0,7.0,331.075
CMI,2025-07-01 17:35:00+00:00,330.97,330.97,330.97,330.97,626.0,8.0,330.97
