symbol,timestamp,open,high,low,close,volume,trade_count,vwap
CNP,2025-07-01 13:31:00+00:00,36.665,36.665,36.665,36.665,227.0,5.0,36.665
CNP,2025-07-01 13:32:00+00:00,36.67,36.67,36.67,36.67,140.0,3.0,36.67
CNP,2025-07-01 13:34:00+00:00,36.65,36.65,36.65,36.65,161.0,5.0,36.65
CNP,2025-07-01 13:35:00+00:00,36.65,36.715,36.65,36.71,400.0,3.0,36.68875
CNP,2025-07-01 13:41:00+00:00,36.73,36.73,36.73,36.73,800.0,7.0,36.73
CNP,2025-07-01 13:42:00+00:00,36.755,36.755,36.755,36.755,150.0,1.0,36.755
CNP,2025-07-01 13:43:00+00:00,36.73,36.74,36.73,36.735,1084.0,8.0,36.734762
CNP,2025-07-01 13:48:00+00:00,36.72,36.72,36.72,36.72,130.0,2.0,36.72
CNP,2025-07-01 13:49:00+00:00,36.7,36.71,36.7,36.71,213.0,4.0,36.705122
CNP,2025-07-01 13:50:00+00:00,36.73,36.73,36.73,36.73,331.0,14.0,36.73
CNP,2025-07-01 13:52:00+00:00,36.67,36.67,36.67,36.67,437.0,6.0,36.67
CNP,2025-07-01 13:53:00+00:00,36.69,36.69,36.69,36.69,216.0,7.0,36.69
CNP,2025-07-01 13:55:00+00:00,36.72,36.72,36.72,36.72,204.0,4.0,36.72
CNP,2025-07-01 13:57:00+00:00,36.68,36.68,36.68,36.68,229.0,4.0,36.68
CNP,2025-07-01 13:58:00+00:00,36.66,36.69,36.66,36.69,290.0,5.0,36.675
CNP,2025-07-01 14:00:00+00:00,36.665,36.665,36.665,36.665,801.0,9.0,36.665
CNP,2025-07-01 14:01:00+00:00,36.66,36.66,36.66,36.66,101.0,2.0,36.66
CNP,2025-07-01 14:03:00+00:00,36.63,36.63,36.63,36.63,440.0,7.0,36.63
CNP,2025-07-01 14:05:00+00:00,36.565,36.565,36.565,36.565,100.0,1.0,36.565
CNP,2025-07-01 14:06:00+00:00,36.54,36.54,36.52,36.52,646.0,8.0,36.530909
CNP,2025-07-01 14:07:00+00:00,36.505,36.53,36.505,36.52,1532.0,8.0,36.509643
CNP,2025-07-01 14:08:00+00:00,36.465,36.465,36.44,36.44,417.0,8.0,36.4525
CNP,2025-07-01 14:09:00+00:00,36.45,36.45,36.45,36.45,440.0,12.0,36.45
CNP,2025-07-01 14:10:00+00:00,36.38,36.38,36.38,36.38,210.0,5.0,36.38
CNP,2025-07-01 14:11:00+00:00,36.415,36.415,36.415,36.415,109.0,4.0,36.415
CNP,2025-07-01 14:12:00+00:00,36.45,36.49,36.44,36.44,1101.0,11.0,36.458018
