symbol,timestamp,open,high,low,close,volume,trade_count,vwap
COIN,2025-07-01 13:08:00+00:00,340.07,340.07,340.07,340.07,220.0,5.0,340.07
COIN,2025-07-01 13:30:00+00:00,339.89,339.89,337.61,339.24,6520.0,117.0,338.625755
COIN,2025-07-01 13:31:00+00:00,338.3,339.46,336.04,337.525,3139.0,40.0,338.0908
COIN,2025-07-01 13:32:00+00:00,337.825,338.36,337.4,337.78,3053.0,62.0,337.882667
COIN,2025-07-01 13:33:00+00:00,337.63,338.89,337.4,338.89,1763.0,31.0,337.90182
COIN,2025-07-01 13:34:00+00:00,338.73,338.8,338.21,338.66,2451.0,36.0,338.502
COIN,2025-07-01 13:35:00+00:00,338.775,339.4,338.775,339.135,1677.0,28.0,339.072747
COIN,2025-07-01 13:36:00+00:00,339.715,341.06,339.715,341.06,2195.0,37.0,340.539724
COIN,2025-07-01 13:37:00+00:00,340.81,340.83,340.81,340.83,757.0,26.0,340.82
COIN,2025-07-01 13:38:00+00:00,340.3,340.3,339.3,339.36,4299.0,63.0,339.655782
COIN,2025-07-01 13:39:00+00:00,339.59,340.33,339.13,340.33,1869.0,30.0,339.513246
COIN,2025-07-01 13:40:00+00:00,340.37,340.37,339.82,340.06,1350.0,26.0,340.022857
COIN,2025-07-01 13:41:00+00:00,339.8,342.175,339.8,342.14,2395.0,51.0,340.908192
COIN,2025-07-01 13:42:00+00:00,341.96,341.96,341.775,341.775,384.0,7.0,341.8675
COIN,2025-07-01 13:43:00+00:00,342.245,342.245,341.15,341.55,2441.0,45.0,341.368701
COIN,2025-07-01 13:44:00+00:00,343.165,343.21,343.165,343.21,656.0,18.0,343.1875
COIN,2025-07-01 13:46:00+00:00,345.215,345.95,345.215,345.7,634.0,11.0,345.65875
COIN,2025-07-01 13:47:00+00:00,346.18,346.83,346.18,346.83,823.0,22.0,346.54
COIN,2025-07-01 13:48:00+00:00,346.78,346.78,346.56,346.76,1020.0,23.0,346.7
COIN,2025-07-01 13:49:00+00:00,346.76,347.59,346.76,347.585,774.0,24.0,347.091
COIN,2025-07-01 13:50:00+00:00,347.33,347.33,347.005,347.075,931.0,17.0,347.171667
COIN,2025-07-01 13:52:00+00:00,349.205,350.105,349.205,349.96,946.0,16.0,349.697821
COIN,2025-07-01 13:53:00+00:00,350.19,350.2,349.81,349.81,687.0,19.0,350.0125
COIN,2025-07-01 13:54:00+00:00,349.575,349.7,348.755,348.965,1444.0,28.0,349.196
COIN,2025-07-01 13:55:00+00:00,348.9,349.795,348.875,349.705,1407.0,21.0,349.344906
COIN,2025-07-01 13:56:00+00:00,349.775,352.88,349.775,352.88,2176.0,51.0,351.215064
COIN,2025-07-01 13:57:00+00:00,352.99,353.1,352.37,352.76,4436.0,64.0,352.685793
COIN,2025-07-01 13:58:00+00:00,351.68,352.33,351.68,351.78,699.0,19.0,351.93
COIN,2025-07-01 13:59:00+00:00,351.52,352.605,351.52,352.605,759.0,22.0,352.09375
COIN,2025-07-01 14:00:00+00:00,351.34,352.47,351.34,352.47,1118.0,29.0,352.28558
COIN,2025-07-01 14:01:00+00:00,351.09,351.09,351.09,351.09,618.0,22.0,351.09
COIN,2025-07-01 14:03:00+00:00,350.84,350.84,350.84,350.84,443.0,15.0,350.84
COIN,2025-07-01 14:04:00+00:00,350.43,350.61,350.09,350.09,770.0,22.0,350.39852
COIN,2025-07-01 14:05:00+00:00,350.18,350.44,350.18,350.44,496.0,16.0,350.275
COIN,2025-07-01 14:06:00+00:00,350.68,350.68,350.68,350.68,727.0,31.0,350.68
COIN,2025-07-01 14:07:00+00:00,350.685,350.685,349.99,349.99,868.0,17.0,350.1925
COIN,2025-07-01 14:08:00+00:00,350.08,350.21,349.82,350.21,1118.0,21.0,350.032476
COIN,2025-07-01 14:09:00+00:00,349.48,349.48,349.25,349.25,325.0,9.0,349.403333
COIN,2025-07-01 14:10:00+00:00,349.34,349.435,349.34,349.435,334.0,11.0,349.3875
COIN,2025-07-01 14:11:00+00:00,349.245,349.46,347.855,348.265,3800.0,47.0,348.486719
COIN,2025-07-01 14:12:00+00:00,348.28,348.325,347.865,348.265,1795.0,38.0,348.211331
COIN,2025-07-01 14:13:00+00:00,347.605,347.755,347.48,347.755,571.0,12.0,347.62
COIN,2025-07-01 14:14:00+00:00,348.675,349.475,348.65,349.475,530.0,20.0,349.0025
COIN,2025-07-01 14:15:00+00:00,349.8,349.8,349.115,349.23,674.0,10.0,349.406538
COIN,2025-07-01 14:16:00+00:00,349.025,349.07,348.93,349.05,511.0,8.0,349.016
COIN,2025-07-01 14:17:00+00:00,348.68,348.685,348.26,348.67,1026.0,14.0,348.543
COIN,2025-07-01 14:18:00+00:00,348.745,348.745,348.745,348.745,191.0,11.0,348.745
COIN,2025-07-01 14:19:00+00:00,348.305,348.745,348.11,348.745,972.0,20.0,348.42
COIN,2025-07-01 14:20:00+00:00,349.01,349.15,348.78,349.15,872.0,19.0,349.037143
COIN,2025-07-01 14:22:00+00:00,347.665,348.23,347.665,348.23,268.0,11.0,347.9475
COIN,2025-07-01 14:23:00+00:00,347.535,348.405,347.535,348.405,1122.0,28.0,348.1915
COIN,2025-07-01 14:24:00+00:00,348.79,348.79,348.75,348.75,240.0,3.0,348.77
COIN,2025-07-01 14:25:00+00:00,348.605,348.62,348.55,348.55,483.0,9.0,348.591667
COIN,2025-07-01 14:27:00+00:00,347.585,347.585,346.79,346.79,531.0,16.0,347.06375
COIN,2025-07-01 14:28:00+00:00,345.885,345.885,345.425,345.425,420.0,7.0,345.731667
COIN,2025-07-01 14:29:00+00:00,345.74,346.33,345.74,346.23,655.0,11.0,346.107
COIN,2025-07-01 14:30:00+00:00,347.405,347.405,347.405,347.405,470.0,9.0,347.405
COIN,2025-07-01 14:31:00+00:00,346.39,346.39,346.39,346.39,189.0,8.0,346.39
COIN,2025-07-01 14:32:00+00:00,347.06,347.17,347.06,347.17,324.0,9.0,347.115
COIN,2025-07-01 14:34:00+00:00,345.775,346.01,345.775,346.01,475.0,12.0,345.853333
COIN,2025-07-01 14:35:00+00:00,345.625,346.27,345.52,346.22,931.0,14.0,345.94125
