symbol,timestamp,open,high,low,close,volume,trade_count,vwap
CSGP,2025-07-01 13:30:00+00:00,80.165,80.165,80.165,80.165,101.0,2.0,80.165
CSGP,2025-07-01 13:39:00+00:00,80.635,80.635,80.635,80.635,150.0,2.0,80.635
CSGP,2025-07-01 13:40:00+00:00,80.63,80.68,80.55,80.68,907.0,13.0,80.619286
CSGP,2025-07-01 13:42:00+00:00,80.705,80.79,80.705,80.79,877.0,9.0,80.740833
CSGP,2025-07-01 13:45:00+00:00,80.825,80.825,80.825,80.825,397.0,8.0,80.825
CSGP,2025-07-01 13:48:00+00:00,80.72,80.74,80.72,80.74,232.0,4.0,80.73
CSGP,2025-07-01 13:50:00+00:00,80.82,80.84,80.82,80.84,241.0,8.0,80.83
CSGP,2025-07-01 13:51:00+00:00,80.94,80.95,80.94,80.95,407.0,6.0,80.945495
CSGP,2025-07-01 13:54:00+00:00,80.935,80.935,80.935,80.935,271.0,10.0,80.935
CSGP,2025-07-01 13:55:00+00:00,80.935,80.935,80.935,80.935,395.0,6.0,80.935
CSGP,2025-07-01 13:56:00+00:00,80.945,80.945,80.945,80.945,222.0,5.0,80.945
CSGP,2025-07-01 13:57:00+00:00,80.955,80.965,80.955,80.965,309.0,8.0,80.96
CSGP,2025-07-01 13:58:00+00:00,80.965,81.02,80.965,81.02,632.0,12.0,81.001356
CSGP,2025-07-01 13:59:00+00:00,80.93,80.935,80.93,80.935,566.0,14.0,80.933141
CSGP,2025-07-01 14:00:00+00:00,81.0,81.0,80.93,80.93,327.0,7.0,80.965
CSGP,2025-07-01 14:01:00+00:00,80.945,80.945,80.945,80.945,533.0,6.0,80.945
CSGP,2025-07-01 14:03:00+00:00,80.805,80.805,80.775,80.775,484.0,17.0,80.784934
CSGP,2025-07-01 14:04:00+00:00,80.695,80.695,80.695,80.695,124.0,5.0,80.695
CSGP,2025-07-01 14:05:00+00:00,80.64,80.64,80.64,80.64,160.0,6.0,80.64
CSGP,2025-07-01 14:06:00+00:00,80.59,80.59,80.55,80.55,564.0,8.0,80.5725
CSGP,2025-07-01 14:07:00+00:00,80.59,80.67,80.59,80.67,337.0,6.0,80.63
CSGP,2025-07-01 14:08:00+00:00,80.67,80.67,80.67,80.67,208.0,5.0,80.67
CSGP,2025-07-01 14:11:00+00:00,80.7,80.7,80.69,80.69,361.0,6.0,80.695
CSGP,2025-07-01 14:13:00+00:00,80.78,80.87,80.75,80.87,1028.0,13.0,80.798333
CSGP,2025-07-01 14:15:00+00:00,80.92,80.94,80.92,80.925,859.0,16.0,80.929167
CSGP,2025-07-01 14:16:00+00:00,80.895,80.895,80.885,80.885,244.0,6.0,80.89
CSGP,2025-07-01 14:17:00+00:00,80.87,80.88,80.87,80.88,393.0,16.0,80.875
CSGP,2025-07-01 14:18:00+00:00,80.88,80.88,80.875,80.875,446.0,9.0,80.876667
CSGP,2025-07-01 14:19:00+00:00,80.86,80.86,80.86,80.86,247.0,5.0,80.86
CSGP,2025-07-01 14:20:00+00:00,80.85,80.85,80.85,80.85,201.0,4.0,80.85
CSGP,2025-07-01 14:21:00+00:00,80.815,80.815,80.815,80.815,121.0,2.0,80.815
CSGP,2025-07-01 14:22:00+00:00,80.815,80.86,80.815,80.86,647.0,9.0,80.84625
CSGP,2025-07-01 14:23:00+00:00,80.85,80.92,80.85,80.92,433.0,10.0,80.885
CSGP,2025-07-01 14:24:00+00:00,80.935,80.935,80.935,80.935,311.0,8.0,80.935
CSGP,2025-07-01 14:25:00+00:00,80.935,81.05,80.935,81.05,356.0,6.0,80.9925
CSGP,2025-07-01 14:27:00+00:00,81.05,81.05,81.05,81.05,501.0,15.0,81.05
CSGP,2025-07-01 14:28:00+00:00,81.07,81.115,81.04,81.115,625.0,16.0,81.074054
CSGP,2025-07-01 14:29:00+00:00,81.11,81.145,81.11,81.145,315.0,8.0,81.1275
CSGP,2025-07-01 14:30:00+00:00,81.19,81.21,81.19,81.21,201.0,3.0,81.2
CSGP,2025-07-01 14:31:00+00:00,81.295,81.345,81.295,81.345,652.0,7.0,81.308333
CSGP,2025-07-01 14:32:00+00:00,81.35,81.35,81.33,81.33,304.0,5.0,81.34
CSGP,2025-07-01 14:33:00+00:00,81.335,81.335,81.23,81.29,657.0,14.0,81.301518
