symbol,timestamp,open,high,low,close,volume,trade_count,vwap
CTVA,2025-07-01 13:30:00+00:00,74.34,74.345,74.32,74.345,700.0,4.0,74.337143
CTVA,2025-07-01 13:31:00+00:00,74.345,74.345,74.345,74.345,205.0,2.0,74.345
CTVA,2025-07-01 13:33:00+00:00,74.54,74.54,74.54,74.54,100.0,1.0,74.54
CTVA,2025-07-01 13:35:00+00:00,74.66,74.66,74.66,74.66,256.0,3.0,74.66
CTVA,2025-07-01 13:36:00+00:00,74.685,74.685,74.685,74.685,100.0,1.0,74.685
CTVA,2025-07-01 13:38:00+00:00,74.66,74.66,74.66,74.66,400.0,2.0,74.66
CTVA,2025-07-01 13:39:00+00:00,74.705,74.705,74.705,74.705,107.0,5.0,74.705
CTVA,2025-07-01 13:40:00+00:00,74.72,74.72,74.65,74.65,287.0,4.0,74.685
CTVA,2025-07-01 13:41:00+00:00,74.64,74.64,74.58,74.58,602.0,7.0,74.618333
CTVA,2025-07-01 13:42:00+00:00,74.6,74.6,74.6,74.6,199.0,4.0,74.6
CTVA,2025-07-01 13:45:00+00:00,74.665,74.665,74.66,74.66,200.0,2.0,74.6625
CTVA,2025-07-01 13:46:00+00:00,74.655,74.655,74.64,74.64,426.0,5.0,74.65125
CTVA,2025-07-01 13:48:00+00:00,74.655,74.655,74.64,74.64,808.0,13.0,74.652
CTVA,2025-07-01 13:49:00+00:00,74.69,74.7,74.69,74.7,225.0,3.0,74.695
CTVA,2025-07-01 13:50:00+00:00,74.695,74.695,74.695,74.695,502.0,6.0,74.695
CTVA,2025-07-01 13:51:00+00:00,74.775,74.775,74.775,74.775,241.0,5.0,74.775
CTVA,2025-07-01 13:52:00+00:00,74.74,74.74,74.73,74.73,451.0,4.0,74.737636
CTVA,2025-07-01 13:54:00+00:00,74.85,74.85,74.85,74.85,125.0,2.0,74.85
CTVA,2025-07-01 13:55:00+00:00,74.81,74.81,74.81,74.81,101.0,2.0,74.81
CTVA,2025-07-01 13:56:00+00:00,74.76,74.76,74.76,74.76,125.0,2.0,74.76
CTVA,2025-07-01 14:00:00+00:00,74.69,74.75,74.67,74.75,1795.0,20.0,74.683473
CTVA,2025-07-01 14:01:00+00:00,74.89,74.89,74.89,74.89,117.0,3.0,74.89
CTVA,2025-07-01 14:02:00+00:00,74.84,74.84,74.84,74.84,200.0,3.0,74.84
CTVA,2025-07-01 14:04:00+00:00,74.905,74.905,74.905,74.905,247.0,5.0,74.905
CTVA,2025-07-01 14:07:00+00:00,74.91,74.91,74.91,74.91,101.0,2.0,74.91
CTVA,2025-07-01 14:08:00+00:00,74.91,74.91,74.91,74.91,201.0,5.0,74.91
