symbol,timestamp,open,high,low,close,volume,trade_count,vwap
DAY,2025-07-01 13:32:00+00:00,55.01,55.01,55.01,55.01,102.0,2.0,55.01
DAY,2025-07-01 13:35:00+00:00,54.97,54.97,54.97,54.97,101.0,2.0,54.97
DAY,2025-07-01 13:37:00+00:00,55.06,55.06,55.06,55.06,101.0,1.0,55.06
DAY,2025-07-01 13:38:00+00:00,55.075,55.075,55.075,55.075,100.0,1.0,55.075
DAY,2025-07-01 13:43:00+00:00,55.125,55.125,55.125,55.125,236.0,6.0,55.125
DAY,2025-07-01 13:46:00+00:00,55.09,55.09,55.09,55.09,110.0,2.0,55.09
DAY,2025-07-01 13:48:00+00:00,55.09,55.09,55.09,55.09,540.0,8.0,55.09
DAY,2025-07-01 13:50:00+00:00,55.0,55.0,55.0,55.0,724.0,9.0,55.0
DAY,2025-07-01 13:51:00+00:00,55.02,55.12,55.02,55.12,1299.0,14.0,55.029655
DAY,2025-07-01 13:54:00+00:00,55.06,55.06,55.06,55.06,197.0,2.0,55.06
DAY,2025-07-01 13:55:00+00:00,54.95,54.95,54.95,54.95,414.0,10.0,54.95
DAY,2025-07-01 13:58:00+00:00,55.03,55.03,55.03,55.03,209.0,3.0,55.03
DAY,2025-07-01 13:59:00+00:00,55.03,55.03,55.03,55.03,239.0,3.0,55.03
DAY,2025-07-01 14:00:00+00:00,54.95,55.03,54.95,55.03,397.0,4.0,54.995326
DAY,2025-07-01 14:02:00+00:00,55.0,55.02,55.0,55.02,1960.0,17.0,55.012857
DAY,2025-07-01 14:03:00+00:00,54.97,54.97,54.97,54.97,101.0,2.0,54.97
DAY,2025-07-01 14:05:00+00:00,54.865,54.865,54.865,54.865,111.0,3.0,54.865
DAY,2025-07-01 14:11:00+00:00,55.01,55.01,55.0,55.01,713.0,9.0,55.006667
DAY,2025-07-01 14:12:00+00:00,54.99,55.02,54.98,55.02,700.0,20.0,54.998333
DAY,2025-07-01 14:14:00+00:00,55.14,55.14,55.13,55.13,211.0,4.0,55.135
DAY,2025-07-01 14:15:00+00:00,55.15,55.15,55.12,55.12,920.0,14.0,55.138
DAY,2025-07-01 14:16:00+00:00,55.04,55.08,55.04,55.08,375.0,7.0,55.063333
DAY,2025-07-01 14:17:00+00:00,55.13,55.145,55.13,55.145,760.0,13.0,55.142
DAY,2025-07-01 14:19:00+00:00,55.19,55.23,55.19,55.23,368.0,6.0,55.216667
DAY,2025-07-01 14:23:00+00:00,55.28,55.28,55.28,55.28,233.0,4.0,55.28
DAY,2025-07-01 14:24:00+00:00,55.3,55.3,55.28,55.28,315.0,4.0,55.286667
DAY,2025-07-01 14:26:00+00:00,55.26,55.27,55.26,55.27,518.0,8.0,55.265
DAY,2025-07-01 14:29:00+00:00,55.15,55.15,55.15,55.15,422.0,7.0,55.15
DAY,2025-07-01 14:30:00+00:00,55.165,55.17,55.165,55.17,200.0,2.0,55.1675
DAY,2025-07-01 14:31:00+00:00,55.21,55.21,55.21,55.21,100.0,1.0,55.21
DAY,2025-07-01 14:33:00+00:00,55.24,55.24,55.24,55.24,100.0,1.0,55.24
DAY,2025-07-01 14:34:00+00:00,55.24,55.24,55.24,55.24,152.0,1.0,55.24
DAY,2025-07-01 14:35:00+00:00,55.265,55.29,55.265,55.29,400.0,4.0,55.28375
DAY,2025-07-01 14:37:00+00:00,55.165,55.165,55.165,55.165,200.0,1.0,55.165
DAY,2025-07-01 14:39:00+00:00,55.29,55.29,55.28,55.28,237.0,5.0,55.285
DAY,2025-07-01 14:42:00+00:00,55.31,55.31,55.31,55.31,115.0,2.0,55.31
DAY,2025-07-01 14:43:00+00:00,55.33,55.33,55.33,55.33,200.0,2.0,55.33
DAY,2025-07-01 14:44:00+00:00,55.31,55.31,55.31,55.31,100.0,1.0,55.31
DAY,2025-07-01 14:47:00+00:00,55.25,55.25,55.25,55.25,220.0,4.0,55.25
DAY,2025-07-01 14:48:00+00:00,55.335,55.37,55.335,55.37,282.0,3.0,55.3525
DAY,2025-07-01 14:56:00+00:00,55.185,55.185,55.145,55.18,596.0,9.0,55.1725
DAY,2025-07-01 15:00:00+00:00,55.155,55.155,55.155,55.155,100.0,1.0,55.155
DAY,2025-07-01 15:03:00+00:00,55.245,55.245,55.245,55.245,305.0,4.0,55.245
DAY,2025-07-01 15:04:00+00:00,55.28,55.29,55.28,55.29,203.0,3.0,55.285
DAY,2025-07-01 15:05:00+00:00,55.31,55.31,55.31,55.31,114.0,3.0,55.31
DAY,2025-07-01 15:06:00+00:00,55.29,55.29,55.25,55.25,867.0,17.0,55.278296
DAY,2025-07-01 15:07:00+00:00,55.11,55.11,55.085,55.085,447.0,6.0,55.0975
DAY,2025-07-01 15:08:00+00:00,55.06,55.06,55.06,55.06,118.0,2.0,55.06
DAY,2025-07-01 15:09:00+00:00,55.1,55.1,55.1,55.1,269.0,6.0,55.1
DAY,2025-07-01 15:11:00+00:00,54.995,54.995,54.995,54.995,232.0,4.0,54.995
DAY,2025-07-01 15:12:00+00:00,55.07,55.07,55.07,55.07,228.0,3.0,55.07
DAY,2025-07-01 15:14:00+00:00,55.13,55.13,55.13,55.13,102.0,2.0,55.13
DAY,2025-07-01 15:18:00+00:00,55.255,55.29,55.255,55.29,244.0,4.0,55.2725
DAY,2025-07-01 15:19:00+00:00,55.29,55.29,55.29,55.29,100.0,1.0,55.29
DAY,2025-07-01 15:20:00+00:00,55.32,55.34,55.32,55.34,220.0,3.0,55.33
DAY,2025-07-01 15:21:00+00:00,55.325,55.43,55.325,55.43,221.0,5.0,55.3775
DAY,2025-07-01 15:24:00+00:00,55.45,55.45,55.45,55.45,100.0,1.0,55.45
DAY,2025-07-01 15:25:00+00:00,55.5,55.5,55.5,55.5,100.0,1.0,55.5
