symbol,timestamp,open,high,low,close,volume,trade_count,vwap
DD,2025-07-01 13:30:00+00:00,68.76,68.76,68.63,68.63,440.0,4.0,68.6625
DD,2025-07-01 13:32:00+00:00,68.645,68.645,68.645,68.645,142.0,8.0,68.645
DD,2025-07-01 13:33:00+00:00,68.84,68.84,68.84,68.84,100.0,1.0,68.84
DD,2025-07-01 13:34:00+00:00,68.84,68.84,68.84,68.84,101.0,2.0,68.84
DD,2025-07-01 13:36:00+00:00,68.72,68.72,68.72,68.72,113.0,3.0,68.72
DD,2025-07-01 13:37:00+00:00,68.72,68.72,68.72,68.72,200.0,3.0,68.72
DD,2025-07-01 13:38:00+00:00,68.75,68.75,68.75,68.75,100.0,1.0,68.75
DD,2025-07-01 13:39:00+00:00,68.77,68.77,68.77,68.77,102.0,2.0,68.77
DD,2025-07-01 13:42:00+00:00,68.7,68.7,68.7,68.7,282.0,5.0,68.7
DD,2025-07-01 13:43:00+00:00,68.73,68.73,68.73,68.73,100.0,1.0,68.73
DD,2025-07-01 13:46:00+00:00,68.72,68.72,68.67,68.67,611.0,12.0,68.7075
DD,2025-07-01 13:51:00+00:00,68.92,68.93,68.92,68.93,212.0,3.0,68.925
DD,2025-07-01 13:52:00+00:00,68.88,68.88,68.86,68.86,884.0,9.0,68.868588
DD,2025-07-01 13:54:00+00:00,68.81,68.81,68.81,68.81,200.0,3.0,68.81
DD,2025-07-01 13:55:00+00:00,68.76,68.76,68.76,68.76,100.0,1.0,68.76
DD,2025-07-01 13:56:00+00:00,68.73,68.73,68.725,68.725,804.0,12.0,68.727308
DD,2025-07-01 13:59:00+00:00,68.74,68.74,68.74,68.74,180.0,1.0,68.74
DD,2025-07-01 14:03:00+00:00,68.795,68.91,68.795,68.91,628.0,11.0,68.821316
DD,2025-07-01 14:09:00+00:00,69.035,69.035,69.035,69.035,109.0,2.0,69.035
DD,2025-07-01 14:16:00+00:00,69.35,69.365,69.34,69.34,427.0,7.0,69.354078
DD,2025-07-01 14:18:00+00:00,69.415,69.415,69.415,69.415,300.0,2.0,69.415
DD,2025-07-01 14:19:00+00:00,69.445,69.445,69.445,69.445,117.0,3.0,69.445
DD,2025-07-01 14:20:00+00:00,69.445,69.45,69.445,69.45,252.0,3.0,69.447
DD,2025-07-01 14:21:00+00:00,69.505,69.505,69.505,69.505,402.0,3.0,69.505
DD,2025-07-01 14:22:00+00:00,69.58,69.58,69.58,69.58,128.0,5.0,69.58
DD,2025-07-01 14:23:00+00:00,69.6,69.6,69.6,69.6,433.0,7.0,69.6
DD,2025-07-01 14:24:00+00:00,69.605,69.605,69.605,69.605,305.0,7.0,69.605
DD,2025-07-01 14:25:00+00:00,69.56,69.56,69.54,69.54,210.0,3.0,69.550291
DD,2025-07-01 14:26:00+00:00,69.59,69.59,69.59,69.59,247.0,4.0,69.59
DD,2025-07-01 14:28:00+00:00,69.545,69.57,69.545,69.57,205.0,4.0,69.5575
DD,2025-07-01 14:29:00+00:00,69.62,69.62,69.62,69.62,124.0,3.0,69.62
DD,2025-07-01 14:32:00+00:00,69.75,69.75,69.75,69.75,105.0,2.0,69.75
DD,2025-07-01 14:33:00+00:00,69.75,69.76,69.75,69.76,292.0,7.0,69.754902
DD,2025-07-01 14:34:00+00:00,69.8,69.8,69.8,69.8,210.0,3.0,69.8
DD,2025-07-01 14:35:00+00:00,69.8,69.8,69.69,69.69,1428.0,28.0,69.730476
DD,2025-07-01 14:36:00+00:00,69.695,69.695,69.695,69.695,632.0,7.0,69.695
DD,2025-07-01 14:37:00+00:00,69.67,69.67,69.67,69.67,184.0,2.0,69.67
DD,2025-07-01 14:41:00+00:00,69.735,69.735,69.735,69.735,302.0,7.0,69.735
DD,2025-07-01 14:42:00+00:00,69.78,69.78,69.78,69.78,229.0,11.0,69.78
DD,2025-07-01 14:43:00+00:00,69.755,69.82,69.755,69.82,200.0,2.0,69.7875
DD,2025-07-01 14:44:00+00:00,69.79,69.79,69.79,69.79,139.0,3.0,69.79
DD,2025-07-01 14:46:00+00:00,69.89,69.89,69.89,69.89,275.0,5.0,69.89
DD,2025-07-01 14:47:00+00:00,69.98,69.98,69.96,69.96,724.0,10.0,69.968233
DD,2025-07-01 14:49:00+00:00,70.03,70.03,70.03,70.03,225.0,7.0,70.03
DD,2025-07-01 14:50:00+00:00,70.03,70.03,70.03,70.03,128.0,6.0,70.03
DD,2025-07-01 14:53:00+00:00,70.1,70.11,70.08,70.11,491.0,9.0,70.1
DD,2025-07-01 14:58:00+00:00,70.18,70.18,70.18,70.18,154.0,5.0,70.18
DD,2025-07-01 15:01:00+00:00,70.24,70.24,70.24,70.24,101.0,2.0,70.24
DD,2025-07-01 15:04:00+00:00,70.34,70.34,70.34,70.34,122.0,3.0,70.34
DD,2025-07-01 15:06:00+00:00,70.37,70.37,70.37,70.37,144.0,4.0,70.37
DD,2025-07-01 15:07:00+00:00,70.42,70.42,70.42,70.42,216.0,9.0,70.42
DD,2025-07-01 15:10:00+00:00,70.445,70.445,70.445,70.445,116.0,5.0,70.445
DD,2025-07-01 15:13:00+00:00,70.57,70.59,70.57,70.59,326.0,6.0,70.58
DD,2025-07-01 15:14:00+00:00,70.64,70.68,70.64,70.68,227.0,6.0,70.66
DD,2025-07-01 15:15:00+00:00,70.655,70.655,70.65,70.65,300.0,4.0,70.6525
DD,2025-07-01 15:16:00+00:00,70.7,70.7,70.68,70.68,642.0,15.0,70.69
DD,2025-07-01 15:17:00+00:00,70.76,70.87,70.76,70.87,262.0,7.0,70.815
DD,2025-07-01 15:19:00+00:00,70.94,70.94,70.94,70.94,432.0,7.0,70.94
DD,2025-07-01 15:22:00+00:00,71.03,71.03,71.03,71.03,442.0,6.0,71.03
DD,2025-07-01 15:23:00+00:00,71.06,71.13,71.06,71.13,586.0,7.0,71.076588
DD,2025-07-01 15:25:00+00:00,71.15,71.15,71.13,71.13,410.0,5.0,71.14
DD,2025-07-01 15:26:00+00:00,71.22,71.22,71.21,71.21,415.0,6.0,71.215
DD,2025-07-01 15:27:00+00:00,71.255,71.255,71.255,71.255,305.0,7.0,71.255
DD,2025-07-01 15:28:00+00:00,71.24,71.24,71.24,71.24,125.0,3.0,71.24
DD,2025-07-01 15:29:00+00:00,71.24,71.24,71.22,71.22,678.0,19.0,71.23
DD,2025-07-01 15:30:00+00:00,71.21,71.22,71.195,71.195,799.0,11.0,71.203794
DD,2025-07-01 15:31:00+00:00,71.19,71.2,71.19,71.2,484.0,12.0,71.195
DD,2025-07-01 15:32:00+00:00,71.175,71.175,71.175,71.175,427.0,7.0,71.175
DD,2025-07-01 15:34:00+00:00,71.26,71.26,71.26,71.26,110.0,2.0,71.26
DD,2025-07-01 15:35:00+00:00,71.28,71.28,71.21,71.23,430.0,10.0,71.24
DD,2025-07-01 15:36:00+00:00,71.22,71.22,71.22,71.22,100.0,1.0,71.22
DD,2025-07-01 15:37:00+00:00,71.25,71.25,71.24,71.25,300.0,3.0,71.246667
DD,2025-07-01 15:38:00+00:00,71.225,71.225,71.18,71.18,249.0,6.0,71.2025
DD,2025-07-01 15:40:00+00:00,71.255,71.255,71.255,71.255,264.0,7.0,71.255
DD,2025-07-01 15:41:00+00:00,71.36,71.36,71.335,71.335,369.0,8.0,71.3475
DD,2025-07-01 15:46:00+00:00,71.46,71.46,71.46,71.46,344.0,12.0,71.46
