symbol,timestamp,open,high,low,close,volume,trade_count,vwap
AEE,2025-07-01 04:00:00+00:00,96.21,96.68,95.205,96.4,68586.0,1279.0,96.160647
AEE,2025-07-02 04:00:00+00:00,95.67,96.515,94.72,95.47,50383.0,1214.0,95.585382
AEE,2025-07-03 04:00:00+00:00,95.43,96.25,95.25,96.03,26233.0,1002.0,95.955249
AEE,2025-07-07 04:00:00+00:00,96.02,96.31,95.46,95.91,66364.0,1409.0,95.89877
AEE,2025-07-08 04:00:00+00:00,95.13,95.605,94.245,95.0,71882.0,1370.0,94.837735
AEE,2025-07-09 04:00:00+00:00,95.05,95.35,94.26,95.18,83899.0,1396.0,94.886539
AEE,2025-07-10 04:00:00+00:00,94.92,96.41,94.92,96.255,75863.0,1261.0,96.033555
AEE,2025-07-11 04:00:00+00:00,96.19,96.61,95.57,96.13,48234.0,1114.0,96.060966
AEE,2025-07-14 04:00:00+00:00,96.01,97.01,95.69,96.52,50600.0,1177.0,96.332716
AEE,2025-07-15 04:00:00+00:00,96.335,96.49,95.19,95.71,63151.0,1141.0,95.817437
AEE,2025-07-16 04:00:00+00:00,95.81,96.9,95.81,96.85,55640.0,1361.0,96.436968
AEE,2025-07-17 04:00:00+00:00,97.045,97.52,96.31,97.3,35955.0,926.0,97.098049
AEE,2025-07-18 04:00:00+00:00,98.415,98.875,98.0,98.72,42279.0,1166.0,98.561596
AEE,2025-07-21 04:00:00+00:00,99.005,99.85,98.87,99.31,60364.0,1166.0,99.424797
AEE,2025-07-22 04:00:00+00:00,99.59,100.965,99.59,100.89,38061.0,936.0,100.485178
AEE,2025-07-23 04:00:00+00:00,101.0,101.525,99.56,99.86,43027.0,821.0,100.136683
AEE,2025-07-24 04:00:00+00:00,99.95,100.39,99.655,100.1,36037.0,1177.0,100.131736
AEE,2025-07-25 04:00:00+00:00,99.95,100.315,99.875,100.13,51737.0,1334.0,100.119077
AEE,2025-07-28 04:00:00+00:00,99.44,99.44,98.04,98.33,88896.0,1416.0,98.536963
AEE,2025-07-29 04:00:00+00:00,98.46,99.835,98.45,99.835,43321.0,1317.0,99.362124
AEE,2025-07-30 04:00:00+00:00,99.89,100.85,99.78,99.89,75360.0,1460.0,100.275053
AEE,2025-07-31 04:00:00+00:00,99.44,101.2,99.44,101.15,78825.0,1841.0,100.765637
