symbol,timestamp,open,high,low,close,volume,trade_count,vwap
ALLE,2025-07-01 04:00:00+00:00,143.305,148.71,143.305,147.64,39131.0,980.0,146.833884
ALLE,2025-07-02 04:00:00+00:00,147.51,148.625,147.03,147.9,34249.0,1188.0,147.877722
ALLE,2025-07-03 04:00:00+00:00,147.465,148.305,147.36,148.17,14154.0,558.0,147.888793
ALLE,2025-07-07 04:00:00+00:00,148.3,149.58,147.02,148.22,36485.0,1209.0,148.344937
ALLE,2025-07-08 04:00:00+00:00,148.205,149.91,148.205,148.45,51873.0,1283.0,149.047422
ALLE,2025-07-09 04:00:00+00:00,149.555,150.31,148.26,150.04,27599.0,950.0,149.547372
ALLE,2025-07-10 04:00:00+00:00,151.07,153.05,151.06,151.54,38865.0,1162.0,152.190126
ALLE,2025-07-11 04:00:00+00:00,149.95,149.95,147.93,148.79,41469.0,1025.0,148.99467
ALLE,2025-07-14 04:00:00+00:00,148.2,149.28,147.44,148.43,31753.0,1021.0,148.680256
ALLE,2025-07-15 04:00:00+00:00,148.915,148.93,145.36,145.53,35005.0,907.0,146.596832
ALLE,2025-07-16 04:00:00+00:00,146.07,146.12,143.7,146.09,37476.0,959.0,145.109074
ALLE,2025-07-17 04:00:00+00:00,150.5,153.725,149.785,153.53,63955.0,1462.0,152.315832
ALLE,2025-07-18 04:00:00+00:00,153.605,154.075,152.27,152.81,48731.0,1249.0,153.038681
ALLE,2025-07-21 04:00:00+00:00,153.575,153.575,149.6,149.625,46310.0,1278.0,150.876756
ALLE,2025-07-22 04:00:00+00:00,149.705,153.11,149.705,152.72,48062.0,1350.0,152.322019
ALLE,2025-07-23 04:00:00+00:00,153.425,154.54,152.875,154.29,69219.0,2362.0,153.912727
ALLE,2025-07-24 04:00:00+00:00,157.185,163.95,156.865,163.605,65712.0,1478.0,161.660911
ALLE,2025-07-25 04:00:00+00:00,163.47,166.17,162.32,165.38,53018.0,1674.0,164.882861
ALLE,2025-07-28 04:00:00+00:00,164.44,165.51,163.32,163.7,35524.0,1064.0,164.267357
ALLE,2025-07-29 04:00:00+00:00,164.65,165.57,163.4,164.1,52626.0,1389.0,164.028067
ALLE,2025-07-30 04:00:00+00:00,163.33,165.675,163.33,164.83,61815.0,1219.0,164.563441
ALLE,2025-07-31 04:00:00+00:00,164.24,166.305,164.24,165.89,73140.0,1513.0,165.637782
