symbol,timestamp,open,high,low,close,volume,trade_count,vwap
AME,2025-07-01 04:00:00+00:00,179.51,183.9,179.51,183.04,60340.0,1600.0,182.567896
AME,2025-07-02 04:00:00+00:00,182.645,183.1,181.625,181.98,55779.0,1523.0,182.313498
AME,2025-07-03 04:00:00+00:00,182.55,184.33,182.55,184.105,30086.0,825.0,183.915331
AME,2025-07-07 04:00:00+00:00,183.065,184.0,181.18,182.32,87882.0,1884.0,182.134889
AME,2025-07-08 04:00:00+00:00,183.13,183.13,180.98,181.34,64486.0,1667.0,181.619227
AME,2025-07-09 04:00:00+00:00,182.535,182.535,180.16,182.29,93178.0,2037.0,181.570977
AME,2025-07-10 04:00:00+00:00,182.285,183.625,181.215,181.42,57616.0,1565.0,182.388904
AME,2025-07-11 04:00:00+00:00,180.665,181.415,179.875,180.97,47237.0,1225.0,180.98696
AME,2025-07-14 04:00:00+00:00,178.645,179.97,177.65,178.26,52671.0,1399.0,178.510386
AME,2025-07-15 04:00:00+00:00,178.91,178.91,176.345,176.45,79413.0,1581.0,177.161033
AME,2025-07-16 04:00:00+00:00,177.0,177.16,174.49,177.05,91018.0,2022.0,176.279931
AME,2025-07-17 04:00:00+00:00,177.615,179.84,177.615,179.75,63603.0,1558.0,178.879023
AME,2025-07-18 04:00:00+00:00,179.725,180.06,178.175,178.63,33375.0,1165.0,178.842657
AME,2025-07-21 04:00:00+00:00,178.215,179.735,178.01,178.14,91160.0,2113.0,179.091893
AME,2025-07-22 04:00:00+00:00,177.715,179.27,177.715,179.23,40345.0,1406.0,178.630703
AME,2025-07-23 04:00:00+00:00,181.125,181.535,180.335,181.265,31490.0,1073.0,180.90014
AME,2025-07-24 04:00:00+00:00,180.98,181.685,179.65,179.72,60780.0,1613.0,180.121587
AME,2025-07-25 04:00:00+00:00,180.41,180.48,179.09,180.07,77552.0,1678.0,179.966562
AME,2025-07-28 04:00:00+00:00,180.08,180.47,178.61,178.85,74239.0,1861.0,179.581742
AME,2025-07-29 04:00:00+00:00,179.52,179.69,178.11,178.92,61829.0,1661.0,178.636456
AME,2025-07-30 04:00:00+00:00,179.415,179.72,175.645,176.75,113026.0,2622.0,177.29762
AME,2025-07-31 04:00:00+00:00,181.38,189.1,181.38,184.86,142355.0,2882.0,186.346638
