symbol,timestamp,open,high,low,close,volume,trade_count,vwap
APA,2025-07-01 04:00:00+00:00,18.285,19.21,18.14,18.94,415274.0,4584.0,18.84029
APA,2025-07-02 04:00:00+00:00,19.31,19.59,18.91,19.49,442168.0,3946.0,19.323828
APA,2025-07-03 04:00:00+00:00,19.55,19.65,19.4,19.52,177026.0,1974.0,19.537399
APA,2025-07-07 04:00:00+00:00,19.43,19.825,19.045,19.4,269468.0,3696.0,19.34311
APA,2025-07-08 04:00:00+00:00,19.38,20.735,19.38,20.51,535009.0,6326.0,20.403963
APA,2025-07-09 04:00:00+00:00,20.52,20.65,20.185,20.44,227921.0,2817.0,20.385591
APA,2025-07-10 04:00:00+00:00,20.25,20.49,19.835,20.4,272456.0,3401.0,20.282839
APA,2025-07-11 04:00:00+00:00,20.32,20.535,20.105,20.11,250982.0,3834.0,20.268814
APA,2025-07-14 04:00:00+00:00,20.04,20.04,19.165,19.48,299494.0,3610.0,19.445779
APA,2025-07-15 04:00:00+00:00,19.46,19.595,18.625,18.645,437611.0,4729.0,18.853694
APA,2025-07-16 04:00:00+00:00,18.66,18.69,18.06,18.14,392803.0,4445.0,18.263278
APA,2025-07-17 04:00:00+00:00,18.24,18.935,18.125,18.84,289245.0,3792.0,18.661838
APA,2025-07-18 04:00:00+00:00,19.14,19.265,18.685,18.8,306131.0,4208.0,18.881501
APA,2025-07-21 04:00:00+00:00,19.0,19.01,18.47,18.6,192417.0,2483.0,18.651693
APA,2025-07-22 04:00:00+00:00,18.455,18.9,18.455,18.73,337831.0,3874.0,18.721838
APA,2025-07-23 04:00:00+00:00,18.835,19.38,18.76,19.21,258837.0,3297.0,19.141495
APA,2025-07-24 04:00:00+00:00,19.09,19.58,18.88,19.29,272056.0,3193.0,19.233307
APA,2025-07-25 04:00:00+00:00,19.35,19.42,18.855,19.1,183141.0,2281.0,19.079996
APA,2025-07-28 04:00:00+00:00,19.41,19.69,19.39,19.575,272637.0,3140.0,19.547959
APA,2025-07-29 04:00:00+00:00,19.49,19.87,19.15,19.685,331922.0,3487.0,19.474588
APA,2025-07-30 04:00:00+00:00,19.54,19.615,19.12,19.5,396113.0,3717.0,19.363482
APA,2025-07-31 04:00:00+00:00,19.185,19.66,19.14,19.295,294464.0,3094.0,19.350511
