symbol,timestamp,open,high,low,close,volume,trade_count,vwap
APO,2025-07-01 04:00:00+00:00,141.27,142.78,139.93,141.65,75236.0,1711.0,141.668414
APO,2025-07-02 04:00:00+00:00,141.5,143.02,140.58,142.8,105086.0,2639.0,142.096908
APO,2025-07-03 04:00:00+00:00,143.135,145.35,142.68,144.45,89068.0,1691.0,144.511776
APO,2025-07-07 04:00:00+00:00,143.005,144.16,140.17,141.565,114213.0,2406.0,141.696847
APO,2025-07-08 04:00:00+00:00,141.985,146.12,140.62,145.07,177554.0,3087.0,144.634341
APO,2025-07-09 04:00:00+00:00,146.195,147.02,145.065,146.64,125413.0,2636.0,146.201796
APO,2025-07-10 04:00:00+00:00,146.63,149.715,146.18,148.18,185848.0,3683.0,148.700925
APO,2025-07-11 04:00:00+00:00,146.935,148.0,146.685,147.23,71014.0,1788.0,147.333616
APO,2025-07-14 04:00:00+00:00,146.73,148.855,146.29,148.605,97420.0,2071.0,148.000571
APO,2025-07-15 04:00:00+00:00,148.335,148.69,145.64,145.71,120851.0,3010.0,146.482404
APO,2025-07-16 04:00:00+00:00,148.55,152.84,147.97,152.69,198884.0,3703.0,150.906398
APO,2025-07-17 04:00:00+00:00,152.53,157.01,152.53,156.055,172518.0,3120.0,155.800174
APO,2025-07-18 04:00:00+00:00,156.625,156.625,151.38,152.0,147065.0,3538.0,152.668924
APO,2025-07-21 04:00:00+00:00,152.81,153.25,148.54,148.64,113492.0,2645.0,150.318983
APO,2025-07-22 04:00:00+00:00,149.275,149.9,146.69,149.615,85076.0,2168.0,148.730378
APO,2025-07-23 04:00:00+00:00,150.685,152.385,149.67,151.75,144755.0,2796.0,151.553096
APO,2025-07-24 04:00:00+00:00,153.26,153.26,151.62,151.62,111146.0,2286.0,152.479785
APO,2025-07-25 04:00:00+00:00,151.83,151.84,149.245,151.16,78304.0,1794.0,150.798534
APO,2025-07-28 04:00:00+00:00,151.79,151.79,148.21,148.72,191823.0,3538.0,149.24234
APO,2025-07-29 04:00:00+00:00,149.035,149.66,145.62,147.83,215842.0,3440.0,147.18296
APO,2025-07-30 04:00:00+00:00,148.29,148.66,144.255,145.51,154451.0,3039.0,146.207331
APO,2025-07-31 04:00:00+00:00,145.825,147.46,144.145,145.32,154599.0,3376.0,145.8512
