symbol,timestamp,open,high,low,close,volume,trade_count,vwap
APTV,2025-07-01 04:00:00+00:00,67.945,71.66,67.945,71.65,76851.0,1878.0,70.729786
APTV,2025-07-02 04:00:00+00:00,71.95,72.765,71.455,72.175,111561.0,2344.0,72.055813
APTV,2025-07-03 04:00:00+00:00,72.625,72.9,71.86,72.39,34014.0,843.0,72.393579
APTV,2025-07-07 04:00:00+00:00,71.28,72.54,70.9,72.03,126849.0,2048.0,71.885209
APTV,2025-07-08 04:00:00+00:00,72.43,72.66,71.35,71.46,123967.0,2517.0,71.941154
APTV,2025-07-09 04:00:00+00:00,71.835,71.835,70.72,70.95,97280.0,1726.0,71.089319
APTV,2025-07-10 04:00:00+00:00,71.17,71.415,69.895,70.57,106926.0,2000.0,70.594533
APTV,2025-07-11 04:00:00+00:00,70.53,70.53,69.175,69.25,88433.0,2181.0,69.530445
APTV,2025-07-14 04:00:00+00:00,69.85,71.4,69.4,70.48,107025.0,2401.0,70.581385
APTV,2025-07-15 04:00:00+00:00,70.765,70.765,69.195,69.28,52694.0,1075.0,69.78427
APTV,2025-07-16 04:00:00+00:00,69.765,70.29,69.07,70.14,67495.0,1712.0,69.821325
APTV,2025-07-17 04:00:00+00:00,70.175,70.39,69.355,70.26,90397.0,1644.0,70.077659
APTV,2025-07-18 04:00:00+00:00,69.975,69.975,67.955,68.19,167276.0,2708.0,68.422875
APTV,2025-07-21 04:00:00+00:00,68.58,69.015,67.59,68.97,113412.0,1891.0,68.790208
APTV,2025-07-22 04:00:00+00:00,68.84,70.185,68.33,69.94,49726.0,1101.0,69.659174
APTV,2025-07-23 04:00:00+00:00,70.955,72.4,70.955,71.885,94554.0,1689.0,71.833124
APTV,2025-07-24 04:00:00+00:00,70.92,71.17,69.76,70.45,88353.0,1575.0,70.289539
APTV,2025-07-25 04:00:00+00:00,70.63,71.21,70.045,70.925,89776.0,1462.0,70.679275
APTV,2025-07-28 04:00:00+00:00,70.36,70.8,69.71,69.825,84533.0,1627.0,70.14846
APTV,2025-07-29 04:00:00+00:00,70.0,70.0,68.2,68.27,131179.0,3001.0,68.595529
APTV,2025-07-30 04:00:00+00:00,68.325,68.325,66.275,66.64,334961.0,4427.0,67.241195
APTV,2025-07-31 04:00:00+00:00,68.24,69.79,66.535,68.625,143654.0,2468.0,68.687148
