symbol,timestamp,open,high,low,close,volume,trade_count,vwap
ARE,2025-07-01 04:00:00+00:00,72.555,76.115,72.24,74.49,53451.0,1229.0,74.763924
ARE,2025-07-02 04:00:00+00:00,74.79,76.41,74.695,76.25,77736.0,1441.0,75.75676
ARE,2025-07-03 04:00:00+00:00,76.49,77.1,75.99,76.89,29173.0,935.0,76.754157
ARE,2025-07-07 04:00:00+00:00,76.01,77.025,74.55,75.0,60721.0,1182.0,75.542791
ARE,2025-07-08 04:00:00+00:00,75.265,77.49,74.83,77.06,50830.0,1338.0,76.794046
ARE,2025-07-09 04:00:00+00:00,77.41,78.115,76.245,77.06,40766.0,870.0,76.994694
ARE,2025-07-10 04:00:00+00:00,77.66,79.665,77.44,79.28,54963.0,1431.0,78.999951
ARE,2025-07-11 04:00:00+00:00,78.28,79.975,77.94,79.57,59609.0,1545.0,78.968082
ARE,2025-07-14 04:00:00+00:00,80.05,80.18,78.175,78.57,133375.0,2073.0,78.817733
ARE,2025-07-15 04:00:00+00:00,79.015,79.275,77.275,77.35,52793.0,1092.0,77.988614
ARE,2025-07-16 04:00:00+00:00,78.755,79.105,77.105,78.13,39178.0,1004.0,78.132731
ARE,2025-07-17 04:00:00+00:00,78.47,79.51,78.11,78.89,58547.0,1182.0,78.89303
ARE,2025-07-18 04:00:00+00:00,78.965,79.29,77.84,78.17,54213.0,1246.0,78.234917
ARE,2025-07-21 04:00:00+00:00,79.11,79.345,77.985,78.29,30881.0,859.0,78.613318
ARE,2025-07-22 04:00:00+00:00,78.95,81.62,77.995,80.69,110500.0,1967.0,80.360105
ARE,2025-07-23 04:00:00+00:00,80.89,83.345,80.685,82.92,206953.0,3452.0,82.785737
ARE,2025-07-24 04:00:00+00:00,82.47,83.02,82.005,82.07,44919.0,1059.0,82.450604
ARE,2025-07-25 04:00:00+00:00,81.72,82.475,79.15,82.25,95801.0,3094.0,81.289604
ARE,2025-07-28 04:00:00+00:00,81.42,81.42,79.13,79.13,43756.0,1287.0,79.935192
ARE,2025-07-29 04:00:00+00:00,79.265,79.55,78.67,79.53,36845.0,982.0,79.159103
ARE,2025-07-30 04:00:00+00:00,79.49,80.13,77.5,78.07,54115.0,1520.0,79.142789
ARE,2025-07-31 04:00:00+00:00,77.47,78.005,76.23,76.4,68820.0,1559.0,76.929924
