symbol,timestamp,open,high,low,close,volume,trade_count,vwap
AVY,2025-07-01 04:00:00+00:00,176.22,183.275,176.0,181.22,62430.0,1713.0,180.486063
AVY,2025-07-02 04:00:00+00:00,181.86,183.975,180.885,183.49,26873.0,858.0,182.103962
AVY,2025-07-03 04:00:00+00:00,182.34,183.67,182.34,183.125,12837.0,650.0,183.138563
AVY,2025-07-07 04:00:00+00:00,183.2,183.725,180.29,180.29,14444.0,601.0,181.353968
AVY,2025-07-08 04:00:00+00:00,181.52,182.73,181.52,182.28,13187.0,617.0,182.338611
AVY,2025-07-09 04:00:00+00:00,182.11,183.7,181.74,183.48,17167.0,599.0,182.778952
AVY,2025-07-10 04:00:00+00:00,183.505,186.435,183.505,184.555,30729.0,827.0,185.606577
AVY,2025-07-11 04:00:00+00:00,182.76,182.895,181.885,182.155,15292.0,752.0,182.254386
AVY,2025-07-14 04:00:00+00:00,181.585,181.585,180.45,180.55,13837.0,625.0,180.713117
AVY,2025-07-15 04:00:00+00:00,180.67,180.67,177.085,177.145,15543.0,559.0,178.407725
AVY,2025-07-16 04:00:00+00:00,176.945,178.3,175.9,178.08,30207.0,1126.0,177.179823
AVY,2025-07-17 04:00:00+00:00,178.26,180.915,177.68,180.755,48543.0,1516.0,179.698611
AVY,2025-07-18 04:00:00+00:00,180.105,180.105,178.375,178.63,18414.0,838.0,178.890144
AVY,2025-07-21 04:00:00+00:00,179.63,180.51,178.74,179.07,31308.0,1132.0,179.484849
AVY,2025-07-22 04:00:00+00:00,177.83,181.93,177.29,181.72,23451.0,881.0,180.168864
AVY,2025-07-23 04:00:00+00:00,183.75,183.75,178.83,179.69,41038.0,1279.0,179.777743
AVY,2025-07-24 04:00:00+00:00,179.515,180.94,177.04,178.65,44475.0,964.0,178.875492
AVY,2025-07-25 04:00:00+00:00,178.635,179.33,176.705,177.81,10281.0,445.0,177.742526
AVY,2025-07-28 04:00:00+00:00,176.44,176.67,174.07,174.45,16707.0,612.0,175.089278
AVY,2025-07-29 04:00:00+00:00,174.865,174.865,171.94,172.03,33782.0,967.0,172.71538
AVY,2025-07-30 04:00:00+00:00,171.65,171.65,167.91,168.43,42077.0,1328.0,169.507489
AVY,2025-07-31 04:00:00+00:00,169.27,169.825,167.345,167.72,25587.0,856.0,168.422808
