symbol,timestamp,open,high,low,close,volume,trade_count,vwap
BA,2025-07-01 04:00:00+00:00,209.225,211.805,206.83,209.825,165457.0,3913.0,210.018187
BA,2025-07-02 04:00:00+00:00,210.565,214.33,208.32,211.92,177706.0,3566.0,211.87566
BA,2025-07-03 04:00:00+00:00,211.81,217.59,211.795,215.77,123469.0,2572.0,215.768381
BA,2025-07-07 04:00:00+00:00,215.945,218.48,214.52,218.41,142837.0,2862.0,216.587017
BA,2025-07-08 04:00:00+00:00,218.825,219.95,214.77,218.5,237589.0,4578.0,217.580178
BA,2025-07-09 04:00:00+00:00,220.115,230.16,220.01,226.57,456648.0,7510.0,226.649157
BA,2025-07-10 04:00:00+00:00,226.53,228.405,223.97,226.03,129665.0,2789.0,225.849433
BA,2025-07-11 04:00:00+00:00,226.205,228.725,226.105,226.74,147504.0,3204.0,227.351005
BA,2025-07-14 04:00:00+00:00,231.625,232.74,227.29,230.5,158131.0,3649.0,230.162705
BA,2025-07-15 04:00:00+00:00,229.88,233.605,228.5,229.95,192257.0,3755.0,230.897306
BA,2025-07-16 04:00:00+00:00,231.855,233.4,227.44,229.76,424396.0,5886.0,229.4403
BA,2025-07-17 04:00:00+00:00,230.465,232.51,227.76,231.0,271729.0,4872.0,230.873361
BA,2025-07-18 04:00:00+00:00,231.43,231.43,227.84,229.345,130308.0,2798.0,229.317674
BA,2025-07-21 04:00:00+00:00,230.01,232.32,228.37,229.34,119127.0,3320.0,230.595675
BA,2025-07-22 04:00:00+00:00,228.22,230.13,225.56,228.39,177520.0,3641.0,228.632374
BA,2025-07-23 04:00:00+00:00,230.49,235.25,229.355,233.78,212520.0,4335.0,232.97944
BA,2025-07-24 04:00:00+00:00,234.605,235.21,231.15,231.16,190308.0,3673.0,233.322656
BA,2025-07-25 04:00:00+00:00,232.03,233.295,228.935,233.18,146263.0,3003.0,231.747783
BA,2025-07-28 04:00:00+00:00,233.19,236.58,232.98,236.42,242882.0,4611.0,234.626517
BA,2025-07-29 04:00:00+00:00,239.5,242.65,225.29,226.13,427395.0,7688.0,230.417884
BA,2025-07-30 04:00:00+00:00,227.81,231.62,224.36,225.955,347316.0,6395.0,227.760912
BA,2025-07-31 04:00:00+00:00,224.175,224.95,221.21,221.78,315589.0,6111.0,222.636864
