symbol,timestamp,open,high,low,close,volume,trade_count,vwap
BBY,2025-07-01 04:00:00+00:00,67.475,72.14,67.35,70.645,228232.0,3427.0,70.438731
BBY,2025-07-02 04:00:00+00:00,71.555,71.88,70.325,71.59,182767.0,2897.0,71.220581
BBY,2025-07-03 04:00:00+00:00,71.95,72.83,71.67,72.045,84375.0,1413.0,72.092968
BBY,2025-07-07 04:00:00+00:00,71.47,71.66,69.81,70.52,184655.0,3370.0,70.648786
BBY,2025-07-08 04:00:00+00:00,72.04,72.715,70.92,72.24,144533.0,2866.0,72.015012
BBY,2025-07-09 04:00:00+00:00,72.4,73.04,71.87,72.45,143763.0,2958.0,72.307065
BBY,2025-07-10 04:00:00+00:00,72.75,74.75,72.75,73.715,148326.0,2792.0,74.106963
BBY,2025-07-11 04:00:00+00:00,72.8,73.07,71.755,71.78,181456.0,2955.0,72.249221
BBY,2025-07-14 04:00:00+00:00,70.45,71.01,69.36,70.9,185793.0,2868.0,70.075917
BBY,2025-07-15 04:00:00+00:00,70.74,71.88,68.87,68.87,148090.0,2715.0,69.869587
BBY,2025-07-16 04:00:00+00:00,68.955,68.96,66.4,66.845,183169.0,2857.0,67.122298
BBY,2025-07-17 04:00:00+00:00,67.0,67.81,66.75,67.64,174457.0,2796.0,67.477796
BBY,2025-07-18 04:00:00+00:00,67.835,67.89,66.48,67.51,143078.0,2352.0,67.138994
BBY,2025-07-21 04:00:00+00:00,67.805,67.94,65.775,66.2,185680.0,2747.0,66.48232
BBY,2025-07-22 04:00:00+00:00,66.49,68.48,66.49,68.15,215899.0,3162.0,67.839965
BBY,2025-07-23 04:00:00+00:00,68.965,69.08,68.16,68.44,196008.0,3205.0,68.689902
BBY,2025-07-24 04:00:00+00:00,69.13,69.78,66.99,67.27,166163.0,2264.0,68.005743
BBY,2025-07-25 04:00:00+00:00,68.08,68.11,66.82,67.43,148812.0,2615.0,67.257244
BBY,2025-07-28 04:00:00+00:00,67.68,68.98,67.4,67.81,107584.0,1930.0,68.235177
BBY,2025-07-29 04:00:00+00:00,67.69,67.69,66.15,66.425,120045.0,2408.0,66.673238
BBY,2025-07-30 04:00:00+00:00,66.625,67.13,65.405,65.81,184382.0,2757.0,66.222965
BBY,2025-07-31 04:00:00+00:00,65.31,65.72,64.79,65.05,122733.0,2113.0,65.208717
