symbol,timestamp,open,high,low,close,volume,trade_count,vwap
BF.B,2025-07-01 04:00:00+00:00,26.96,28.07,26.765,27.85,402770.0,3408.0,27.69775
BF.B,2025-07-02 04:00:00+00:00,28.16,28.96,28.0,28.675,192122.0,2615.0,28.615463
BF.B,2025-07-03 04:00:00+00:00,28.615,28.635,28.28,28.31,123682.0,1468.0,28.457935
BF.B,2025-07-07 04:00:00+00:00,28.055,28.14,27.61,27.77,286685.0,2379.0,27.832692
BF.B,2025-07-08 04:00:00+00:00,27.775,28.59,27.74,28.45,228384.0,3689.0,28.230145
BF.B,2025-07-09 04:00:00+00:00,28.54,28.73,27.85,28.32,129499.0,1995.0,28.196791
BF.B,2025-07-10 04:00:00+00:00,28.36,29.61,28.295,29.1,158023.0,2852.0,29.238082
BF.B,2025-07-11 04:00:00+00:00,28.73,29.105,28.485,29.035,108509.0,1545.0,28.829838
BF.B,2025-07-14 04:00:00+00:00,28.665,28.84,28.13,28.23,194575.0,2857.0,28.372191
BF.B,2025-07-15 04:00:00+00:00,28.275,28.275,27.48,27.48,162222.0,2468.0,27.75002
BF.B,2025-07-16 04:00:00+00:00,27.63,27.91,27.21,27.71,177905.0,2535.0,27.623827
BF.B,2025-07-17 04:00:00+00:00,27.785,29.145,27.78,29.07,146273.0,1979.0,28.390578
BF.B,2025-07-18 04:00:00+00:00,29.24,29.33,28.71,28.93,123759.0,1818.0,28.937425
BF.B,2025-07-21 04:00:00+00:00,29.045,29.175,28.295,28.35,137245.0,2136.0,28.720549
BF.B,2025-07-22 04:00:00+00:00,28.57,30.205,28.57,30.15,205702.0,2789.0,29.793575
BF.B,2025-07-23 04:00:00+00:00,30.275,31.125,29.93,30.92,215440.0,3075.0,30.760137
BF.B,2025-07-24 04:00:00+00:00,30.84,31.3,30.6,31.175,117556.0,2064.0,31.058875
BF.B,2025-07-25 04:00:00+00:00,31.185,31.185,30.545,30.97,112397.0,2257.0,30.84202
BF.B,2025-07-28 04:00:00+00:00,30.495,30.65,30.235,30.31,113153.0,1779.0,30.402923
BF.B,2025-07-29 04:00:00+00:00,30.2,30.345,30.08,30.345,107430.0,1862.0,30.221941
BF.B,2025-07-30 04:00:00+00:00,30.26,30.26,29.18,29.37,87853.0,1594.0,29.711388
BF.B,2025-07-31 04:00:00+00:00,28.685,28.895,28.45,28.85,169770.0,2630.0,28.712431
