symbol,timestamp,open,high,low,close,volume,trade_count,vwap
BLDR,2025-07-01 04:00:00+00:00,116.09,128.785,115.91,126.93,304624.0,5368.0,126.58368
BLDR,2025-07-02 04:00:00+00:00,127.255,129.06,125.75,127.865,324206.0,5776.0,127.924221
BLDR,2025-07-03 04:00:00+00:00,127.41,127.97,125.69,127.03,144887.0,2890.0,126.627043
BLDR,2025-07-07 04:00:00+00:00,126.81,127.2,123.89,124.92,208908.0,4519.0,124.811668
BLDR,2025-07-08 04:00:00+00:00,125.855,128.77,124.6,127.365,213312.0,3912.0,126.398388
BLDR,2025-07-09 04:00:00+00:00,128.08,133.385,128.08,133.02,197428.0,3655.0,131.279173
BLDR,2025-07-10 04:00:00+00:00,132.39,137.13,132.245,135.15,206519.0,4056.0,135.749466
BLDR,2025-07-11 04:00:00+00:00,132.55,133.98,131.87,133.345,149970.0,2903.0,133.092647
BLDR,2025-07-14 04:00:00+00:00,132.645,132.645,127.91,131.08,111876.0,2165.0,130.339454
BLDR,2025-07-15 04:00:00+00:00,132.235,132.99,125.9,125.91,109507.0,2349.0,128.723166
BLDR,2025-07-16 04:00:00+00:00,126.625,127.25,122.905,126.03,94869.0,2369.0,125.250547
BLDR,2025-07-17 04:00:00+00:00,127.46,127.73,125.54,127.0,88549.0,1955.0,126.875941
BLDR,2025-07-18 04:00:00+00:00,125.53,125.53,121.58,123.24,129612.0,2802.0,123.186783
BLDR,2025-07-21 04:00:00+00:00,124.93,125.2,121.89,121.96,113411.0,2220.0,123.311006
BLDR,2025-07-22 04:00:00+00:00,124.5,131.25,124.375,130.81,136582.0,2896.0,129.089838
BLDR,2025-07-23 04:00:00+00:00,132.68,135.12,132.205,134.73,183438.0,4117.0,134.066474
BLDR,2025-07-24 04:00:00+00:00,134.05,134.74,131.85,132.89,149599.0,3032.0,133.098998
BLDR,2025-07-25 04:00:00+00:00,133.975,136.65,133.375,136.49,96440.0,2058.0,135.480695
BLDR,2025-07-28 04:00:00+00:00,135.58,138.28,135.05,135.63,144108.0,2459.0,136.601111
BLDR,2025-07-29 04:00:00+00:00,135.945,136.7,132.435,133.49,93351.0,2358.0,134.179158
BLDR,2025-07-30 04:00:00+00:00,132.98,133.57,125.195,126.27,194369.0,4093.0,129.347382
BLDR,2025-07-31 04:00:00+00:00,122.7,127.795,118.17,127.18,330303.0,6278.0,123.733416
