symbol,timestamp,open,high,low,close,volume,trade_count,vwap
CBRE,2025-07-01 04:00:00+00:00,139.655,142.135,139.655,141.65,49631.0,1607.0,141.445431
CBRE,2025-07-02 04:00:00+00:00,140.895,142.57,140.895,142.48,46112.0,1262.0,141.99295
CBRE,2025-07-03 04:00:00+00:00,141.88,143.82,141.88,143.21,28070.0,724.0,143.114927
CBRE,2025-07-07 04:00:00+00:00,142.505,143.16,141.37,142.6,48451.0,1438.0,142.295608
CBRE,2025-07-08 04:00:00+00:00,142.46,142.84,139.99,140.02,65310.0,1364.0,141.394524
CBRE,2025-07-09 04:00:00+00:00,140.15,140.415,139.32,139.82,39124.0,1069.0,139.890902
CBRE,2025-07-10 04:00:00+00:00,139.67,142.32,139.67,141.29,27633.0,727.0,141.497755
CBRE,2025-07-11 04:00:00+00:00,139.98,140.655,139.425,140.54,38356.0,1001.0,140.162895
CBRE,2025-07-14 04:00:00+00:00,140.51,141.62,140.51,141.05,34015.0,1173.0,141.114958
CBRE,2025-07-15 04:00:00+00:00,141.15,141.15,136.93,136.97,82799.0,1679.0,138.440757
CBRE,2025-07-16 04:00:00+00:00,137.95,138.84,135.595,138.29,51159.0,1307.0,137.827522
CBRE,2025-07-17 04:00:00+00:00,139.455,139.63,137.99,138.81,30977.0,907.0,138.910377
CBRE,2025-07-18 04:00:00+00:00,138.77,139.895,138.73,139.45,25163.0,748.0,139.374203
CBRE,2025-07-21 04:00:00+00:00,140.58,143.41,140.15,141.44,56517.0,1512.0,142.379027
CBRE,2025-07-22 04:00:00+00:00,142.11,143.465,140.765,143.05,50000.0,1457.0,142.271001
CBRE,2025-07-23 04:00:00+00:00,143.855,144.89,143.47,144.54,61380.0,1519.0,144.300333
CBRE,2025-07-24 04:00:00+00:00,143.805,146.005,143.475,144.625,41168.0,1573.0,144.874148
CBRE,2025-07-25 04:00:00+00:00,144.87,147.94,144.17,147.59,54900.0,1681.0,146.242395
CBRE,2025-07-28 04:00:00+00:00,147.265,148.4,146.38,146.64,111278.0,2282.0,147.13992
CBRE,2025-07-29 04:00:00+00:00,155.2,161.02,155.2,158.0,349900.0,4964.0,157.936058
CBRE,2025-07-30 04:00:00+00:00,157.185,159.72,156.21,157.39,166779.0,2955.0,157.493369
CBRE,2025-07-31 04:00:00+00:00,157.115,157.76,155.46,155.69,54093.0,1216.0,156.488393
