symbol,timestamp,open,high,low,close,volume,trade_count,vwap
CF,2025-07-01 04:00:00+00:00,91.87,93.06,91.66,92.47,91162.0,1988.0,92.378036
CF,2025-07-02 04:00:00+00:00,93.33,94.32,93.005,93.82,82525.0,2148.0,93.771168
CF,2025-07-03 04:00:00+00:00,94.09,94.93,93.99,94.54,43988.0,1180.0,94.534488
CF,2025-07-07 04:00:00+00:00,94.16,95.28,94.16,95.16,118631.0,2318.0,94.754671
CF,2025-07-08 04:00:00+00:00,96.8,98.39,95.99,97.13,149085.0,2463.0,97.138121
CF,2025-07-09 04:00:00+00:00,96.96,99.125,96.1,98.78,120263.0,2573.0,98.375478
CF,2025-07-10 04:00:00+00:00,97.46,97.7,95.53,95.745,108401.0,2294.0,96.428181
CF,2025-07-11 04:00:00+00:00,95.74,98.285,95.545,98.285,164604.0,2511.0,97.113725
CF,2025-07-14 04:00:00+00:00,98.45,99.185,97.34,97.4,63578.0,1643.0,98.041343
CF,2025-07-15 04:00:00+00:00,97.45,97.66,95.4,95.9,51543.0,1170.0,95.989083
CF,2025-07-16 04:00:00+00:00,95.98,96.28,92.525,92.64,126416.0,2459.0,93.752364
CF,2025-07-17 04:00:00+00:00,91.84,92.315,91.49,91.83,107702.0,1972.0,91.783375
CF,2025-07-18 04:00:00+00:00,92.5,93.88,91.89,92.65,80176.0,1514.0,92.623696
CF,2025-07-21 04:00:00+00:00,92.34,92.34,90.49,90.99,98107.0,2177.0,91.037063
CF,2025-07-22 04:00:00+00:00,90.91,92.255,90.91,91.7,63923.0,1525.0,91.828749
CF,2025-07-23 04:00:00+00:00,92.645,94.12,92.425,93.66,79287.0,1830.0,93.36566
CF,2025-07-24 04:00:00+00:00,93.93,94.03,93.335,93.53,49635.0,1304.0,93.703288
CF,2025-07-25 04:00:00+00:00,93.15,93.565,92.64,93.34,64035.0,1465.0,93.182253
CF,2025-07-28 04:00:00+00:00,93.45,93.595,91.86,92.54,59825.0,1397.0,92.486166
CF,2025-07-29 04:00:00+00:00,93.125,95.055,92.85,94.93,99484.0,2206.0,94.110214
CF,2025-07-30 04:00:00+00:00,94.37,94.37,92.015,92.655,120670.0,2809.0,92.959362
CF,2025-07-31 04:00:00+00:00,92.015,92.92,91.76,92.83,63857.0,1382.0,92.581425
