symbol,timestamp,open,high,low,close,volume,trade_count,vwap
CNC,2025-07-01 04:00:00+00:00,54.32,57.43,54.32,56.65,514748.0,5424.0,56.630683
CNC,2025-07-02 04:00:00+00:00,37.595,37.63,33.76,33.81,3988518.0,23714.0,34.658685
CNC,2025-07-03 04:00:00+00:00,33.955,34.835,33.3,33.31,1151503.0,8270.0,33.970946
CNC,2025-07-07 04:00:00+00:00,33.335,33.8,32.995,33.05,918310.0,9386.0,33.232896
CNC,2025-07-08 04:00:00+00:00,32.83,33.24,32.535,32.57,609384.0,7032.0,32.870878
CNC,2025-07-09 04:00:00+00:00,32.325,33.135,31.79,33.07,921985.0,7737.0,32.459169
CNC,2025-07-10 04:00:00+00:00,32.31,33.405,32.23,32.485,276887.0,3880.0,32.851224
CNC,2025-07-11 04:00:00+00:00,32.25,32.48,31.4,31.4,330510.0,3538.0,31.701912
CNC,2025-07-14 04:00:00+00:00,31.365,31.51,30.59,30.63,313528.0,4057.0,30.945558
CNC,2025-07-15 04:00:00+00:00,30.44,30.9,29.975,29.99,484725.0,5764.0,30.282383
CNC,2025-07-16 04:00:00+00:00,29.77,30.49,29.53,30.41,366035.0,4529.0,30.082835
CNC,2025-07-17 04:00:00+00:00,30.115,30.16,28.945,29.12,525757.0,5516.0,29.393477
CNC,2025-07-18 04:00:00+00:00,28.965,29.0,27.88,27.955,654542.0,6359.0,28.326141
CNC,2025-07-21 04:00:00+00:00,27.945,27.97,27.34,27.4,1218785.0,9831.0,27.570387
CNC,2025-07-22 04:00:00+00:00,27.64,28.29,27.58,27.88,1032968.0,11664.0,27.967501
CNC,2025-07-23 04:00:00+00:00,28.09,29.505,27.96,29.43,1017503.0,9019.0,29.11072
CNC,2025-07-24 04:00:00+00:00,28.55,28.94,26.67,26.785,1361460.0,13171.0,27.458349
CNC,2025-07-25 04:00:00+00:00,27.125,28.76,26.26,28.4,3244095.0,22794.0,28.077422
CNC,2025-07-28 04:00:00+00:00,28.16,28.34,26.835,26.86,830198.0,7750.0,27.360751
CNC,2025-07-29 04:00:00+00:00,26.26,26.46,25.515,25.535,1032898.0,7936.0,25.971754
CNC,2025-07-30 04:00:00+00:00,25.865,26.33,25.6,25.8,928351.0,8704.0,25.942109
CNC,2025-07-31 04:00:00+00:00,25.46,26.88,25.13,26.08,1128997.0,10161.0,26.084184
