symbol,timestamp,open,high,low,close,volume,trade_count,vwap
COO,2025-07-01 04:00:00+00:00,71.065,73.8,71.065,72.81,175139.0,3198.0,72.777796
COO,2025-07-02 04:00:00+00:00,72.985,73.385,72.39,73.0,209390.0,3692.0,72.922378
COO,2025-07-03 04:00:00+00:00,73.585,73.915,72.78,73.32,96165.0,1547.0,73.212698
COO,2025-07-07 04:00:00+00:00,73.125,74.03,72.84,73.3,201686.0,4716.0,73.331886
COO,2025-07-08 04:00:00+00:00,73.515,74.37,72.905,74.285,120134.0,2106.0,73.862504
COO,2025-07-09 04:00:00+00:00,74.29,75.24,73.855,74.95,225294.0,3226.0,74.798116
COO,2025-07-10 04:00:00+00:00,74.545,77.035,74.545,76.7,78023.0,1491.0,76.435487
COO,2025-07-11 04:00:00+00:00,75.84,75.84,74.655,74.8,83382.0,1788.0,75.017795
COO,2025-07-14 04:00:00+00:00,74.735,75.15,73.38,73.57,105835.0,1733.0,74.136945
COO,2025-07-15 04:00:00+00:00,73.71,73.825,72.1,72.2,195104.0,2269.0,72.647796
COO,2025-07-16 04:00:00+00:00,73.23,73.485,72.15,72.69,374463.0,4051.0,72.804517
COO,2025-07-17 04:00:00+00:00,72.29,73.34,72.195,73.22,128927.0,1688.0,72.902984
COO,2025-07-18 04:00:00+00:00,73.98,73.98,72.31,72.605,116731.0,1510.0,72.71108
COO,2025-07-21 04:00:00+00:00,72.72,72.87,71.31,71.34,113464.0,2224.0,72.075771
COO,2025-07-22 04:00:00+00:00,72.41,73.7,72.41,73.05,146259.0,2711.0,72.998593
COO,2025-07-23 04:00:00+00:00,73.38,73.42,72.41,73.34,177032.0,3586.0,73.128381
COO,2025-07-24 04:00:00+00:00,73.07,73.88,72.76,73.815,53976.0,1563.0,73.399402
COO,2025-07-25 04:00:00+00:00,74.0,74.72,73.52,74.6,46441.0,910.0,74.138629
COO,2025-07-28 04:00:00+00:00,74.185,74.285,72.86,72.89,33666.0,817.0,73.485933
COO,2025-07-29 04:00:00+00:00,73.235,73.71,72.83,73.68,40985.0,983.0,73.389256
COO,2025-07-30 04:00:00+00:00,73.45,73.7,71.89,72.28,103934.0,1782.0,72.573357
COO,2025-07-31 04:00:00+00:00,71.345,71.88,70.48,70.705,57360.0,1259.0,71.06905
