symbol,timestamp,open,high,low,close,volume,trade_count,vwap
CSGP,2025-07-01 04:00:00+00:00,80.165,82.44,80.165,81.91,141589.0,2776.0,81.883293
CSGP,2025-07-02 04:00:00+00:00,81.505,81.63,80.66,81.395,93733.0,1968.0,81.222564
CSGP,2025-07-03 04:00:00+00:00,81.89,82.665,81.61,82.17,42447.0,828.0,82.176419
CSGP,2025-07-07 04:00:00+00:00,81.675,81.845,80.655,81.62,98510.0,2382.0,81.46551
CSGP,2025-07-08 04:00:00+00:00,81.83,83.26,81.83,82.84,125411.0,2441.0,82.804885
CSGP,2025-07-09 04:00:00+00:00,82.69,84.54,82.69,84.505,77872.0,2413.0,84.019319
CSGP,2025-07-10 04:00:00+00:00,84.11,86.13,84.025,86.04,79425.0,1655.0,85.466469
CSGP,2025-07-11 04:00:00+00:00,85.105,85.79,84.865,85.44,80230.0,2342.0,85.368312
CSGP,2025-07-14 04:00:00+00:00,84.955,86.15,84.885,85.64,87711.0,1775.0,85.73352
CSGP,2025-07-15 04:00:00+00:00,85.995,86.25,84.06,84.07,83008.0,1906.0,84.784875
CSGP,2025-07-16 04:00:00+00:00,84.525,85.16,83.4,85.13,79310.0,2131.0,84.52315
CSGP,2025-07-17 04:00:00+00:00,85.56,85.73,84.8,84.95,71891.0,1747.0,85.197558
CSGP,2025-07-18 04:00:00+00:00,85.06,85.25,84.46,84.69,54028.0,1414.0,84.763992
CSGP,2025-07-21 04:00:00+00:00,85.325,85.44,84.825,85.0,108765.0,2646.0,85.182399
CSGP,2025-07-22 04:00:00+00:00,85.335,86.44,84.39,85.1,216629.0,3634.0,85.13847
CSGP,2025-07-23 04:00:00+00:00,88.285,91.11,88.285,90.98,233312.0,4349.0,90.287348
CSGP,2025-07-24 04:00:00+00:00,90.685,93.725,90.685,92.98,172079.0,3015.0,92.85658
CSGP,2025-07-25 04:00:00+00:00,93.315,93.635,92.415,93.01,120983.0,2312.0,93.066329
CSGP,2025-07-28 04:00:00+00:00,92.89,93.645,92.64,93.36,100395.0,2099.0,93.300275
CSGP,2025-07-29 04:00:00+00:00,93.855,95.645,93.855,95.58,148067.0,2321.0,94.763817
CSGP,2025-07-30 04:00:00+00:00,95.57,97.13,95.175,96.25,123832.0,2510.0,96.119669
CSGP,2025-07-31 04:00:00+00:00,95.92,96.73,94.79,95.215,196291.0,3100.0,95.724554
