symbol,timestamp,open,high,low,close,volume,trade_count,vwap
CTRA,2025-07-01 04:00:00+00:00,25.305,25.305,24.805,25.085,564050.0,6277.0,25.116822
CTRA,2025-07-02 04:00:00+00:00,25.05,25.185,24.63,25.03,410014.0,4977.0,24.918088
CTRA,2025-07-03 04:00:00+00:00,25.245,25.355,25.015,25.19,162692.0,2340.0,25.163618
CTRA,2025-07-07 04:00:00+00:00,24.97,25.25,24.545,24.82,274920.0,2973.0,24.808436
CTRA,2025-07-08 04:00:00+00:00,24.875,25.6,24.775,25.18,376898.0,4095.0,25.25843
CTRA,2025-07-09 04:00:00+00:00,25.14,25.425,25.04,25.15,294471.0,4516.0,25.248316
CTRA,2025-07-10 04:00:00+00:00,25.025,25.115,24.73,25.08,297976.0,2892.0,25.006203
CTRA,2025-07-11 04:00:00+00:00,25.05,25.425,24.88,25.28,233806.0,2728.0,25.23519
CTRA,2025-07-14 04:00:00+00:00,25.15,25.745,25.15,25.46,379495.0,4184.0,25.45744
CTRA,2025-07-15 04:00:00+00:00,25.395,25.515,24.61,24.625,235292.0,2693.0,24.84663
CTRA,2025-07-16 04:00:00+00:00,24.695,24.775,24.17,24.19,381469.0,4320.0,24.323461
CTRA,2025-07-17 04:00:00+00:00,24.165,24.475,24.09,24.45,229054.0,2459.0,24.360334
CTRA,2025-07-18 04:00:00+00:00,24.7,24.71,24.285,24.38,398523.0,4020.0,24.430109
CTRA,2025-07-21 04:00:00+00:00,24.2,24.2,23.07,23.1,556864.0,5282.0,23.463437
CTRA,2025-07-22 04:00:00+00:00,23.0,23.645,22.96,23.55,453093.0,4130.0,23.462517
CTRA,2025-07-23 04:00:00+00:00,23.54,23.55,23.12,23.42,284753.0,3119.0,23.351284
CTRA,2025-07-24 04:00:00+00:00,23.58,23.84,23.51,23.76,358371.0,4728.0,23.709105
CTRA,2025-07-25 04:00:00+00:00,23.765,23.82,23.55,23.62,188723.0,2447.0,23.668607
CTRA,2025-07-28 04:00:00+00:00,23.775,23.905,23.665,23.8,263937.0,2860.0,23.749574
CTRA,2025-07-29 04:00:00+00:00,23.85,24.31,23.83,24.21,406010.0,3536.0,24.104817
CTRA,2025-07-30 04:00:00+00:00,24.02,24.565,23.9,24.3,549187.0,5444.0,24.261607
CTRA,2025-07-31 04:00:00+00:00,24.15,24.51,24.08,24.4,438343.0,4287.0,24.288492
