symbol,timestamp,open,high,low,close,volume,trade_count,vwap
DG,2025-07-01 04:00:00+00:00,114.555,116.18,114.14,115.33,90980.0,2043.0,115.338196
DG,2025-07-02 04:00:00+00:00,115.66,116.17,114.01,115.46,103211.0,2416.0,115.02826
DG,2025-07-03 04:00:00+00:00,115.515,115.525,112.72,114.0,105157.0,1530.0,113.579896
DG,2025-07-07 04:00:00+00:00,114.44,116.28,113.59,116.27,156905.0,2762.0,115.41097
DG,2025-07-08 04:00:00+00:00,114.665,115.03,111.96,112.695,127269.0,2406.0,113.085929
DG,2025-07-09 04:00:00+00:00,112.6,112.6,111.26,112.27,90330.0,1778.0,112.08698
DG,2025-07-10 04:00:00+00:00,111.8,113.535,111.8,112.21,74594.0,1699.0,112.675471
DG,2025-07-11 04:00:00+00:00,112.125,113.34,112.125,113.01,59589.0,1530.0,112.915697
DG,2025-07-14 04:00:00+00:00,113.335,114.665,112.63,114.4,84041.0,1669.0,113.826885
DG,2025-07-15 04:00:00+00:00,113.935,114.005,113.0,113.235,69606.0,1503.0,113.411976
DG,2025-07-16 04:00:00+00:00,113.33,113.605,111.22,112.57,81753.0,2036.0,112.088089
DG,2025-07-17 04:00:00+00:00,111.24,112.0,108.7,109.2,188107.0,2935.0,109.868356
DG,2025-07-18 04:00:00+00:00,109.475,110.54,108.95,110.095,79886.0,1645.0,109.595158
DG,2025-07-21 04:00:00+00:00,109.995,109.995,107.36,107.56,105762.0,2442.0,108.310981
DG,2025-07-22 04:00:00+00:00,108.42,109.93,108.41,109.84,66450.0,1831.0,109.650153
DG,2025-07-23 04:00:00+00:00,109.495,109.74,107.66,109.2,91270.0,1779.0,108.469818
DG,2025-07-24 04:00:00+00:00,109.32,109.52,107.76,107.76,80451.0,2000.0,108.356011
DG,2025-07-25 04:00:00+00:00,107.775,108.64,107.305,107.57,52347.0,1734.0,107.700613
DG,2025-07-28 04:00:00+00:00,107.02,107.02,104.7,105.825,115393.0,2555.0,105.566684
DG,2025-07-29 04:00:00+00:00,105.85,107.235,105.52,106.85,97932.0,2074.0,106.445861
DG,2025-07-30 04:00:00+00:00,106.81,107.185,105.47,105.54,195444.0,2221.0,106.268559
DG,2025-07-31 04:00:00+00:00,105.325,106.31,104.745,104.91,140631.0,2275.0,105.522313
