symbol,timestamp,open,high,low,close,volume,trade_count,vwap
DOC,2025-07-01 04:00:00+00:00,17.465,18.13,17.465,17.88,417965.0,3253.0,17.926543
DOC,2025-07-02 04:00:00+00:00,17.77,18.36,17.77,18.295,335797.0,2728.0,18.152768
DOC,2025-07-03 04:00:00+00:00,18.3,18.47,18.195,18.21,245222.0,1753.0,18.318614
DOC,2025-07-07 04:00:00+00:00,18.32,18.32,17.825,17.96,297047.0,2597.0,17.996428
DOC,2025-07-08 04:00:00+00:00,17.935,18.275,17.86,18.21,266527.0,1901.0,18.148124
DOC,2025-07-09 04:00:00+00:00,18.255,18.325,18.19,18.26,203279.0,2329.0,18.259919
DOC,2025-07-10 04:00:00+00:00,18.25,18.695,18.22,18.53,324220.0,1429.0,18.553295
DOC,2025-07-11 04:00:00+00:00,18.395,18.515,18.285,18.44,262650.0,2019.0,18.415301
DOC,2025-07-14 04:00:00+00:00,18.43,18.57,18.38,18.53,250364.0,1798.0,18.480557
DOC,2025-07-15 04:00:00+00:00,18.6,18.6,18.155,18.23,279348.0,2107.0,18.290931
DOC,2025-07-16 04:00:00+00:00,18.325,18.475,18.1,18.26,422726.0,2350.0,18.296226
DOC,2025-07-17 04:00:00+00:00,18.29,18.445,18.225,18.37,269447.0,2236.0,18.352406
DOC,2025-07-18 04:00:00+00:00,18.32,18.41,18.22,18.32,212401.0,1434.0,18.322878
DOC,2025-07-21 04:00:00+00:00,18.45,18.54,18.325,18.39,184100.0,1634.0,18.419156
DOC,2025-07-22 04:00:00+00:00,18.45,19.0,18.45,18.99,180964.0,1562.0,18.84319
DOC,2025-07-23 04:00:00+00:00,18.98,19.125,18.96,19.07,253286.0,1739.0,19.033764
DOC,2025-07-24 04:00:00+00:00,19.0,19.125,18.91,18.91,296456.0,2425.0,18.991732
DOC,2025-07-25 04:00:00+00:00,18.29,18.31,17.495,17.62,589905.0,3847.0,17.653503
DOC,2025-07-28 04:00:00+00:00,17.63,17.64,17.215,17.3,645791.0,3527.0,17.343674
DOC,2025-07-29 04:00:00+00:00,17.115,17.41,16.98,17.41,703616.0,4155.0,17.263851
DOC,2025-07-30 04:00:00+00:00,17.395,17.755,17.135,17.23,516776.0,3086.0,17.515989
DOC,2025-07-31 04:00:00+00:00,17.13,17.15,16.895,16.95,514905.0,2919.0,17.005495
