symbol,timestamp,open,high,low,close,volume,trade_count,vwap
DOW,2025-07-01 04:00:00+00:00,26.44,28.44,26.39,27.81,773085.0,6543.0,27.697321
DOW,2025-07-02 04:00:00+00:00,28.17,28.72,27.6,28.7,675846.0,6017.0,28.276385
DOW,2025-07-03 04:00:00+00:00,28.645,28.77,28.37,28.43,181645.0,2465.0,28.496693
DOW,2025-07-07 04:00:00+00:00,27.99,28.47,27.095,27.51,461085.0,4915.0,27.573753
DOW,2025-07-08 04:00:00+00:00,27.7,29.6,27.7,29.06,527298.0,5607.0,28.871871
DOW,2025-07-09 04:00:00+00:00,29.365,30.31,29.27,29.83,543834.0,5052.0,29.770369
DOW,2025-07-10 04:00:00+00:00,29.725,30.92,29.585,30.205,516135.0,6017.0,30.337958
DOW,2025-07-11 04:00:00+00:00,29.62,29.8,29.125,29.54,510145.0,5064.0,29.45162
DOW,2025-07-14 04:00:00+00:00,29.25,29.36,28.075,28.24,833457.0,7152.0,28.467955
DOW,2025-07-15 04:00:00+00:00,28.56,28.825,27.95,27.99,397602.0,3755.0,28.219976
DOW,2025-07-16 04:00:00+00:00,28.02,28.285,27.62,28.15,360057.0,3802.0,28.012972
DOW,2025-07-17 04:00:00+00:00,28.04,28.495,27.98,28.47,360489.0,3951.0,28.351168
DOW,2025-07-18 04:00:00+00:00,28.645,28.74,28.105,28.34,297283.0,3955.0,28.346629
DOW,2025-07-21 04:00:00+00:00,28.63,28.915,28.33,28.4,301819.0,3203.0,28.654525
DOW,2025-07-22 04:00:00+00:00,28.53,29.735,28.53,29.655,362076.0,3739.0,29.405004
DOW,2025-07-23 04:00:00+00:00,30.23,30.875,30.02,30.4,1321549.0,17074.0,30.529913
DOW,2025-07-24 04:00:00+00:00,26.93,27.575,24.375,25.07,3206059.0,22349.0,25.668941
DOW,2025-07-25 04:00:00+00:00,24.67,25.645,24.425,25.5,1541689.0,11733.0,25.060403
DOW,2025-07-28 04:00:00+00:00,25.39,26.125,24.92,25.705,569654.0,5886.0,25.562333
DOW,2025-07-29 04:00:00+00:00,25.585,25.585,24.985,25.19,488631.0,4857.0,25.209718
DOW,2025-07-30 04:00:00+00:00,25.03,25.03,23.785,23.94,453491.0,5014.0,24.252576
DOW,2025-07-31 04:00:00+00:00,23.63,23.64,22.94,23.28,536209.0,5246.0,23.295313
