symbol,timestamp,open,high,low,close,volume,trade_count,vwap
ED,2025-07-01 04:00:00+00:00,101.145,101.575,99.635,100.78,134819.0,2132.0,100.800414
ED,2025-07-02 04:00:00+00:00,100.535,101.17,99.09,99.95,140670.0,2221.0,99.95556
ED,2025-07-03 04:00:00+00:00,100.25,100.68,99.755,100.19,55424.0,1095.0,100.234305
ED,2025-07-07 04:00:00+00:00,100.195,100.35,99.27,99.7,63413.0,1462.0,99.598475
ED,2025-07-08 04:00:00+00:00,98.6,99.97,98.06,99.37,85120.0,1684.0,99.455692
ED,2025-07-09 04:00:00+00:00,99.295,100.33,99.03,100.03,83267.0,2375.0,99.924745
ED,2025-07-10 04:00:00+00:00,99.49,101.36,99.295,101.08,99175.0,1751.0,100.712838
ED,2025-07-11 04:00:00+00:00,100.45,101.285,100.05,100.59,53162.0,1387.0,100.713589
ED,2025-07-14 04:00:00+00:00,100.58,101.71,100.52,101.04,49227.0,1397.0,100.984653
ED,2025-07-15 04:00:00+00:00,100.37,100.59,99.7,99.96,49638.0,1357.0,100.15772
ED,2025-07-16 04:00:00+00:00,99.915,100.6,99.64,100.44,44635.0,1267.0,100.231726
ED,2025-07-17 04:00:00+00:00,100.59,100.97,100.01,100.61,98202.0,2006.0,100.646932
ED,2025-07-18 04:00:00+00:00,101.0,101.72,100.51,101.095,73317.0,1958.0,101.033371
ED,2025-07-21 04:00:00+00:00,101.35,102.76,101.32,102.09,59158.0,1438.0,102.227921
ED,2025-07-22 04:00:00+00:00,102.685,104.17,102.685,103.57,69214.0,2224.0,103.472721
ED,2025-07-23 04:00:00+00:00,103.16,103.28,101.98,102.57,147012.0,2644.0,102.572099
ED,2025-07-24 04:00:00+00:00,102.27,102.665,101.87,102.085,73305.0,1793.0,102.211159
ED,2025-07-25 04:00:00+00:00,101.895,102.51,101.55,102.25,58610.0,1244.0,101.930184
ED,2025-07-28 04:00:00+00:00,101.835,101.85,100.685,100.99,65478.0,1618.0,101.01441
ED,2025-07-29 04:00:00+00:00,101.0,102.255,100.95,102.25,45007.0,1173.0,101.830796
ED,2025-07-30 04:00:00+00:00,102.21,103.605,102.21,102.61,56174.0,1247.0,102.84821
ED,2025-07-31 04:00:00+00:00,102.485,103.54,102.4,103.5,79625.0,2103.0,103.151039
