symbol,timestamp,open,high,low,close,volume,trade_count,vwap
F,2025-07-01 04:00:00+00:00,10.81,11.38,10.8,11.345,4076607.0,6178.0,11.212541
F,2025-07-02 04:00:00+00:00,11.39,11.78,11.375,11.765,2894341.0,4918.0,11.639571
F,2025-07-03 04:00:00+00:00,11.75,11.96,11.75,11.8,1316783.0,2966.0,11.846911
F,2025-07-07 04:00:00+00:00,11.62,11.785,11.485,11.59,1530773.0,3543.0,11.603148
F,2025-07-08 04:00:00+00:00,11.64,11.85,11.64,11.69,1713939.0,4467.0,11.722321
F,2025-07-09 04:00:00+00:00,11.78,11.9,11.765,11.83,1870747.0,4427.0,11.835074
F,2025-07-10 04:00:00+00:00,11.86,11.97,11.78,11.9,1929128.0,4287.0,11.89638
F,2025-07-11 04:00:00+00:00,11.83,11.86,11.72,11.77,1859676.0,3974.0,11.781584
F,2025-07-14 04:00:00+00:00,11.77,11.895,11.675,11.89,1543620.0,4032.0,11.789154
F,2025-07-15 04:00:00+00:00,11.89,11.915,11.525,11.57,1721558.0,4453.0,11.642091
F,2025-07-16 04:00:00+00:00,11.36,11.445,11.155,11.24,2760007.0,5425.0,11.267457
F,2025-07-17 04:00:00+00:00,11.16,11.335,11.115,11.165,1923610.0,4826.0,11.17226
F,2025-07-18 04:00:00+00:00,11.18,11.23,11.055,11.15,1592320.0,4209.0,11.138269
F,2025-07-21 04:00:00+00:00,11.27,11.45,11.215,11.33,1438645.0,3735.0,11.363536
F,2025-07-22 04:00:00+00:00,11.24,11.285,11.08,11.18,2558677.0,4422.0,11.182004
F,2025-07-23 04:00:00+00:00,11.295,11.46,11.29,11.38,1841619.0,6156.0,11.399986
F,2025-07-24 04:00:00+00:00,11.31,11.42,11.23,11.265,1795749.0,4242.0,11.318325
F,2025-07-25 04:00:00+00:00,11.335,11.485,11.25,11.47,1541074.0,3183.0,11.366833
F,2025-07-28 04:00:00+00:00,11.47,11.47,11.255,11.27,1403917.0,3221.0,11.330652
F,2025-07-29 04:00:00+00:00,11.29,11.29,11.06,11.07,1771742.0,4219.0,11.118683
F,2025-07-30 04:00:00+00:00,11.105,11.115,10.82,10.9,2884618.0,6482.0,10.949036
F,2025-07-31 04:00:00+00:00,10.77,11.145,10.685,11.08,2821920.0,9244.0,11.011616
