symbol,timestamp,open,high,low,close,volume,trade_count,vwap
FCX,2025-07-01 04:00:00+00:00,43.915,44.36,43.61,44.04,420191.0,5404.0,44.048864
FCX,2025-07-02 04:00:00+00:00,44.76,46.69,44.505,45.78,903731.0,9159.0,45.846662
FCX,2025-07-03 04:00:00+00:00,45.69,46.205,45.585,45.82,543657.0,4864.0,45.806623
FCX,2025-07-07 04:00:00+00:00,45.16,45.555,44.45,45.125,734035.0,7384.0,44.917486
FCX,2025-07-08 04:00:00+00:00,45.655,49.11,44.85,46.295,1756698.0,14127.0,47.216247
FCX,2025-07-09 04:00:00+00:00,46.65,47.03,45.03,45.56,979592.0,8710.0,45.737367
FCX,2025-07-10 04:00:00+00:00,46.775,47.515,46.13,47.19,982045.0,10130.0,46.958554
FCX,2025-07-11 04:00:00+00:00,45.83,46.4,45.68,46.345,455298.0,5105.0,46.128527
FCX,2025-07-14 04:00:00+00:00,45.84,45.865,45.19,45.63,457844.0,4909.0,45.519553
FCX,2025-07-15 04:00:00+00:00,45.365,45.41,43.235,44.13,842915.0,9015.0,43.856192
FCX,2025-07-16 04:00:00+00:00,44.005,44.17,43.43,43.96,587245.0,6465.0,43.815701
FCX,2025-07-17 04:00:00+00:00,43.745,44.57,43.705,44.48,543717.0,6817.0,44.187563
FCX,2025-07-18 04:00:00+00:00,44.85,44.93,44.2,44.79,579712.0,5345.0,44.70314
FCX,2025-07-21 04:00:00+00:00,45.57,46.055,45.19,45.21,500963.0,6215.0,45.646345
FCX,2025-07-22 04:00:00+00:00,45.68,46.245,45.16,45.74,662451.0,7804.0,45.889703
FCX,2025-07-23 04:00:00+00:00,44.66,46.07,44.58,44.84,927517.0,9019.0,45.272973
FCX,2025-07-24 04:00:00+00:00,44.955,45.3,44.155,44.6,571144.0,6362.0,44.699657
FCX,2025-07-25 04:00:00+00:00,44.57,44.96,44.21,44.89,620120.0,7187.0,44.644289
FCX,2025-07-28 04:00:00+00:00,44.62,44.825,42.25,43.77,1402186.0,11136.0,43.581302
FCX,2025-07-29 04:00:00+00:00,43.92,43.94,42.68,43.22,747325.0,7881.0,43.150828
FCX,2025-07-30 04:00:00+00:00,42.94,43.665,38.335,39.13,2844177.0,20897.0,39.85931
FCX,2025-07-31 04:00:00+00:00,38.875,40.53,38.79,40.31,1398069.0,10579.0,39.985748
