symbol,timestamp,open,high,low,close,volume,trade_count,vwap
FFIV,2025-07-01 04:00:00+00:00,295.87,298.14,293.76,295.89,25975.0,1181.0,296.087035
FFIV,2025-07-02 04:00:00+00:00,293.4,296.7,293.305,295.94,9997.0,502.0,295.539423
FFIV,2025-07-03 04:00:00+00:00,298.31,301.64,298.31,299.9,8212.0,397.0,299.811072
FFIV,2025-07-07 04:00:00+00:00,298.8,301.575,298.02,299.26,17810.0,711.0,299.152489
FFIV,2025-07-08 04:00:00+00:00,302.35,304.34,300.09,302.5,17425.0,765.0,302.252665
FFIV,2025-07-09 04:00:00+00:00,300.43,302.49,298.11,302.26,12462.0,570.0,300.641042
FFIV,2025-07-10 04:00:00+00:00,301.915,303.31,298.835,300.11,16702.0,743.0,300.962139
FFIV,2025-07-11 04:00:00+00:00,298.545,298.545,291.7,292.05,17029.0,947.0,293.008824
FFIV,2025-07-14 04:00:00+00:00,292.37,295.38,291.79,294.3,20416.0,930.0,293.724227
FFIV,2025-07-15 04:00:00+00:00,294.38,294.795,290.81,290.81,17280.0,766.0,292.407152
FFIV,2025-07-16 04:00:00+00:00,290.95,293.535,289.42,293.215,11317.0,566.0,292.0392
FFIV,2025-07-17 04:00:00+00:00,294.89,300.89,294.89,300.335,19677.0,708.0,299.932313
FFIV,2025-07-18 04:00:00+00:00,301.92,306.53,300.46,302.13,21825.0,751.0,302.398376
FFIV,2025-07-21 04:00:00+00:00,300.87,301.33,299.29,300.03,13115.0,633.0,300.685527
FFIV,2025-07-22 04:00:00+00:00,300.425,300.425,297.035,298.13,8992.0,467.0,298.142978
FFIV,2025-07-23 04:00:00+00:00,298.605,300.54,298.205,300.305,8208.0,391.0,299.275588
FFIV,2025-07-24 04:00:00+00:00,299.33,305.0,299.33,302.02,12454.0,565.0,303.142888
FFIV,2025-07-25 04:00:00+00:00,301.625,302.49,299.09,299.48,6289.0,361.0,300.462678
FFIV,2025-07-28 04:00:00+00:00,300.11,301.99,300.11,301.44,17469.0,735.0,301.338202
FFIV,2025-07-29 04:00:00+00:00,303.02,305.185,298.55,299.17,19544.0,1055.0,299.919166
FFIV,2025-07-30 04:00:00+00:00,295.76,300.88,295.76,299.2,18337.0,865.0,298.697396
FFIV,2025-07-31 04:00:00+00:00,321.79,332.62,312.94,313.33,63972.0,1845.0,321.404287
