symbol,timestamp,open,high,low,close,volume,trade_count,vwap
GOOG,2025-07-01 04:00:00+00:00,176.83,177.18,174.66,176.89,783751.0,10161.0,176.066281
GOOG,2025-07-02 04:00:00+00:00,176.38,179.93,176.11,179.74,532655.0,7978.0,178.423362
GOOG,2025-07-03 04:00:00+00:00,180.06,180.725,178.29,180.58,297152.0,4563.0,179.770206
GOOG,2025-07-07 04:00:00+00:00,180.105,180.27,176.675,177.59,545078.0,7025.0,177.92867
GOOG,2025-07-08 04:00:00+00:00,178.77,178.77,173.975,175.16,1020679.0,10851.0,175.872266
GOOG,2025-07-09 04:00:00+00:00,175.94,180.22,173.965,177.66,649204.0,7752.0,177.389313
GOOG,2025-07-10 04:00:00+00:00,176.715,179.58,175.775,178.7,640329.0,8922.0,177.674371
GOOG,2025-07-11 04:00:00+00:00,177.83,182.59,177.59,181.25,463946.0,6498.0,180.634795
GOOG,2025-07-14 04:00:00+00:00,182.07,184.66,180.75,182.77,481962.0,6239.0,182.12183
GOOG,2025-07-15 04:00:00+00:00,183.9,185.41,182.42,183.05,753730.0,7806.0,184.185062
GOOG,2025-07-16 04:00:00+00:00,184.56,185.28,183.1,183.77,487894.0,6949.0,184.434622
GOOG,2025-07-17 04:00:00+00:00,183.115,185.18,181.57,184.7,627682.0,8316.0,183.934878
GOOG,2025-07-18 04:00:00+00:00,186.62,187.19,184.73,185.94,603006.0,8695.0,185.977831
GOOG,2025-07-21 04:00:00+00:00,187.075,191.26,187.065,191.18,525175.0,7297.0,190.239631
GOOG,2025-07-22 04:00:00+00:00,192.475,192.525,188.515,192.16,561395.0,7808.0,191.057707
GOOG,2025-07-23 04:00:00+00:00,192.365,193.25,190.205,191.57,503152.0,7678.0,191.175292
GOOG,2025-07-24 04:00:00+00:00,197.94,198.95,191.98,193.24,714501.0,10243.0,194.417712
GOOG,2025-07-25 04:00:00+00:00,193.0,195.275,192.145,194.06,657922.0,8170.0,194.171565
GOOG,2025-07-28 04:00:00+00:00,194.455,194.77,191.895,193.43,700763.0,8808.0,192.881812
GOOG,2025-07-29 04:00:00+00:00,193.32,196.65,193.07,196.45,763624.0,9547.0,195.35581
GOOG,2025-07-30 04:00:00+00:00,196.385,198.47,195.595,197.46,459671.0,5848.0,197.248
GOOG,2025-07-31 04:00:00+00:00,196.65,196.745,192.115,192.95,676520.0,7802.0,193.564797
