symbol,timestamp,open,high,low,close,volume,trade_count,vwap
HLT,2025-07-01 04:00:00+00:00,264.905,270.44,264.905,268.96,160067.0,3659.0,268.742861
HLT,2025-07-02 04:00:00+00:00,269.38,270.73,268.17,270.14,83372.0,2665.0,269.716854
HLT,2025-07-03 04:00:00+00:00,271.61,274.18,271.61,273.23,52332.0,1575.0,273.362766
HLT,2025-07-07 04:00:00+00:00,273.195,273.55,268.17,270.79,107071.0,3110.0,270.413872
HLT,2025-07-08 04:00:00+00:00,271.98,274.74,271.09,273.03,86090.0,2646.0,272.903332
HLT,2025-07-09 04:00:00+00:00,274.355,274.355,270.03,272.39,77493.0,2239.0,271.897902
HLT,2025-07-10 04:00:00+00:00,273.43,277.765,273.41,277.48,70850.0,1986.0,276.69433
HLT,2025-07-11 04:00:00+00:00,276.18,277.815,275.395,277.39,60464.0,1811.0,276.823737
HLT,2025-07-14 04:00:00+00:00,276.295,279.23,274.37,278.76,119632.0,2804.0,277.47481
HLT,2025-07-15 04:00:00+00:00,278.74,278.74,273.69,274.3,75957.0,2164.0,275.38782
HLT,2025-07-16 04:00:00+00:00,275.655,275.78,271.68,273.455,94686.0,3604.0,273.508333
HLT,2025-07-17 04:00:00+00:00,273.56,274.35,270.21,272.31,52926.0,1428.0,272.528434
HLT,2025-07-18 04:00:00+00:00,272.5,273.15,271.19,272.65,95080.0,2629.0,271.877215
HLT,2025-07-21 04:00:00+00:00,273.93,273.985,270.96,270.975,80318.0,2422.0,272.373842
HLT,2025-07-22 04:00:00+00:00,271.305,275.27,270.715,274.325,203379.0,3227.0,272.989332
HLT,2025-07-23 04:00:00+00:00,266.475,271.0,265.41,266.86,227803.0,3984.0,267.778273
HLT,2025-07-24 04:00:00+00:00,266.515,271.24,266.31,267.54,114266.0,2548.0,268.335979
HLT,2025-07-25 04:00:00+00:00,268.7,274.27,268.1,273.73,167567.0,3375.0,270.709755
HLT,2025-07-28 04:00:00+00:00,272.785,273.62,270.07,270.57,79953.0,2581.0,271.695906
HLT,2025-07-29 04:00:00+00:00,271.615,273.02,269.89,273.015,241943.0,4377.0,271.750197
HLT,2025-07-30 04:00:00+00:00,272.83,275.73,272.11,273.11,95241.0,2973.0,273.909513
HLT,2025-07-31 04:00:00+00:00,273.53,273.53,267.56,268.07,136587.0,3665.0,268.86859
