symbol,timestamp,open,high,low,close,volume,trade_count,vwap
HOLX,2025-07-01 04:00:00+00:00,65.155,66.59,64.995,65.32,82310.0,1564.0,65.744587
HOLX,2025-07-02 04:00:00+00:00,65.005,65.52,64.59,65.31,59646.0,1490.0,65.062264
HOLX,2025-07-03 04:00:00+00:00,65.23,65.23,64.58,64.77,57700.0,986.0,64.76895
HOLX,2025-07-07 04:00:00+00:00,64.55,64.915,64.075,64.35,72199.0,1370.0,64.415014
HOLX,2025-07-08 04:00:00+00:00,64.535,65.19,64.44,64.89,82622.0,1434.0,64.848097
HOLX,2025-07-09 04:00:00+00:00,65.72,66.34,64.69,65.81,108508.0,1844.0,65.405008
HOLX,2025-07-10 04:00:00+00:00,65.675,67.04,65.65,66.855,77327.0,1366.0,66.587331
HOLX,2025-07-11 04:00:00+00:00,66.88,66.88,65.625,65.73,83029.0,1132.0,65.928879
HOLX,2025-07-14 04:00:00+00:00,65.26,65.61,64.555,64.6,64482.0,1244.0,64.992078
HOLX,2025-07-15 04:00:00+00:00,64.705,64.775,63.25,63.25,59642.0,1061.0,63.75549
HOLX,2025-07-16 04:00:00+00:00,63.49,64.15,63.475,63.855,85879.0,1582.0,63.818332
HOLX,2025-07-17 04:00:00+00:00,63.77,64.13,63.405,64.0,62151.0,1166.0,63.816143
HOLX,2025-07-18 04:00:00+00:00,64.49,64.53,63.63,63.995,50602.0,1139.0,63.92829
HOLX,2025-07-21 04:00:00+00:00,63.93,64.52,63.65,63.69,75279.0,1367.0,64.014144
HOLX,2025-07-22 04:00:00+00:00,64.435,65.57,64.335,65.39,76042.0,1295.0,65.327023
HOLX,2025-07-23 04:00:00+00:00,65.73,66.03,65.07,65.92,58267.0,1226.0,65.613658
HOLX,2025-07-24 04:00:00+00:00,65.555,66.485,65.555,66.11,39066.0,933.0,66.073321
HOLX,2025-07-25 04:00:00+00:00,66.15,66.935,65.66,66.485,52332.0,1466.0,66.44692
HOLX,2025-07-28 04:00:00+00:00,66.155,66.44,65.595,65.67,80291.0,1819.0,65.971933
HOLX,2025-07-29 04:00:00+00:00,65.6,66.21,65.305,66.08,88914.0,1320.0,65.917094
HOLX,2025-07-30 04:00:00+00:00,65.73,66.2,64.84,64.99,158855.0,2245.0,65.31253
HOLX,2025-07-31 04:00:00+00:00,65.73,67.47,65.05,66.83,117775.0,1978.0,66.770918
