symbol,timestamp,open,high,low,close,volume,trade_count,vwap
HUM,2025-07-01 04:00:00+00:00,243.415,252.68,243.23,252.57,86067.0,1959.0,251.03352
HUM,2025-07-02 04:00:00+00:00,248.19,250.27,241.815,243.76,143080.0,2723.0,245.149626
HUM,2025-07-03 04:00:00+00:00,244.85,244.85,238.27,239.66,39487.0,1135.0,240.760118
HUM,2025-07-07 04:00:00+00:00,238.275,238.745,234.48,237.165,54585.0,1513.0,236.397334
HUM,2025-07-08 04:00:00+00:00,236.75,239.67,234.895,237.5,39729.0,1248.0,236.672921
HUM,2025-07-09 04:00:00+00:00,237.055,237.055,234.33,236.6,33064.0,1216.0,235.903263
HUM,2025-07-10 04:00:00+00:00,234.42,236.72,231.47,232.1,40734.0,1102.0,233.786092
HUM,2025-07-11 04:00:00+00:00,229.98,231.3,228.675,230.73,42411.0,1061.0,230.325358
HUM,2025-07-14 04:00:00+00:00,230.63,230.63,226.69,227.3,37980.0,1026.0,227.828999
HUM,2025-07-15 04:00:00+00:00,228.175,229.08,221.39,221.86,63740.0,1374.0,223.29399
HUM,2025-07-16 04:00:00+00:00,222.87,227.19,222.87,226.73,45282.0,1521.0,225.309828
HUM,2025-07-17 04:00:00+00:00,225.825,227.72,217.0,223.63,73315.0,1755.0,223.852112
HUM,2025-07-18 04:00:00+00:00,222.96,223.685,206.99,220.46,263752.0,4049.0,217.163914
HUM,2025-07-21 04:00:00+00:00,223.25,226.61,221.995,223.71,119073.0,2979.0,224.533276
HUM,2025-07-22 04:00:00+00:00,224.95,231.905,224.95,231.17,93716.0,2094.0,229.981048
HUM,2025-07-23 04:00:00+00:00,234.775,237.22,231.2,236.89,67260.0,1784.0,233.82233
HUM,2025-07-24 04:00:00+00:00,235.54,236.51,227.97,229.42,52253.0,1498.0,230.50767
HUM,2025-07-25 04:00:00+00:00,234.68,239.73,233.83,238.215,57124.0,1701.0,237.405623
HUM,2025-07-28 04:00:00+00:00,237.64,239.29,231.18,231.38,135304.0,2706.0,235.048261
HUM,2025-07-29 04:00:00+00:00,228.77,236.88,228.515,232.99,111472.0,3004.0,233.20685
HUM,2025-07-30 04:00:00+00:00,248.71,265.02,241.75,263.25,232272.0,5358.0,252.834246
HUM,2025-07-31 04:00:00+00:00,259.45,260.35,248.195,249.66,115943.0,3231.0,251.887854
