symbol,timestamp,open,high,low,close,volume,trade_count,vwap
IDXX,2025-07-01 04:00:00+00:00,532.095,545.98,531.7,542.725,34804.0,1746.0,536.814924
IDXX,2025-07-02 04:00:00+00:00,538.7,544.52,538.7,542.58,22753.0,1546.0,542.294683
IDXX,2025-07-03 04:00:00+00:00,541.455,548.12,537.26,547.73,22047.0,904.0,542.138186
IDXX,2025-07-07 04:00:00+00:00,543.01,549.52,541.37,545.34,35202.0,1468.0,546.110966
IDXX,2025-07-08 04:00:00+00:00,544.485,546.76,537.06,538.63,29946.0,1537.0,541.049634
IDXX,2025-07-09 04:00:00+00:00,540.77,541.005,533.9,540.605,30039.0,1202.0,537.849841
IDXX,2025-07-10 04:00:00+00:00,538.805,544.355,538.805,543.25,14489.0,1029.0,543.046875
IDXX,2025-07-11 04:00:00+00:00,534.88,535.405,528.03,533.205,27873.0,1142.0,531.298109
IDXX,2025-07-14 04:00:00+00:00,529.78,535.545,529.78,531.615,26360.0,1227.0,532.841006
IDXX,2025-07-15 04:00:00+00:00,531.31,531.98,525.97,525.97,21117.0,1313.0,528.800025
IDXX,2025-07-16 04:00:00+00:00,517.055,520.74,506.91,520.45,29396.0,1722.0,516.634708
IDXX,2025-07-17 04:00:00+00:00,516.945,520.1,516.165,518.66,22988.0,1054.0,517.637028
IDXX,2025-07-18 04:00:00+00:00,518.805,520.2,513.42,514.54,15394.0,984.0,516.325512
IDXX,2025-07-21 04:00:00+00:00,514.08,520.9,513.63,520.68,33052.0,1342.0,518.952886
IDXX,2025-07-22 04:00:00+00:00,521.52,533.08,521.52,532.245,31736.0,1338.0,528.79083
IDXX,2025-07-23 04:00:00+00:00,534.5,541.73,534.5,540.51,32653.0,1565.0,538.158217
IDXX,2025-07-24 04:00:00+00:00,537.525,550.95,537.525,550.13,45559.0,2027.0,545.894334
IDXX,2025-07-25 04:00:00+00:00,548.965,568.39,548.965,565.205,55548.0,2137.0,562.842174
IDXX,2025-07-28 04:00:00+00:00,562.18,570.055,562.18,566.56,40248.0,2286.0,567.391509
IDXX,2025-07-29 04:00:00+00:00,567.575,574.71,567.575,573.195,93597.0,3340.0,572.183053
IDXX,2025-07-30 04:00:00+00:00,573.29,579.11,568.095,572.7,53043.0,2534.0,573.302502
IDXX,2025-07-31 04:00:00+00:00,561.595,562.16,533.5,534.45,88101.0,3299.0,551.611404
