symbol,timestamp,open,high,low,close,volume,trade_count,vwap
JNJ,2025-07-01 04:00:00+00:00,153.06,157.66,153.01,155.9,309630.0,4890.0,155.924864
JNJ,2025-07-02 04:00:00+00:00,156.02,156.235,155.07,155.52,140509.0,2578.0,155.665162
JNJ,2025-07-03 04:00:00+00:00,155.39,156.28,154.93,155.92,107231.0,1805.0,155.723509
JNJ,2025-07-07 04:00:00+00:00,156.045,156.31,154.945,155.26,141048.0,2691.0,155.446459
JNJ,2025-07-08 04:00:00+00:00,154.52,156.735,154.395,155.77,202603.0,3664.0,155.732716
JNJ,2025-07-09 04:00:00+00:00,155.615,156.63,155.14,156.29,141101.0,2502.0,155.660272
JNJ,2025-07-10 04:00:00+00:00,156.075,159.15,155.94,157.655,237948.0,4034.0,157.837383
JNJ,2025-07-11 04:00:00+00:00,157.085,157.17,155.22,156.89,207044.0,3651.0,156.393433
JNJ,2025-07-14 04:00:00+00:00,156.705,157.46,155.55,156.81,345871.0,4181.0,156.399328
JNJ,2025-07-15 04:00:00+00:00,156.54,157.14,154.815,155.13,188713.0,3339.0,155.683715
JNJ,2025-07-16 04:00:00+00:00,160.3,166.09,159.93,164.75,587206.0,8268.0,164.0263
JNJ,2025-07-17 04:00:00+00:00,163.79,164.475,162.355,162.91,272636.0,4769.0,163.18482
JNJ,2025-07-18 04:00:00+00:00,164.37,165.07,163.36,163.7,437578.0,5489.0,164.198003
JNJ,2025-07-21 04:00:00+00:00,163.89,164.88,162.83,164.4,244472.0,4263.0,164.302443
JNJ,2025-07-22 04:00:00+00:00,164.895,168.05,164.85,167.85,349966.0,6417.0,166.881983
JNJ,2025-07-23 04:00:00+00:00,168.52,169.09,166.62,169.06,317108.0,5942.0,168.07687
JNJ,2025-07-24 04:00:00+00:00,169.33,169.98,168.89,169.55,248002.0,4563.0,169.295795
JNJ,2025-07-25 04:00:00+00:00,169.625,169.845,167.44,168.33,286971.0,4827.0,168.134595
JNJ,2025-07-28 04:00:00+00:00,167.625,167.87,165.13,166.21,258571.0,4461.0,166.325806
JNJ,2025-07-29 04:00:00+00:00,166.805,168.72,166.46,168.18,265798.0,4803.0,167.994554
JNJ,2025-07-30 04:00:00+00:00,168.165,168.61,166.79,167.3,191077.0,3835.0,167.749603
JNJ,2025-07-31 04:00:00+00:00,165.67,167.045,164.25,164.8,328919.0,6017.0,165.760624
