symbol,timestamp,open,high,low,close,volume,trade_count,vwap
K,2025-07-01 04:00:00+00:00,79.54,79.915,79.44,79.84,185047.0,2131.0,79.772076
K,2025-07-02 04:00:00+00:00,79.79,80.05,79.775,79.96,101929.0,1665.0,79.941422
K,2025-07-03 04:00:00+00:00,79.94,80.055,79.845,79.98,69266.0,968.0,79.966231
K,2025-07-07 04:00:00+00:00,79.81,79.92,79.49,79.62,92537.0,1707.0,79.662809
K,2025-07-08 04:00:00+00:00,79.57,79.63,79.39,79.42,87661.0,1177.0,79.519635
K,2025-07-09 04:00:00+00:00,79.545,79.545,79.13,79.19,105292.0,1063.0,79.280569
K,2025-07-10 04:00:00+00:00,79.205,79.73,79.17,79.65,100180.0,1655.0,79.489754
K,2025-07-11 04:00:00+00:00,79.62,79.62,79.29,79.42,90028.0,1245.0,79.421637
K,2025-07-14 04:00:00+00:00,79.4,79.72,79.38,79.68,149656.0,1528.0,79.580228
K,2025-07-15 04:00:00+00:00,79.56,79.815,79.46,79.47,110870.0,1362.0,79.615876
K,2025-07-16 04:00:00+00:00,79.435,79.78,79.43,79.73,127220.0,1442.0,79.653951
K,2025-07-17 04:00:00+00:00,79.81,80.01,79.72,79.99,96435.0,1201.0,79.890801
K,2025-07-18 04:00:00+00:00,80.04,80.15,79.89,79.92,89998.0,966.0,80.045754
K,2025-07-21 04:00:00+00:00,79.96,79.99,79.75,79.79,102472.0,1141.0,79.850124
K,2025-07-22 04:00:00+00:00,79.85,80.105,79.795,80.055,156855.0,1636.0,79.990112
K,2025-07-23 04:00:00+00:00,79.99,80.12,79.875,79.915,103667.0,1267.0,79.983254
K,2025-07-24 04:00:00+00:00,79.95,79.97,79.83,79.86,84945.0,1363.0,79.87846
K,2025-07-25 04:00:00+00:00,79.92,79.94,79.8,79.85,68706.0,1190.0,79.84994
K,2025-07-28 04:00:00+00:00,79.83,79.88,79.755,79.79,104878.0,1299.0,79.795368
K,2025-07-29 04:00:00+00:00,79.78,80.15,79.75,80.15,211605.0,2071.0,79.937105
K,2025-07-30 04:00:00+00:00,80.11,80.13,79.8,79.84,110329.0,1518.0,79.936239
K,2025-07-31 04:00:00+00:00,79.79,80.02,79.575,79.81,119241.0,1429.0,79.859687
