symbol,timestamp,open,high,low,close,volume,trade_count,vwap
KEY,2025-07-01 04:00:00+00:00,17.375,17.965,17.375,17.9,744907.0,3425.0,17.776271
KEY,2025-07-02 04:00:00+00:00,17.87,18.23,17.795,18.2,768048.0,3180.0,18.087326
KEY,2025-07-03 04:00:00+00:00,18.33,18.545,18.315,18.46,471021.0,1953.0,18.468051
KEY,2025-07-07 04:00:00+00:00,18.325,18.55,18.1,18.3,824434.0,4229.0,18.269347
KEY,2025-07-08 04:00:00+00:00,18.66,18.66,18.39,18.49,1536940.0,5218.0,18.48691
KEY,2025-07-09 04:00:00+00:00,18.56,18.725,18.39,18.46,709838.0,2936.0,18.507991
KEY,2025-07-10 04:00:00+00:00,18.47,18.635,18.41,18.48,741338.0,4030.0,18.528692
KEY,2025-07-11 04:00:00+00:00,18.28,18.43,18.185,18.33,540064.0,2410.0,18.328723
KEY,2025-07-14 04:00:00+00:00,18.28,18.38,18.175,18.355,552411.0,2457.0,18.28368
KEY,2025-07-15 04:00:00+00:00,18.31,18.41,17.86,17.86,833220.0,3311.0,18.071728
KEY,2025-07-16 04:00:00+00:00,17.96,18.065,17.65,17.97,1086061.0,4808.0,17.900702
KEY,2025-07-17 04:00:00+00:00,17.9,18.43,17.875,18.4,817926.0,3364.0,18.294525
KEY,2025-07-18 04:00:00+00:00,18.445,18.575,18.345,18.505,748976.0,3504.0,18.47539
KEY,2025-07-21 04:00:00+00:00,18.475,18.61,18.285,18.31,1123399.0,3843.0,18.450349
KEY,2025-07-22 04:00:00+00:00,18.465,18.81,18.16,18.735,1316435.0,5557.0,18.594292
KEY,2025-07-23 04:00:00+00:00,18.8,18.87,18.61,18.8,877201.0,3037.0,18.769831
KEY,2025-07-24 04:00:00+00:00,18.75,18.785,18.465,18.505,940250.0,4056.0,18.617284
KEY,2025-07-25 04:00:00+00:00,18.49,18.605,18.235,18.56,661239.0,2588.0,18.490185
KEY,2025-07-28 04:00:00+00:00,18.52,18.61,18.325,18.43,548612.0,2373.0,18.456002
KEY,2025-07-29 04:00:00+00:00,18.58,18.58,18.29,18.39,314565.0,1797.0,18.396167
KEY,2025-07-30 04:00:00+00:00,18.475,18.53,18.03,18.15,938829.0,3654.0,18.309427
KEY,2025-07-31 04:00:00+00:00,18.1,18.21,17.885,17.91,815436.0,3340.0,18.011084
