symbol,timestamp,open,high,low,close,volume,trade_count,vwap
KHC,2025-07-01 04:00:00+00:00,25.855,26.865,25.84,26.6,917801.0,6134.0,26.477522
KHC,2025-07-02 04:00:00+00:00,26.66,27.115,26.505,27.05,694282.0,4092.0,26.896432
KHC,2025-07-03 04:00:00+00:00,27.135,27.135,26.58,26.64,322713.0,2201.0,26.732835
KHC,2025-07-07 04:00:00+00:00,26.635,26.635,25.98,26.08,539027.0,4047.0,26.145496
KHC,2025-07-08 04:00:00+00:00,26.06,26.64,25.94,26.42,581251.0,3906.0,26.331622
KHC,2025-07-09 04:00:00+00:00,26.435,26.56,26.055,26.44,533920.0,3670.0,26.320346
KHC,2025-07-10 04:00:00+00:00,26.09,26.74,25.85,26.48,569679.0,3474.0,26.458017
KHC,2025-07-11 04:00:00+00:00,26.24,27.55,25.95,27.13,2105047.0,10122.0,26.944282
KHC,2025-07-14 04:00:00+00:00,27.265,27.84,27.23,27.81,1707544.0,9589.0,27.629982
KHC,2025-07-15 04:00:00+00:00,27.77,27.94,27.08,27.13,954451.0,5822.0,27.328129
KHC,2025-07-16 04:00:00+00:00,27.23,27.615,27.095,27.58,649392.0,4491.0,27.414494
KHC,2025-07-17 04:00:00+00:00,27.705,28.15,27.65,28.13,741442.0,5165.0,27.977491
KHC,2025-07-18 04:00:00+00:00,28.12,28.21,27.705,27.82,461654.0,3489.0,27.906728
KHC,2025-07-21 04:00:00+00:00,27.925,28.02,27.44,27.5,463388.0,3672.0,27.587994
KHC,2025-07-22 04:00:00+00:00,27.545,28.805,27.54,28.79,764041.0,5333.0,28.54828
KHC,2025-07-23 04:00:00+00:00,28.91,29.15,28.76,28.95,528105.0,3650.0,28.901147
KHC,2025-07-24 04:00:00+00:00,29.02,29.115,28.72,28.78,372914.0,4483.0,28.895704
KHC,2025-07-25 04:00:00+00:00,28.78,28.78,28.37,28.69,349740.0,3102.0,28.556475
KHC,2025-07-28 04:00:00+00:00,28.57,28.57,28.055,28.24,394356.0,3842.0,28.285213
KHC,2025-07-29 04:00:00+00:00,28.23,28.62,28.23,28.6,648721.0,4602.0,28.500601
KHC,2025-07-30 04:00:00+00:00,28.775,29.175,28.185,28.505,658031.0,5993.0,28.596
KHC,2025-07-31 04:00:00+00:00,28.04,28.04,27.42,27.455,740487.0,6278.0,27.68731
