symbol,timestamp,open,high,low,close,volume,trade_count,vwap
KMB,2025-07-01 04:00:00+00:00,130.075,132.445,129.91,131.62,107561.0,2198.0,131.669413
KMB,2025-07-02 04:00:00+00:00,132.055,132.46,131.02,132.37,78457.0,1804.0,131.86371
KMB,2025-07-03 04:00:00+00:00,132.625,132.645,131.48,132.12,35102.0,818.0,132.017422
KMB,2025-07-07 04:00:00+00:00,132.45,132.86,131.22,131.7,82985.0,1982.0,131.781872
KMB,2025-07-08 04:00:00+00:00,131.25,132.02,130.52,131.435,45134.0,1262.0,131.40939
KMB,2025-07-09 04:00:00+00:00,131.555,131.555,130.31,131.485,62226.0,1613.0,130.961526
KMB,2025-07-10 04:00:00+00:00,131.06,133.02,130.57,131.97,70196.0,1410.0,131.771314
KMB,2025-07-11 04:00:00+00:00,131.52,131.83,129.23,129.36,112724.0,2007.0,129.939739
KMB,2025-07-14 04:00:00+00:00,129.185,129.185,125.17,127.45,113894.0,2060.0,126.676192
KMB,2025-07-15 04:00:00+00:00,127.305,127.885,126.29,126.81,69681.0,1520.0,126.863286
KMB,2025-07-16 04:00:00+00:00,126.675,127.69,126.47,127.63,56190.0,1371.0,127.140679
KMB,2025-07-17 04:00:00+00:00,127.25,128.41,126.43,127.89,61526.0,1436.0,127.438279
KMB,2025-07-18 04:00:00+00:00,128.12,128.515,127.2,127.49,52331.0,1341.0,127.753359
KMB,2025-07-21 04:00:00+00:00,127.43,127.78,126.56,126.72,65177.0,1561.0,126.840283
KMB,2025-07-22 04:00:00+00:00,126.845,128.96,126.845,128.915,63909.0,1515.0,128.195907
KMB,2025-07-23 04:00:00+00:00,128.68,129.02,127.52,127.7,68723.0,1779.0,128.093403
KMB,2025-07-24 04:00:00+00:00,127.505,127.955,127.3,127.78,48133.0,1507.0,127.592191
KMB,2025-07-25 04:00:00+00:00,127.69,128.04,126.65,127.4,43892.0,1274.0,127.101035
KMB,2025-07-28 04:00:00+00:00,126.88,127.39,126.505,126.88,77315.0,1889.0,126.934321
KMB,2025-07-29 04:00:00+00:00,126.97,128.405,126.88,127.99,52883.0,1339.0,127.670789
KMB,2025-07-30 04:00:00+00:00,128.41,128.45,124.96,125.295,91198.0,1989.0,126.109311
KMB,2025-07-31 04:00:00+00:00,125.05,125.895,124.395,124.7,108184.0,2491.0,125.137977
