symbol,timestamp,open,high,low,close,volume,trade_count,vwap
L,2025-07-01 04:00:00+00:00,91.95,92.45,91.33,92.295,26667.0,1130.0,92.176479
L,2025-07-02 04:00:00+00:00,92.085,92.085,89.545,91.34,51968.0,1224.0,90.82986
L,2025-07-03 04:00:00+00:00,91.95,92.505,91.95,92.43,12328.0,538.0,92.282736
L,2025-07-07 04:00:00+00:00,92.255,92.82,91.125,91.42,41431.0,1336.0,91.687906
L,2025-07-08 04:00:00+00:00,91.27,92.23,91.16,91.7,25657.0,868.0,91.604439
L,2025-07-09 04:00:00+00:00,91.505,91.76,90.9,90.985,38261.0,766.0,91.216582
L,2025-07-10 04:00:00+00:00,90.42,90.81,90.095,90.47,47444.0,1115.0,90.518402
L,2025-07-11 04:00:00+00:00,89.99,90.945,89.77,90.61,53454.0,1155.0,90.399757
L,2025-07-14 04:00:00+00:00,91.23,91.69,91.045,91.65,45468.0,1974.0,91.353322
L,2025-07-15 04:00:00+00:00,90.875,91.04,89.84,89.85,20467.0,646.0,90.265885
L,2025-07-16 04:00:00+00:00,90.72,91.0,90.05,90.95,20557.0,835.0,90.725248
L,2025-07-17 04:00:00+00:00,90.825,92.36,90.81,92.22,36961.0,782.0,91.691362
L,2025-07-18 04:00:00+00:00,92.73,93.085,92.3,92.41,25857.0,799.0,92.623794
L,2025-07-21 04:00:00+00:00,91.975,92.52,91.245,91.3,23709.0,812.0,91.802339
L,2025-07-22 04:00:00+00:00,92.28,92.28,91.05,92.05,52479.0,1118.0,91.663012
L,2025-07-23 04:00:00+00:00,91.92,92.08,91.48,91.96,16313.0,629.0,91.752776
L,2025-07-24 04:00:00+00:00,91.57,91.85,91.23,91.31,12675.0,576.0,91.535318
L,2025-07-25 04:00:00+00:00,91.92,91.955,91.465,91.66,15335.0,659.0,91.776855
L,2025-07-28 04:00:00+00:00,91.29,91.29,90.25,90.4,14792.0,673.0,90.507805
L,2025-07-29 04:00:00+00:00,91.1,91.685,90.83,91.155,25902.0,795.0,91.225412
L,2025-07-30 04:00:00+00:00,90.88,91.04,89.83,90.25,28481.0,844.0,90.479129
L,2025-07-31 04:00:00+00:00,91.18,91.315,90.43,90.53,22339.0,635.0,90.963403
