symbol,timestamp,open,high,low,close,volume,trade_count,vwap
LYV,2025-07-01 04:00:00+00:00,150.61,152.12,149.11,149.95,70916.0,1891.0,150.538461
LYV,2025-07-02 04:00:00+00:00,149.785,150.23,148.28,149.115,83807.0,2143.0,149.125615
LYV,2025-07-03 04:00:00+00:00,149.13,150.77,148.96,149.475,35379.0,1296.0,149.914924
LYV,2025-07-07 04:00:00+00:00,149.68,149.68,146.43,147.37,95079.0,1942.0,147.405622
LYV,2025-07-08 04:00:00+00:00,146.92,147.92,142.37,144.44,104336.0,2251.0,144.312406
LYV,2025-07-09 04:00:00+00:00,144.485,144.525,142.635,143.62,56617.0,1424.0,143.778639
LYV,2025-07-10 04:00:00+00:00,143.38,145.66,142.525,144.41,75204.0,2032.0,144.25354
LYV,2025-07-11 04:00:00+00:00,144.245,144.57,142.785,144.0,73123.0,2397.0,143.714991
LYV,2025-07-14 04:00:00+00:00,144.505,148.5,144.505,148.47,57494.0,1553.0,147.220847
LYV,2025-07-15 04:00:00+00:00,148.22,149.14,146.04,146.055,100100.0,1806.0,147.306919
LYV,2025-07-16 04:00:00+00:00,146.33,148.94,145.23,148.585,114675.0,1847.0,147.210546
LYV,2025-07-17 04:00:00+00:00,148.31,151.505,147.49,150.82,92689.0,1865.0,150.190545
LYV,2025-07-18 04:00:00+00:00,151.32,151.57,148.64,150.5,51544.0,1278.0,149.924936
LYV,2025-07-21 04:00:00+00:00,150.34,150.34,148.64,149.44,41624.0,1280.0,149.699287
LYV,2025-07-22 04:00:00+00:00,149.26,151.26,147.41,150.83,65031.0,1441.0,149.877752
LYV,2025-07-23 04:00:00+00:00,150.49,153.74,150.15,153.68,91609.0,2559.0,152.627385
LYV,2025-07-24 04:00:00+00:00,153.985,154.995,152.97,152.98,96883.0,2365.0,153.860306
LYV,2025-07-25 04:00:00+00:00,152.44,153.03,151.74,153.0,46335.0,1682.0,152.467429
LYV,2025-07-28 04:00:00+00:00,153.0,153.16,151.33,153.135,32242.0,1011.0,152.606874
LYV,2025-07-29 04:00:00+00:00,153.51,153.51,149.65,150.48,97165.0,2297.0,151.137301
LYV,2025-07-30 04:00:00+00:00,150.755,153.53,150.435,152.12,78436.0,2278.0,152.310819
LYV,2025-07-31 04:00:00+00:00,152.055,152.72,147.59,147.73,52579.0,1425.0,149.253836
