symbol,timestamp,open,high,low,close,volume,trade_count,vwap
MET,2025-07-01 04:00:00+00:00,80.36,81.68,80.36,81.08,93315.0,2283.0,81.104011
MET,2025-07-02 04:00:00+00:00,80.81,80.81,79.18,80.13,136548.0,1998.0,79.824418
MET,2025-07-03 04:00:00+00:00,80.33,81.21,80.26,80.65,32495.0,702.0,80.768466
MET,2025-07-07 04:00:00+00:00,80.61,80.67,79.01,79.165,96918.0,1645.0,79.568031
MET,2025-07-08 04:00:00+00:00,79.32,80.435,79.21,79.69,103145.0,1865.0,79.817874
MET,2025-07-09 04:00:00+00:00,79.865,80.05,78.14,78.23,91813.0,1777.0,78.760001
MET,2025-07-10 04:00:00+00:00,78.17,78.69,77.905,78.32,97187.0,1785.0,78.370974
MET,2025-07-11 04:00:00+00:00,77.67,78.11,77.28,77.675,83612.0,1548.0,77.742793
MET,2025-07-14 04:00:00+00:00,77.415,78.025,77.415,77.88,81060.0,1691.0,77.708651
MET,2025-07-15 04:00:00+00:00,77.58,77.845,76.18,76.2,86520.0,1549.0,76.622377
MET,2025-07-16 04:00:00+00:00,76.445,76.78,75.305,76.6,102863.0,2079.0,76.200564
MET,2025-07-17 04:00:00+00:00,76.26,77.505,76.26,77.345,111143.0,1870.0,77.054771
MET,2025-07-18 04:00:00+00:00,77.245,77.52,76.855,77.155,64045.0,1216.0,77.123771
MET,2025-07-21 04:00:00+00:00,77.35,77.565,76.265,76.34,53866.0,1311.0,76.975222
MET,2025-07-22 04:00:00+00:00,76.39,77.59,76.2,77.5,178275.0,2181.0,76.808101
MET,2025-07-23 04:00:00+00:00,78.1,78.495,77.67,78.45,82390.0,2057.0,78.196658
MET,2025-07-24 04:00:00+00:00,77.97,78.53,77.71,77.77,79480.0,1437.0,78.090658
MET,2025-07-25 04:00:00+00:00,78.16,78.655,77.445,78.55,82987.0,1462.0,78.317649
MET,2025-07-28 04:00:00+00:00,78.545,78.545,77.32,77.66,62848.0,1427.0,77.725355
MET,2025-07-29 04:00:00+00:00,78.36,78.95,77.54,77.72,77237.0,1835.0,78.079431
MET,2025-07-30 04:00:00+00:00,76.88,76.95,74.295,74.79,111552.0,1820.0,75.62319
MET,2025-07-31 04:00:00+00:00,75.5,76.51,75.5,75.955,107401.0,2023.0,76.17416
