symbol,timestamp,open,high,low,close,volume,trade_count,vwap
MGM,2025-07-01 04:00:00+00:00,34.655,37.07,34.59,36.87,519102.0,6267.0,36.424878
MGM,2025-07-02 04:00:00+00:00,37.11,37.795,36.63,37.665,332268.0,4174.0,37.421567
MGM,2025-07-03 04:00:00+00:00,37.815,38.035,37.52,37.595,160064.0,2530.0,37.771951
MGM,2025-07-07 04:00:00+00:00,36.46,37.39,36.35,37.05,267369.0,3682.0,36.978609
MGM,2025-07-08 04:00:00+00:00,37.295,37.78,37.13,37.53,224531.0,3849.0,37.526314
MGM,2025-07-09 04:00:00+00:00,37.68,37.82,37.46,37.7,156689.0,2498.0,37.634738
MGM,2025-07-10 04:00:00+00:00,38.17,38.865,37.865,38.84,278147.0,3581.0,38.566311
MGM,2025-07-11 04:00:00+00:00,38.41,38.41,37.92,37.95,242131.0,2894.0,38.112076
MGM,2025-07-14 04:00:00+00:00,37.6,38.16,37.34,38.13,159231.0,2242.0,37.820271
MGM,2025-07-15 04:00:00+00:00,38.33,38.33,37.54,37.71,262794.0,3524.0,37.780454
MGM,2025-07-16 04:00:00+00:00,37.835,38.0,36.96,37.3,170078.0,2659.0,37.398008
MGM,2025-07-17 04:00:00+00:00,37.595,38.13,37.41,37.58,184122.0,2462.0,37.732564
MGM,2025-07-18 04:00:00+00:00,37.77,37.77,37.02,37.2,199414.0,3303.0,37.238667
MGM,2025-07-21 04:00:00+00:00,37.55,37.67,37.11,37.18,173052.0,2666.0,37.386338
MGM,2025-07-22 04:00:00+00:00,36.825,38.245,36.79,38.15,195272.0,3025.0,37.550609
MGM,2025-07-23 04:00:00+00:00,38.39,38.835,38.16,38.305,198027.0,2505.0,38.40107
MGM,2025-07-24 04:00:00+00:00,38.48,38.53,37.33,37.36,280113.0,4841.0,37.886375
MGM,2025-07-25 04:00:00+00:00,37.685,38.485,37.1,38.45,187912.0,2688.0,37.819959
MGM,2025-07-28 04:00:00+00:00,38.51,39.285,38.44,38.575,242131.0,3269.0,38.817351
MGM,2025-07-29 04:00:00+00:00,38.705,38.705,36.94,37.4,295597.0,3567.0,37.39035
MGM,2025-07-30 04:00:00+00:00,37.44,38.46,37.21,37.92,463073.0,5405.0,37.863418
MGM,2025-07-31 04:00:00+00:00,36.76,36.8,35.415,36.47,526786.0,5544.0,36.18426
