symbol,timestamp,open,high,low,close,volume,trade_count,vwap
MKTX,2025-07-01 04:00:00+00:00,222.805,223.745,221.185,223.11,39234.0,1876.0,222.783236
MKTX,2025-07-02 04:00:00+00:00,221.315,222.47,218.59,219.3,31538.0,1481.0,220.48641
MKTX,2025-07-03 04:00:00+00:00,217.79,217.79,214.8,216.45,21279.0,779.0,215.904544
MKTX,2025-07-07 04:00:00+00:00,217.72,222.3,217.09,222.07,27592.0,1275.0,220.480311
MKTX,2025-07-08 04:00:00+00:00,219.98,220.49,216.8,216.87,34973.0,1620.0,218.500469
MKTX,2025-07-09 04:00:00+00:00,215.87,219.335,215.84,219.23,28593.0,1174.0,217.886133
MKTX,2025-07-10 04:00:00+00:00,217.99,220.34,217.945,218.97,15366.0,794.0,218.992579
MKTX,2025-07-11 04:00:00+00:00,217.135,217.32,215.305,216.13,14541.0,833.0,216.349821
MKTX,2025-07-14 04:00:00+00:00,216.68,218.165,216.31,217.42,17462.0,809.0,217.008875
MKTX,2025-07-15 04:00:00+00:00,215.52,217.26,214.69,214.74,13328.0,824.0,215.556957
MKTX,2025-07-16 04:00:00+00:00,213.88,216.0,212.78,215.415,17897.0,910.0,214.972543
MKTX,2025-07-17 04:00:00+00:00,214.335,214.335,210.49,210.495,42033.0,1210.0,211.815222
MKTX,2025-07-18 04:00:00+00:00,210.67,211.505,208.66,208.87,15838.0,850.0,210.023681
MKTX,2025-07-21 04:00:00+00:00,208.31,209.735,206.77,207.78,17420.0,755.0,208.061043
MKTX,2025-07-22 04:00:00+00:00,209.03,211.045,209.03,210.72,20007.0,1015.0,210.634013
MKTX,2025-07-23 04:00:00+00:00,210.34,212.25,209.68,212.03,18535.0,894.0,210.958106
MKTX,2025-07-24 04:00:00+00:00,212.66,214.78,212.44,213.87,13278.0,805.0,213.713235
MKTX,2025-07-25 04:00:00+00:00,213.12,213.22,210.87,211.45,7979.0,548.0,211.90217
MKTX,2025-07-28 04:00:00+00:00,209.26,209.46,207.52,207.62,19764.0,895.0,208.431653
MKTX,2025-07-29 04:00:00+00:00,208.555,209.015,206.6,207.24,26308.0,1410.0,207.719533
MKTX,2025-07-30 04:00:00+00:00,206.92,210.565,206.19,210.18,24844.0,999.0,208.620056
MKTX,2025-07-31 04:00:00+00:00,206.81,208.61,205.58,205.58,17138.0,973.0,206.738862
