symbol,timestamp,open,high,low,close,volume,trade_count,vwap
MSCI,2025-07-01 04:00:00+00:00,575.0,583.63,574.98,581.4,25538.0,1565.0,579.709666
MSCI,2025-07-02 04:00:00+00:00,578.96,586.345,578.96,583.24,30275.0,1220.0,583.166388
MSCI,2025-07-03 04:00:00+00:00,586.09,589.48,585.66,587.34,13861.0,808.0,587.187502
MSCI,2025-07-07 04:00:00+00:00,586.49,589.35,583.69,587.92,20206.0,1054.0,586.352791
MSCI,2025-07-08 04:00:00+00:00,592.285,592.605,577.99,581.52,28456.0,1272.0,584.782031
MSCI,2025-07-09 04:00:00+00:00,582.21,583.3,580.465,581.7,20099.0,812.0,581.854415
MSCI,2025-07-10 04:00:00+00:00,581.65,586.875,580.52,580.98,23825.0,1154.0,583.901871
MSCI,2025-07-11 04:00:00+00:00,576.995,576.995,563.31,564.9,28503.0,1122.0,568.954889
MSCI,2025-07-14 04:00:00+00:00,568.25,575.75,568.25,570.45,25835.0,1145.0,572.288768
MSCI,2025-07-15 04:00:00+00:00,572.215,574.335,563.89,563.89,13815.0,723.0,568.288717
MSCI,2025-07-16 04:00:00+00:00,564.82,573.02,559.85,572.195,70392.0,2058.0,565.629468
MSCI,2025-07-17 04:00:00+00:00,574.815,581.535,573.235,580.4,36312.0,1421.0,575.696678
MSCI,2025-07-18 04:00:00+00:00,581.055,583.37,577.74,578.55,21600.0,1018.0,579.826273
MSCI,2025-07-21 04:00:00+00:00,581.68,582.28,574.75,578.385,58390.0,1736.0,578.855655
MSCI,2025-07-22 04:00:00+00:00,562.53,571.05,525.995,526.855,131935.0,3993.0,541.565589
MSCI,2025-07-23 04:00:00+00:00,530.1,538.895,525.68,530.98,69406.0,2013.0,532.986089
MSCI,2025-07-24 04:00:00+00:00,537.78,546.96,537.78,543.45,52453.0,1716.0,544.053157
MSCI,2025-07-25 04:00:00+00:00,546.4,550.63,544.96,546.56,61137.0,2245.0,547.6713
MSCI,2025-07-28 04:00:00+00:00,545.66,556.645,545.66,553.09,172283.0,4343.0,552.18888
MSCI,2025-07-29 04:00:00+00:00,557.585,559.19,553.88,557.46,57945.0,2354.0,556.59397
MSCI,2025-07-30 04:00:00+00:00,558.52,563.54,558.0,559.18,46011.0,1545.0,559.682589
MSCI,2025-07-31 04:00:00+00:00,558.0,569.71,557.82,561.045,55637.0,1929.0,564.190963
