symbol,timestamp,open,high,low,close,volume,trade_count,vwap
NEM,2025-07-01 04:00:00+00:00,58.915,59.29,58.39,58.83,504641.0,6398.0,58.824312
NEM,2025-07-02 04:00:00+00:00,59.19,60.175,59.07,60.07,429477.0,5245.0,59.691478
NEM,2025-07-03 04:00:00+00:00,59.18,60.18,59.15,59.9,302677.0,3583.0,59.92628
NEM,2025-07-07 04:00:00+00:00,59.355,60.175,58.45,60.16,628032.0,7112.0,59.60338
NEM,2025-07-08 04:00:00+00:00,59.61,59.68,56.91,57.63,607387.0,8042.0,57.791193
NEM,2025-07-09 04:00:00+00:00,57.785,58.99,57.375,58.77,465231.0,5812.0,58.325615
NEM,2025-07-10 04:00:00+00:00,59.025,59.81,58.605,59.765,343507.0,4432.0,59.281548
NEM,2025-07-11 04:00:00+00:00,59.89,60.27,59.55,60.11,358156.0,5159.0,60.011511
NEM,2025-07-14 04:00:00+00:00,60.09,61.12,60.04,60.83,343272.0,4465.0,60.837371
NEM,2025-07-15 04:00:00+00:00,60.55,60.61,55.38,57.35,898168.0,9521.0,56.929141
NEM,2025-07-16 04:00:00+00:00,58.09,58.835,57.305,58.43,810620.0,8622.0,58.140673
NEM,2025-07-17 04:00:00+00:00,57.43,58.07,56.735,57.99,497974.0,6254.0,57.441124
NEM,2025-07-18 04:00:00+00:00,58.15,58.65,57.895,58.23,469843.0,4674.0,58.268301
NEM,2025-07-21 04:00:00+00:00,59.055,60.66,59.03,59.86,339436.0,4494.0,60.073757
NEM,2025-07-22 04:00:00+00:00,60.61,61.865,60.42,61.75,363747.0,5601.0,61.41126
NEM,2025-07-23 04:00:00+00:00,61.715,62.55,60.95,61.46,468725.0,6218.0,61.727621
NEM,2025-07-24 04:00:00+00:00,60.7,61.775,60.005,61.535,648383.0,10691.0,61.336178
NEM,2025-07-25 04:00:00+00:00,63.54,66.51,63.505,65.75,1319313.0,9870.0,65.522856
NEM,2025-07-28 04:00:00+00:00,64.995,65.005,62.68,63.67,368968.0,4862.0,63.576447
NEM,2025-07-29 04:00:00+00:00,63.79,64.09,63.34,63.97,263187.0,3900.0,63.726047
NEM,2025-07-30 04:00:00+00:00,63.45,63.49,61.91,62.34,367167.0,4961.0,62.865384
NEM,2025-07-31 04:00:00+00:00,62.52,63.05,61.77,62.08,359861.0,4537.0,62.280327
