symbol,timestamp,open,high,low,close,volume,trade_count,vwap
NTRS,2025-07-01 04:00:00+00:00,126.435,128.15,125.335,128.03,102061.0,2143.0,127.237843
NTRS,2025-07-02 04:00:00+00:00,127.88,132.105,127.645,132.1,80767.0,2115.0,130.814148
NTRS,2025-07-03 04:00:00+00:00,131.675,132.78,131.64,131.785,36171.0,1043.0,132.28497
NTRS,2025-07-07 04:00:00+00:00,131.63,132.28,128.255,128.485,154302.0,2978.0,129.804091
NTRS,2025-07-08 04:00:00+00:00,128.63,128.79,125.9,125.97,55418.0,1401.0,127.186114
NTRS,2025-07-09 04:00:00+00:00,126.275,127.825,126.1,126.95,58944.0,1339.0,126.963125
NTRS,2025-07-10 04:00:00+00:00,126.93,128.115,126.315,126.62,50309.0,1542.0,127.099644
NTRS,2025-07-11 04:00:00+00:00,125.745,125.98,124.33,125.89,46930.0,1040.0,125.46774
NTRS,2025-07-14 04:00:00+00:00,126.04,126.625,125.72,126.58,52135.0,1478.0,126.230783
NTRS,2025-07-15 04:00:00+00:00,126.46,126.905,123.46,123.6,71807.0,1652.0,124.645218
NTRS,2025-07-16 04:00:00+00:00,124.585,125.32,123.055,124.79,87026.0,1743.0,124.500171
NTRS,2025-07-17 04:00:00+00:00,125.065,127.18,125.0,127.05,79690.0,1729.0,126.291147
NTRS,2025-07-18 04:00:00+00:00,127.64,128.015,127.1,127.93,51440.0,1255.0,127.493086
NTRS,2025-07-21 04:00:00+00:00,127.61,127.67,125.52,125.56,58302.0,1704.0,126.380933
NTRS,2025-07-22 04:00:00+00:00,127.87,128.035,125.73,126.56,69589.0,1258.0,127.113624
NTRS,2025-07-23 04:00:00+00:00,120.41,125.63,120.41,124.16,80615.0,1508.0,122.978116
NTRS,2025-07-24 04:00:00+00:00,124.36,129.135,123.68,128.68,77735.0,1687.0,128.152278
NTRS,2025-07-25 04:00:00+00:00,128.815,130.17,128.03,130.08,41329.0,1512.0,129.62981
NTRS,2025-07-28 04:00:00+00:00,129.49,130.01,129.105,129.74,25475.0,1163.0,129.613062
NTRS,2025-07-29 04:00:00+00:00,130.895,132.41,130.41,131.64,52479.0,1236.0,131.336838
NTRS,2025-07-30 04:00:00+00:00,131.91,132.675,130.8,131.51,29188.0,870.0,131.800052
NTRS,2025-07-31 04:00:00+00:00,131.315,131.88,129.58,130.01,44296.0,1217.0,130.375022
