symbol,timestamp,open,high,low,close,volume,trade_count,vwap
NWSA,2025-07-01 04:00:00+00:00,29.77,29.915,29.69,29.73,125288.0,2110.0,29.787471
NWSA,2025-07-02 04:00:00+00:00,29.57,29.67,29.4,29.62,160501.0,2177.0,29.538824
NWSA,2025-07-03 04:00:00+00:00,29.695,29.88,29.605,29.75,71612.0,880.0,29.724302
NWSA,2025-07-07 04:00:00+00:00,29.665,29.79,29.285,29.38,152784.0,1712.0,29.42025
NWSA,2025-07-08 04:00:00+00:00,29.48,29.585,29.34,29.48,158314.0,1870.0,29.470206
NWSA,2025-07-09 04:00:00+00:00,29.56,29.57,29.285,29.4,83782.0,1277.0,29.397352
NWSA,2025-07-10 04:00:00+00:00,29.24,29.745,29.24,29.66,141108.0,1669.0,29.581311
NWSA,2025-07-11 04:00:00+00:00,29.58,29.69,29.47,29.54,74961.0,1257.0,29.572969
NWSA,2025-07-14 04:00:00+00:00,29.51,29.79,29.51,29.73,99422.0,1441.0,29.711313
NWSA,2025-07-15 04:00:00+00:00,30.2,30.71,29.66,29.66,235406.0,3246.0,30.03423
NWSA,2025-07-16 04:00:00+00:00,29.84,29.93,29.42,29.87,182112.0,2404.0,29.747043
NWSA,2025-07-17 04:00:00+00:00,29.86,30.19,29.805,30.18,224565.0,2773.0,30.029299
NWSA,2025-07-18 04:00:00+00:00,30.24,30.25,29.8,29.86,142621.0,1741.0,29.964512
NWSA,2025-07-21 04:00:00+00:00,29.89,29.92,29.13,29.17,147799.0,1922.0,29.319569
NWSA,2025-07-22 04:00:00+00:00,29.21,29.59,29.205,29.44,182011.0,2046.0,29.447343
NWSA,2025-07-23 04:00:00+00:00,29.45,29.52,29.31,29.42,160302.0,2206.0,29.420022
NWSA,2025-07-24 04:00:00+00:00,29.355,29.605,29.2,29.36,162603.0,1981.0,29.42614
NWSA,2025-07-25 04:00:00+00:00,29.34,29.595,29.29,29.52,141256.0,2396.0,29.446128
NWSA,2025-07-28 04:00:00+00:00,29.44,29.505,29.33,29.37,130252.0,1761.0,29.396059
NWSA,2025-07-29 04:00:00+00:00,29.36,29.48,29.155,29.23,168340.0,2547.0,29.28555
NWSA,2025-07-30 04:00:00+00:00,29.22,29.5,29.15,29.32,186106.0,2433.0,29.322552
NWSA,2025-07-31 04:00:00+00:00,29.25,29.45,29.2,29.32,188322.0,2458.0,29.342844
