symbol,timestamp,open,high,low,close,volume,trade_count,vwap
O,2025-07-01 04:00:00+00:00,57.39,58.14,57.24,57.81,332934.0,4694.0,57.798279
O,2025-07-02 04:00:00+00:00,57.49,57.84,57.15,57.74,238690.0,4000.0,57.576634
O,2025-07-03 04:00:00+00:00,57.655,57.88,57.39,57.68,195281.0,2041.0,57.686236
O,2025-07-07 04:00:00+00:00,57.78,57.935,57.22,57.535,367624.0,3581.0,57.488133
O,2025-07-08 04:00:00+00:00,57.19,57.65,57.09,57.48,222857.0,2952.0,57.431023
O,2025-07-09 04:00:00+00:00,57.44,57.56,56.935,56.94,262470.0,2916.0,57.197978
O,2025-07-10 04:00:00+00:00,56.71,57.15,56.61,56.93,288021.0,3522.0,56.961085
O,2025-07-11 04:00:00+00:00,56.76,57.34,56.64,57.15,237295.0,2821.0,57.014824
O,2025-07-14 04:00:00+00:00,57.08,58.96,57.08,58.68,445198.0,4982.0,58.325091
O,2025-07-15 04:00:00+00:00,58.22,58.37,56.66,56.67,332591.0,6150.0,57.196073
O,2025-07-16 04:00:00+00:00,56.975,57.175,56.605,56.78,213723.0,3536.0,56.835045
O,2025-07-17 04:00:00+00:00,56.73,56.93,56.38,56.4,162423.0,2254.0,56.571315
O,2025-07-18 04:00:00+00:00,56.51,56.815,56.3,56.47,205187.0,2871.0,56.451211
O,2025-07-21 04:00:00+00:00,56.665,56.96,56.325,56.41,137560.0,2314.0,56.551003
O,2025-07-22 04:00:00+00:00,56.54,57.875,56.54,57.84,206450.0,3362.0,57.472727
O,2025-07-23 04:00:00+00:00,57.78,58.065,57.54,57.91,148422.0,2273.0,57.81654
O,2025-07-24 04:00:00+00:00,57.78,58.25,57.65,58.05,123923.0,2093.0,58.073948
O,2025-07-25 04:00:00+00:00,58.09,58.19,57.29,57.92,162265.0,2635.0,57.726948
O,2025-07-28 04:00:00+00:00,57.895,57.895,56.85,56.87,137491.0,2242.0,57.302179
O,2025-07-29 04:00:00+00:00,57.09,57.435,56.77,57.4,195146.0,2596.0,57.229589
O,2025-07-30 04:00:00+00:00,57.45,57.73,56.59,56.8,125202.0,1897.0,57.082331
O,2025-07-31 04:00:00+00:00,56.71,56.925,56.035,56.16,293962.0,3859.0,56.350179
