symbol,timestamp,open,high,low,close,volume,trade_count,vwap
OKE,2025-07-01 04:00:00+00:00,81.51,81.51,80.06,80.98,230095.0,4232.0,80.981062
OKE,2025-07-02 04:00:00+00:00,81.88,82.1,80.4,82.1,154997.0,3474.0,81.300697
OKE,2025-07-03 04:00:00+00:00,82.48,82.74,81.78,82.15,75748.0,1475.0,82.239979
OKE,2025-07-07 04:00:00+00:00,81.025,81.385,79.2,80.16,159264.0,3614.0,79.962709
OKE,2025-07-08 04:00:00+00:00,80.01,81.63,79.85,81.62,102671.0,2413.0,81.144215
OKE,2025-07-09 04:00:00+00:00,81.45,81.55,80.84,81.15,64915.0,1864.0,81.138251
OKE,2025-07-10 04:00:00+00:00,80.625,81.085,80.11,80.9,102818.0,1662.0,80.669841
OKE,2025-07-11 04:00:00+00:00,80.575,81.435,80.46,81.35,68179.0,1410.0,81.157526
OKE,2025-07-14 04:00:00+00:00,80.93,81.64,80.725,81.6,69249.0,1456.0,81.388644
OKE,2025-07-15 04:00:00+00:00,81.205,81.205,79.77,79.92,56362.0,1301.0,80.359408
OKE,2025-07-16 04:00:00+00:00,79.835,80.2,78.995,79.13,130174.0,2544.0,79.42182
OKE,2025-07-17 04:00:00+00:00,79.22,81.315,79.205,81.27,114059.0,1864.0,80.539753
OKE,2025-07-18 04:00:00+00:00,81.775,83.89,81.74,83.31,195687.0,3077.0,83.509705
OKE,2025-07-21 04:00:00+00:00,83.165,83.165,80.28,80.4,97792.0,1658.0,81.153498
OKE,2025-07-22 04:00:00+00:00,80.78,81.42,79.96,80.73,89131.0,1537.0,80.60746
OKE,2025-07-23 04:00:00+00:00,81.27,81.815,80.74,81.675,94603.0,1582.0,81.417995
OKE,2025-07-24 04:00:00+00:00,81.475,82.56,81.475,82.04,66460.0,1129.0,82.217638
OKE,2025-07-25 04:00:00+00:00,82.115,82.14,81.325,81.555,104771.0,1961.0,81.600488
OKE,2025-07-28 04:00:00+00:00,82.16,82.575,81.48,81.815,71116.0,1011.0,81.918113
OKE,2025-07-29 04:00:00+00:00,82.545,83.57,82.24,83.49,92136.0,1596.0,83.051197
OKE,2025-07-30 04:00:00+00:00,82.795,83.29,81.76,82.21,146501.0,2034.0,82.453106
OKE,2025-07-31 04:00:00+00:00,81.975,83.03,81.85,82.14,115025.0,2116.0,82.24303
