symbol,timestamp,open,high,low,close,volume,trade_count,vwap
PFG,2025-07-01 04:00:00+00:00,79.49,81.33,79.49,80.81,47969.0,1193.0,80.768913
PFG,2025-07-02 04:00:00+00:00,80.59,80.59,79.72,80.51,60311.0,1524.0,80.159424
PFG,2025-07-03 04:00:00+00:00,80.85,81.53,80.775,81.02,15049.0,746.0,81.187971
PFG,2025-07-07 04:00:00+00:00,81.32,81.43,79.91,80.2,34258.0,987.0,80.369176
PFG,2025-07-08 04:00:00+00:00,80.65,81.965,80.65,81.49,41917.0,1064.0,81.591451
PFG,2025-07-09 04:00:00+00:00,81.9,81.935,80.58,80.855,30053.0,852.0,80.957965
PFG,2025-07-10 04:00:00+00:00,80.9,82.08,80.63,81.605,28245.0,754.0,81.640218
PFG,2025-07-11 04:00:00+00:00,80.95,80.95,80.3,80.395,23247.0,845.0,80.566492
PFG,2025-07-14 04:00:00+00:00,80.385,81.015,80.24,80.99,21243.0,775.0,80.687738
PFG,2025-07-15 04:00:00+00:00,81.24,81.24,79.34,79.39,38780.0,823.0,80.04114
PFG,2025-07-16 04:00:00+00:00,80.0,80.14,78.89,79.81,36637.0,888.0,79.633536
PFG,2025-07-17 04:00:00+00:00,80.13,81.02,79.505,80.99,40443.0,1031.0,80.435391
PFG,2025-07-18 04:00:00+00:00,81.22,81.255,80.85,81.08,31638.0,749.0,81.006144
PFG,2025-07-21 04:00:00+00:00,80.81,81.36,78.68,78.74,33172.0,851.0,79.669053
PFG,2025-07-22 04:00:00+00:00,79.0,80.32,78.98,80.2,20167.0,607.0,79.815517
PFG,2025-07-23 04:00:00+00:00,80.98,80.98,80.32,80.87,28089.0,745.0,80.768121
PFG,2025-07-24 04:00:00+00:00,80.57,81.035,80.23,80.3,19680.0,771.0,80.577674
PFG,2025-07-25 04:00:00+00:00,80.455,81.085,80.355,81.02,18262.0,492.0,80.814829
PFG,2025-07-28 04:00:00+00:00,80.9,80.9,80.07,80.4,71297.0,1565.0,80.399039
PFG,2025-07-29 04:00:00+00:00,82.815,82.96,79.81,80.21,85204.0,2034.0,80.531319
PFG,2025-07-30 04:00:00+00:00,79.06,79.135,75.9,76.555,78174.0,1909.0,77.759422
PFG,2025-07-31 04:00:00+00:00,76.32,78.315,76.32,77.86,41039.0,1108.0,77.761601
